 	le	singe	n'	adopte	pas	l'	enfant	de	son	frère	</S>
a98	0.0019147	0.00187279	0.00185063	0.00525008	0.0129289	0.0153667	0.0244169	0.0435241	0.0918244	0.270053	0.530998
a41	0.00136955	0.00148783	0.00174646	0.0044388	0.0124569	0.0176212	0.0325048	0.0586743	0.108305	0.274785	0.486611
a56	0.00341223	0.00299	0.00292104	0.0058599	0.0134521	0.0191003	0.0344635	0.0586811	0.105033	0.264349	0.489737
a93	0.00271096	0.0020929	0.00200633	0.00393811	0.00956045	0.0119188	0.0211285	0.0419692	0.0855185	0.256281	0.562875
a13	0.00200818	0.00168061	0.00182665	0.00389211	0.0106935	0.0151807	0.0286427	0.0581345	0.117488	0.274104	0.486349
a38	0.0063955	0.00469143	0.00444553	0.0086049	0.0166709	0.0179797	0.0267146	0.0513618	0.110284	0.263227	0.489624
a62	0.00679614	0.00510533	0.00463178	0.00824758	0.017987	0.0192199	0.0261655	0.0478543	0.102683	0.266467	0.494843
a21	0.00495663	0.00383311	0.00312677	0.00543276	0.0137143	0.0158392	0.0246932	0.0473642	0.100259	0.263468	0.517312
a41	0.0039545	0.00308699	0.00283934	0.00404663	0.00983161	0.0125736	0.0208719	0.0421288	0.0930658	0.262223	0.545377
a27	0.00541236	0.00464029	0.00378539	0.00538984	0.012948	0.0141176	0.0209973	0.0408238	0.0956866	0.275263	0.520936
a57	0.00622448	0.00565229	0.00609529	0.0140488	0.0270895	0.0270508	0.0366846	0.0558618	0.105123	0.259849	0.45632
a40	0.00643909	0.00502965	0.00311223	0.00554788	0.0104626	0.0117671	0.0180437	0.0357884	0.0983843	0.288868	0.516557
a75	0.00707337	0.00782607	0.00695855	0.0142059	0.0292975	0.0291402	0.0312178	0.046849	0.0972039	0.260717	0.469511
a14	0.00639291	0.0070508	0.00667697	0.00883692	0.0155249	0.0182898	0.0243711	0.0405662	0.082811	0.246357	0.543122
a73	0.00619385	0.00542669	0.00489576	0.00802292	0.0162142	0.0188776	0.0283212	0.0484259	0.0933915	0.260794	0.509436
a57	0.00104425	0.00129006	0.00139562	0.00455913	0.0113711	0.0147961	0.0271248	0.0488324	0.0912674	0.248326	0.549993
a87	0.00185151	0.0019576	0.00175156	0.00437584	0.00911242	0.0102501	0.0186113	0.0389762	0.0942274	0.273851	0.545035
</S>	0.00439939	0.00287331	0.0021128	0.00515622	0.015389	0.0208294	0.0364541	0.0634288	0.130092	0.275443	0.443822
