 	de	la	manière	dont	il	lèche	l'	assiette	elle	sera	toute	propre	à	la	fin	</S>
a21	0.12194	0.126416	0.139416	0.160957	0.0957292	0.0685782	0.0580458	0.0438426	0.0363532	0.0324777	0.0181306	0.0329481	0.0206692	0.0157788	0.0141189	0.0145981
a5	0.07794	0.0748647	0.0867576	0.127573	0.115156	0.0970694	0.0893431	0.0684773	0.0569924	0.0522761	0.0289833	0.0419092	0.0240425	0.0187891	0.0179358	0.0218899
a79	0.0270595	0.0323229	0.052976	0.10257	0.118743	0.12045	0.114566	0.0964168	0.0801561	0.0721254	0.0409977	0.0490094	0.0308944	0.0210862	0.0176792	0.0229468
a90	0.0112736	0.013864	0.0272109	0.0709445	0.127149	0.145892	0.153309	0.116754	0.0852086	0.0632208	0.0330834	0.0408393	0.0283223	0.023462	0.0247472	0.03472
a15	0.00824531	0.0093134	0.0178649	0.0438605	0.0992312	0.145537	0.169651	0.125525	0.0962326	0.0703962	0.0336428	0.0454633	0.0305504	0.0255311	0.0315858	0.0473694
a7	0.00704496	0.00815197	0.0157492	0.036105	0.0936853	0.139549	0.154245	0.133563	0.106591	0.0865303	0.0404631	0.0424628	0.0302171	0.0261395	0.0290264	0.0504758
a84	0.00657615	0.00771614	0.0136507	0.0253819	0.077855	0.134479	0.132007	0.121058	0.11617	0.102742	0.0435345	0.0461883	0.0340672	0.0364216	0.0394637	0.0626883
a57	0.0103131	0.0106743	0.0135226	0.022495	0.0601133	0.102708	0.148359	0.153262	0.141275	0.119195	0.0505788	0.0588568	0.0355935	0.0222729	0.0222624	0.0285193
a87	0.0183798	0.0168846	0.0171402	0.0260703	0.0538889	0.0868768	0.119347	0.150905	0.134667	0.12956	0.0487751	0.0596853	0.0386076	0.0245166	0.0305682	0.0441278
a23	0.065142	0.0422693	0.0294952	0.0359421	0.0529213	0.0586416	0.0746291	0.0897012	0.0801545	0.0947663	0.0444099	0.110923	0.0638787	0.0471978	0.0525932	0.0573344
a10	0.0360335	0.0256951	0.0201509	0.0281887	0.0516507	0.0751969	0.105461	0.0961806	0.0799543	0.0740782	0.0620277	0.0831804	0.0634577	0.056473	0.0529533	0.0893175
a75	0.0107453	0.00822587	0.00917509	0.0173449	0.0350092	0.0500674	0.0870438	0.0902481	0.0755362	0.0835573	0.0735328	0.13091	0.0935596	0.0685508	0.0648501	0.101644
a6	0.00574268	0.00446457	0.00564091	0.0102834	0.023654	0.0446073	0.0682169	0.0656015	0.0556159	0.0624836	0.0469435	0.0715732	0.067059	0.140263	0.137061	0.19079
a5	0.00323721	0.00270375	0.00337623	0.00613952	0.0261745	0.0660549	0.0851644	0.0799215	0.0684738	0.0642192	0.0517091	0.0564107	0.0576188	0.108274	0.124799	0.195724
a61	0.00470046	0.003793	0.00376206	0.00621063	0.0179381	0.0433656	0.048617	0.0512594	0.0504198	0.0514194	0.0519743	0.0508332	0.0542629	0.1216	0.177488	0.262356
a62	0.00344565	0.00254236	0.00273257	0.00487169	0.0138221	0.0345218	0.0415722	0.0545151	0.05952	0.0750098	0.0668136	0.0768869	0.0749147	0.129554	0.163666	0.195611
a88	0.00393063	0.00307928	0.00355596	0.0057644	0.0135709	0.0319536	0.041788	0.0616347	0.0689808	0.0931998	0.0802862	0.122655	0.107032	0.129238	0.124584	0.108746
a9	0.00185385	0.00142662	0.00151347	0.00266029	0.00703515	0.0176002	0.0276507	0.0449904	0.0531362	0.0779039	0.0654429	0.123851	0.115629	0.161927	0.162735	0.134644
a0	0.00474737	0.00428868	0.00468354	0.00637939	0.00861244	0.0128598	0.0267064	0.0567604	0.0772913	0.136808	0.0712293	0.14992	0.132641	0.0993939	0.104172	0.103507
a21	0.0143015	0.00986671	0.00859608	0.0101695	0.0131551	0.0189732	0.0297423	0.0557389	0.0705819	0.114369	0.0689113	0.115705	0.11901	0.107482	0.118819	0.124579
a5	0.000996531	0.000630632	0.000722535	0.00113305	0.00307392	0.00817921	0.0122858	0.0171612	0.0207143	0.0344191	0.0343474	0.0716432	0.0930261	0.18568	0.223139	0.292848
a90	0.000613114	0.000423757	0.000506456	0.000920928	0.00313666	0.00946544	0.0137797	0.019915	0.0235557	0.0356745	0.0374265	0.0616202	0.087756	0.207303	0.239152	0.258751
a79	0.000651069	0.000538174	0.000794604	0.00135256	0.0039788	0.0114404	0.0182802	0.0263557	0.03041	0.0424237	0.0367887	0.061321	0.085472	0.180245	0.225927	0.274021
a69	0.00117228	0.00100268	0.00172191	0.00270501	0.0071826	0.0186567	0.0273238	0.0385762	0.0420729	0.0509338	0.0335352	0.0477047	0.0687135	0.127852	0.191915	0.338932
a7	0.00177635	0.00144285	0.00208276	0.00286639	0.00671729	0.0177539	0.0260596	0.0377858	0.0409307	0.0493417	0.0317282	0.046772	0.0625368	0.108328	0.184799	0.379078
a56	0.00101502	0.000787847	0.000943541	0.00115583	0.00254233	0.00661997	0.0119627	0.020937	0.0233868	0.031089	0.022236	0.0330665	0.0569312	0.136635	0.242613	0.408078
a44	0.00125856	0.00081165	0.000834317	0.00100516	0.00274326	0.00736257	0.0132785	0.0248877	0.0295016	0.039501	0.0293658	0.0331726	0.0562146	0.131629	0.213337	0.415097
a26	0.000465497	0.00029748	0.000304062	0.000415326	0.00138832	0.0038355	0.00783353	0.0151112	0.0173431	0.0249985	0.0191866	0.0284971	0.0503814	0.121448	0.224745	0.483749
a62	0.00236403	0.00179486	0.00183223	0.00201248	0.00296164	0.00384966	0.00729356	0.0153283	0.0176454	0.0334489	0.0142225	0.0246403	0.0435196	0.0851752	0.194468	0.549443
a21	0.00100405	0.000711048	0.000652362	0.000992044	0.00308545	0.00553422	0.00865634	0.016718	0.0193565	0.0346211	0.0196282	0.0432009	0.0655186	0.12927	0.223004	0.428047
a61	0.000265538	0.000185468	0.000144032	0.000231113	0.000804951	0.0024074	0.00410927	0.00866949	0.0109182	0.0204343	0.0174862	0.0387282	0.0691611	0.154759	0.274799	0.396896
a12	0.000278259	0.000206745	0.000185831	0.000289283	0.00102498	0.00242583	0.00405517	0.00812529	0.00901294	0.0176666	0.0115558	0.0319853	0.0560832	0.116423	0.243411	0.497271
a18	0.000379484	0.00030355	0.000281633	0.000432736	0.00128893	0.00265232	0.00453615	0.00915447	0.00997712	0.0193659	0.0102918	0.0276377	0.0466359	0.0885114	0.212867	0.565684
a25	0.00649818	0.00435645	0.00414915	0.00389313	0.00601496	0.00650059	0.00966555	0.0132287	0.0136675	0.0177918	0.0106211	0.0251079	0.0443188	0.094949	0.199395	0.539842
a87	0.0493498	0.0321182	0.0230416	0.0199133	0.0229084	0.021344	0.0204478	0.0197367	0.0181453	0.018254	0.020698	0.0446892	0.0717266	0.117251	0.193511	0.306865
a23	0.109894	0.0508372	0.0338466	0.0300105	0.0341092	0.0328726	0.0246389	0.0213788	0.0249941	0.0306182	0.0437649	0.0762166	0.0845964	0.108474	0.117372	0.176375
a97	0.0310743	0.0104865	0.00678787	0.00602083	0.00885828	0.0072765	0.00602999	0.00566268	0.00749263	0.0089108	0.0141533	0.0151916	0.0401924	0.144413	0.248637	0.438812
a82	0.0264198	0.00956261	0.00680982	0.00603103	0.00881337	0.0106254	0.0115644	0.0121511	0.0128454	0.014065	0.0144445	0.0185208	0.0346529	0.0824001	0.182779	0.548315
a97	0.0441267	0.0197872	0.0153686	0.0147681	0.0235802	0.026521	0.0266321	0.0271445	0.0287973	0.0343114	0.0317374	0.0419815	0.0489956	0.0857145	0.141745	0.388789
a87	0.070389	0.0392326	0.028503	0.0243214	0.0252676	0.0230677	0.0236544	0.0274384	0.0335239	0.0522904	0.0482902	0.0639967	0.0576534	0.0908244	0.119462	0.272085
a23	0.089879	0.0461755	0.034929	0.0274483	0.0269185	0.0251555	0.0250342	0.0267464	0.0315977	0.0462483	0.0466816	0.0709021	0.0621773	0.0832293	0.10492	0.251957
a97	0.0329223	0.0179472	0.0160751	0.0125265	0.0121024	0.00918588	0.00822241	0.00742771	0.00831953	0.0100469	0.0160939	0.0211	0.0461254	0.146961	0.202025	0.432919
a87	0.0247755	0.0111707	0.00916857	0.0109421	0.0153582	0.0134868	0.0126857	0.010796	0.0100433	0.00996412	0.012489	0.0150382	0.0290946	0.104962	0.216767	0.493258
</S>	0.0753988	0.0381068	0.0248735	0.0238512	0.0224331	0.016877	0.0138098	0.0126596	0.0129332	0.0149094	0.0181358	0.0202989	0.0305526	0.0894179	0.166736	0.419007
