 	les	coups	de	poing	qu'	il	a	reçus	lui	ont	fait	gonfler	la	figure	</S>
a94	0.0497871	0.0691461	0.10117	0.130052	0.118094	0.0856668	0.0805141	0.0735916	0.0586357	0.0486347	0.036903	0.0266759	0.0347767	0.0440069	0.0423464
a13	0.0280861	0.0367988	0.0609308	0.090314	0.0878656	0.0719351	0.0742006	0.0755118	0.0641116	0.0557864	0.0433651	0.0397734	0.0649527	0.103086	0.103282
a98	0.0137303	0.0166515	0.0299826	0.0480241	0.0493981	0.0445927	0.0480014	0.0554267	0.0544596	0.0487517	0.0393991	0.0482376	0.098066	0.181754	0.223525
a99	0.0168324	0.0189362	0.0352278	0.059566	0.0724797	0.0709399	0.0829063	0.0875973	0.0820392	0.0690419	0.0499469	0.0433567	0.0678595	0.111158	0.132112
a50	0.00680614	0.00726436	0.0121325	0.0208575	0.0305995	0.0418301	0.054018	0.0716078	0.0768086	0.0656187	0.0528713	0.0615213	0.105437	0.169233	0.223394
a24	0.00379605	0.00397141	0.00697634	0.0137455	0.0197357	0.0270826	0.0390351	0.0553552	0.0650654	0.0572301	0.0480803	0.0505364	0.107558	0.209334	0.292498
a11	0.00250266	0.00234735	0.00375558	0.00677379	0.0102019	0.0162823	0.0276027	0.0457963	0.0579145	0.0548108	0.0472251	0.0615101	0.131185	0.239627	0.292465
a38	0.00097889	0.000835692	0.00137659	0.00228147	0.00369852	0.00678914	0.0121867	0.0225849	0.0343274	0.0379771	0.0332711	0.0588755	0.162233	0.295294	0.32729
a54	0.000758872	0.000628316	0.000934358	0.00141126	0.00218803	0.0039655	0.00785916	0.0156705	0.0248919	0.0287901	0.0245799	0.0552802	0.176402	0.327372	0.329268
a69	0.00306691	0.00251284	0.00341055	0.00530331	0.00807147	0.0147265	0.0305736	0.0512111	0.0609784	0.0570645	0.0541244	0.0706509	0.145863	0.213397	0.279046
a93	0.00175757	0.00145795	0.00213173	0.00307623	0.00490275	0.00891733	0.0173678	0.0260492	0.0354024	0.0363757	0.0387858	0.0541393	0.162884	0.269687	0.337065
a70	0.00131424	0.000915648	0.00129456	0.00161184	0.00265985	0.0047221	0.00999619	0.0164118	0.0276397	0.0295853	0.027369	0.038897	0.142987	0.265458	0.429138
a83	0.000222276	0.000143433	0.000196322	0.000269116	0.000461773	0.00077584	0.00165989	0.00340914	0.00633947	0.00753575	0.00704046	0.0162685	0.134346	0.285352	0.535981
a50	0.000133254	7.86809e-05	0.000102507	0.000130441	0.000238134	0.000409969	0.000887214	0.00172022	0.00307793	0.00399467	0.0043428	0.0108947	0.130974	0.262446	0.58057
a99	0.000247612	0.000138728	0.000169222	0.000201756	0.000334902	0.000498636	0.000974427	0.00176984	0.00315488	0.00469908	0.00531034	0.013095	0.140787	0.252634	0.575984
a83	0.00035475	0.000171647	0.000184902	0.000200715	0.000332905	0.000483339	0.000997926	0.00185085	0.00307788	0.00547644	0.00628221	0.0136894	0.145378	0.223664	0.597855
a9	0.000426494	0.000207805	0.000224844	0.000237575	0.000375729	0.000584798	0.00114009	0.00204921	0.00298604	0.0052875	0.00663836	0.0164381	0.139848	0.216313	0.607242
a99	0.00230559	0.00113872	0.00100525	0.000987576	0.00137401	0.00151509	0.00301042	0.0070524	0.0092271	0.0126898	0.0133613	0.0186032	0.121358	0.184054	0.622318
a87	0.0121613	0.00645127	0.00544373	0.0050119	0.00661392	0.00592407	0.00949414	0.0175767	0.0201847	0.0220851	0.0204242	0.0256039	0.113554	0.154756	0.574715
a23	0.0827852	0.044797	0.0431895	0.0414407	0.0536192	0.0484822	0.0668463	0.0858245	0.0913246	0.0774292	0.0507521	0.0412427	0.0748378	0.0759947	0.121434
a87	0.0641359	0.0300073	0.0327436	0.036391	0.0483132	0.041311	0.0553619	0.0652788	0.0994578	0.0779631	0.047839	0.0336762	0.0982527	0.10493	0.164339
</S>	0.0517952	0.0351452	0.0384317	0.0411641	0.0588437	0.047024	0.0688777	0.0713339	0.0874572	0.0659282	0.035524	0.0220237	0.0796995	0.0938764	0.202875
