 	il	y	a	plusieurs	manières	de	baiser	chacun	fait	ce	qu'	il	veut	</S>
a37	0.00165746	0.00172591	0.00375922	0.00559112	0.00993347	0.0304685	0.0708454	0.0559308	0.0724046	0.077645	0.0935418	0.116765	0.184103	0.275629
a93	0.00246707	0.00225821	0.00448868	0.00550553	0.00747255	0.0223491	0.0566691	0.0524109	0.0674542	0.0716093	0.0984267	0.1419	0.200992	0.265997
a44	0.00234917	0.00202617	0.00378905	0.00444489	0.00554636	0.0171807	0.0523359	0.0491161	0.0651187	0.0692209	0.0961005	0.146043	0.215814	0.270914
a34	0.000959114	0.00087107	0.00160585	0.00205473	0.00262445	0.00742422	0.0396333	0.0406955	0.0571893	0.061616	0.0852438	0.137188	0.232993	0.329902
a92	0.000715358	0.000645171	0.00122146	0.00155125	0.0018935	0.00594217	0.034523	0.0349407	0.0510347	0.0566338	0.081332	0.140992	0.248773	0.339802
a37	0.000179905	0.000177043	0.000325296	0.00046727	0.000686461	0.00247863	0.020198	0.0207943	0.0339626	0.0455675	0.0744037	0.149465	0.264794	0.3865
a70	0.000348074	0.000312608	0.000446309	0.000521967	0.000638282	0.00142034	0.0132348	0.0174224	0.0312306	0.0340846	0.0548828	0.125412	0.264535	0.45551
a61	0.000268564	0.000232766	0.000355607	0.00040546	0.000478002	0.00128398	0.0131677	0.0160341	0.0286065	0.031453	0.0494307	0.116414	0.26432	0.477549
a47	0.000184113	0.00014971	0.000215843	0.000238714	0.000277342	0.000931663	0.0118214	0.0125293	0.0237859	0.0263914	0.0411542	0.105244	0.261129	0.515947
a96	0.000261888	0.000233993	0.000338704	0.000367314	0.00046434	0.00110651	0.0121162	0.0144105	0.0258044	0.0255043	0.0422193	0.108626	0.238741	0.529805
a75	0.000401197	0.000341561	0.000439228	0.000480576	0.000582804	0.00131588	0.0130619	0.0160706	0.0293438	0.0288321	0.0443611	0.111789	0.234517	0.518463
a79	5.05234e-05	4.17839e-05	5.01753e-05	5.3328e-05	7.24144e-05	0.000253211	0.00484946	0.00539174	0.0114252	0.0176602	0.0363041	0.116411	0.271461	0.535975
a44	5.74158e-05	4.97403e-05	6.49372e-05	7.94194e-05	0.000127558	0.000544459	0.00819296	0.00867161	0.0138746	0.0169599	0.0289223	0.0837995	0.232867	0.605789
a26	8.99679e-05	7.34757e-05	0.000100711	0.000110437	0.000148558	0.000465586	0.00695195	0.0089579	0.0145674	0.0182053	0.0326931	0.0894883	0.229441	0.598706
a84	0.00150812	0.00114866	0.00115108	0.00080323	0.000938382	0.00114061	0.0064329	0.00815795	0.0142454	0.0170059	0.0381024	0.13421	0.271878	0.503277
a3	0.0339297	0.0227587	0.0169398	0.0126005	0.0111448	0.00915185	0.0189589	0.0141098	0.0234749	0.0312755	0.0732939	0.182313	0.243186	0.306862
a97	0.119512	0.0747905	0.045457	0.0365698	0.0268189	0.0231755	0.0319405	0.0298637	0.0481879	0.0596169	0.0862661	0.11746	0.130711	0.16963
a87	0.0753395	0.0495582	0.0340728	0.0314453	0.0257792	0.0409705	0.0681958	0.0658612	0.0874643	0.0926647	0.105912	0.102009	0.0986507	0.122076
a97	0.0522628	0.0380754	0.0298557	0.0322727	0.0326986	0.0754133	0.11153	0.092598	0.102657	0.0941587	0.09435	0.0784557	0.0744511	0.0912204
a87	0.0340202	0.0229352	0.0145891	0.0182219	0.0179741	0.0473371	0.0683766	0.0553173	0.0692649	0.0665086	0.0791493	0.0916381	0.139655	0.275012
a23	0.0318214	0.0233497	0.0182483	0.0243022	0.0236975	0.0509405	0.0592411	0.0509743	0.0585996	0.0535351	0.0597657	0.0711791	0.133122	0.341224
a87	0.0315139	0.0242454	0.0151861	0.0167346	0.016458	0.0269028	0.0278876	0.0244481	0.034549	0.0427316	0.079417	0.123461	0.19185	0.344615
</S>	0.0271058	0.023327	0.0181707	0.0205652	0.0149898	0.0217082	0.0225482	0.0215746	0.0291839	0.032816	0.0520548	0.0860234	0.182721	0.447211
