 	si	tu	fais	du	mal	aux	autres	tu	n'	auras	pas	une	longue	vie	</S>
a37	0.0194696	0.021305	0.0206664	0.0249225	0.03219	0.0478986	0.0696902	0.0783081	0.0983841	0.103861	0.094366	0.0711687	0.074256	0.118924	0.12459
a44	0.0105472	0.0121263	0.0130966	0.0174477	0.0257112	0.0405596	0.0701902	0.0933417	0.164016	0.162251	0.11354	0.0721264	0.0588982	0.0663284	0.0798197
a98	0.00772771	0.00847019	0.00914897	0.012632	0.0192445	0.032555	0.0612003	0.0868606	0.152193	0.173782	0.12735	0.077862	0.0666389	0.0764355	0.0878989
a92	0.012436	0.0133557	0.0135418	0.0167705	0.0214079	0.0300815	0.0452243	0.0598219	0.0931884	0.109381	0.105646	0.0800853	0.0866689	0.146542	0.165849
a21	0.0166804	0.0175979	0.0175807	0.0217525	0.027619	0.0374244	0.0560832	0.0711405	0.11346	0.125868	0.112688	0.0793355	0.0763714	0.105538	0.120861
a88	0.0314376	0.0314018	0.0308342	0.0372744	0.0460122	0.055237	0.0756214	0.0893218	0.139092	0.137913	0.100349	0.0629069	0.0477226	0.053769	0.0611072
a71	0.00720519	0.0069184	0.00777735	0.0101928	0.015026	0.0228169	0.041987	0.061622	0.122884	0.198573	0.170285	0.105646	0.0797626	0.0751377	0.0741661
a9	0.00233662	0.00243245	0.00275343	0.00381981	0.00704851	0.0150158	0.0393026	0.0797552	0.153893	0.225144	0.163236	0.101732	0.0684139	0.0622657	0.0728518
a53	0.00294344	0.00323568	0.00344396	0.00451825	0.00824965	0.017628	0.0459619	0.0981774	0.158018	0.220822	0.150945	0.0970581	0.0670798	0.0548156	0.0671038
a90	0.00563208	0.00614984	0.00623956	0.0081824	0.0123962	0.0221376	0.047127	0.0759003	0.114962	0.150539	0.132032	0.101208	0.0928721	0.105283	0.119338
a92	0.00527769	0.00613384	0.00627165	0.00890514	0.0140812	0.023419	0.0431634	0.0658141	0.103109	0.146684	0.141722	0.105975	0.10161	0.114086	0.113749
a21	0.00749619	0.00857402	0.00900073	0.0128477	0.0196473	0.0303224	0.0466995	0.060899	0.0931713	0.127112	0.135742	0.10591	0.0969772	0.114935	0.130665
a85	0.0119244	0.012903	0.0131492	0.0175532	0.0253363	0.0354596	0.0527179	0.0685855	0.102052	0.130307	0.12576	0.101616	0.0954537	0.102873	0.104309
a37	0.0154812	0.0170722	0.017369	0.0226447	0.0304115	0.0415139	0.0527411	0.0612532	0.0897292	0.115794	0.11838	0.0884796	0.0748702	0.0998591	0.154402
a21	0.00232878	0.00235928	0.00245623	0.00354281	0.00564344	0.00970067	0.0184249	0.0271102	0.0557927	0.109618	0.130009	0.101546	0.122614	0.171562	0.237291
a47	0.00864032	0.00887277	0.00890455	0.0117414	0.0175553	0.0251688	0.0385768	0.0484334	0.0775992	0.111023	0.124451	0.106201	0.113682	0.137595	0.161556
a96	0.00484731	0.00466432	0.00428386	0.00521692	0.0071605	0.0113184	0.0216596	0.0310971	0.0570832	0.100466	0.116157	0.0962205	0.110915	0.161477	0.267433
a47	0.00291679	0.00282666	0.00262839	0.00339501	0.00503772	0.00865233	0.0179406	0.0272102	0.0518408	0.100568	0.118727	0.0993302	0.116503	0.170605	0.271818
a88	0.00228812	0.00242127	0.00224884	0.00286608	0.00428194	0.00746169	0.0164152	0.0267057	0.0515314	0.103082	0.125678	0.101643	0.11327	0.167946	0.27216
a71	0.00125592	0.00126472	0.00112228	0.00133068	0.0018121	0.00293894	0.00605857	0.0102975	0.0229543	0.0550612	0.0752397	0.0634558	0.0902704	0.221519	0.445418
a9	0.00222785	0.0023955	0.00213047	0.00240359	0.00322304	0.0047562	0.00806141	0.012509	0.0222035	0.0479987	0.0678634	0.0716477	0.109083	0.236072	0.407424
a97	0.00723321	0.00615411	0.00493137	0.00507683	0.00622703	0.00735132	0.00908514	0.0111263	0.0148384	0.035414	0.0528917	0.0682927	0.131341	0.271217	0.368819
a87	0.0371291	0.0273708	0.0189682	0.0155339	0.0168477	0.0165789	0.0181535	0.0208516	0.0251249	0.0413796	0.0576799	0.0791728	0.127635	0.220254	0.27732
a23	0.0561937	0.0436955	0.0320382	0.0248822	0.0288783	0.038292	0.0491514	0.0640012	0.0527909	0.0717753	0.0816583	0.0999288	0.107556	0.118872	0.130287
a83	0.0359696	0.0234302	0.0193504	0.0160681	0.0163857	0.020793	0.0237299	0.0267362	0.0204457	0.0409552	0.0708471	0.0854869	0.115254	0.176317	0.308231
a34	0.00337533	0.00249396	0.00244029	0.00249255	0.00377812	0.00705103	0.00971168	0.0134452	0.0148534	0.0437633	0.0752755	0.0907253	0.148092	0.243322	0.33918
a92	0.000681705	0.000599868	0.00059312	0.00069358	0.0011027	0.00238441	0.00406306	0.00700777	0.00970739	0.0308537	0.0624346	0.0844203	0.165777	0.29627	0.333411
a37	0.000523848	0.000529213	0.000687515	0.000937737	0.00157493	0.00338155	0.00630554	0.0116827	0.0178337	0.0406045	0.0651027	0.0783148	0.152502	0.281249	0.33877
a75	0.000211115	0.000206964	0.000225367	0.000300398	0.00050859	0.00116507	0.00265401	0.00548797	0.01091	0.0277182	0.038042	0.0453674	0.105441	0.271027	0.490735
a37	0.000463789	0.000483014	0.000595281	0.000830177	0.00139703	0.00293467	0.00570925	0.0111159	0.0191441	0.045792	0.0630867	0.0668689	0.127356	0.294438	0.359784
a75	0.00032345	0.000315168	0.00033514	0.000452867	0.000753026	0.00157032	0.0036254	0.00750801	0.017956	0.0460767	0.0562143	0.0595077	0.114625	0.248907	0.44183
a85	0.000423992	0.000404549	0.000470922	0.000626253	0.00104867	0.00212091	0.00431787	0.00854707	0.0180283	0.0448709	0.0620046	0.0639345	0.116841	0.276226	0.400134
a5	0.00167813	0.0018419	0.00225845	0.00327765	0.00541345	0.0100594	0.0162929	0.0251043	0.0368298	0.0641038	0.07948	0.0798062	0.122823	0.248024	0.303008
a66	0.00100605	0.00102372	0.00106252	0.0013884	0.00221139	0.00380508	0.00644509	0.0103424	0.0208035	0.0463732	0.0656404	0.0689626	0.130359	0.277527	0.36305
a11	0.000482317	0.000454019	0.000427645	0.000532017	0.000775188	0.00141693	0.00306366	0.00562979	0.0129645	0.0336452	0.0461006	0.0471367	0.0910383	0.238274	0.518059
a56	0.000314363	0.000296969	0.000285682	0.000358248	0.000547163	0.00104865	0.00230924	0.00419587	0.00868082	0.0264424	0.0393321	0.0413632	0.0838803	0.237625	0.55332
a98	0.000438268	0.000417553	0.000410743	0.000504077	0.000769421	0.00147229	0.00319372	0.00594084	0.0135079	0.0341407	0.0495422	0.0541615	0.104228	0.256725	0.474547
a6	0.000475765	0.00045315	0.000539795	0.000760085	0.00128207	0.00247452	0.00495053	0.00827868	0.0134042	0.0312101	0.0476818	0.0501821	0.101148	0.280135	0.457024
a26	0.000451992	0.000458101	0.000516174	0.000658206	0.00092849	0.00156786	0.00294116	0.00493829	0.00997623	0.0257385	0.0442085	0.0472182	0.104203	0.284694	0.471501
a40	0.000533073	0.000536927	0.00052387	0.000637621	0.000872847	0.00141271	0.00256106	0.0039521	0.00612383	0.0155068	0.02602	0.0262857	0.0585602	0.212205	0.644269
a36	0.000300405	0.000317149	0.000344661	0.000443797	0.000649465	0.00111434	0.00213333	0.0032392	0.00511758	0.0111775	0.0190097	0.02101	0.0539879	0.231087	0.650068
a2	0.000546284	0.000592377	0.000579351	0.000685705	0.000961812	0.00145544	0.00223148	0.00300677	0.00341239	0.0068775	0.011791	0.0134113	0.0366277	0.188669	0.729151
a57	0.00385431	0.00385759	0.00357743	0.00387141	0.00499719	0.00602194	0.00693387	0.00750767	0.00590184	0.0126425	0.0215957	0.0280239	0.073853	0.267634	0.549727
a87	0.0643779	0.0457136	0.0347934	0.0308645	0.0308247	0.0304057	0.0277554	0.0261587	0.0185721	0.0328512	0.054871	0.0707164	0.108438	0.198415	0.225242
a23	0.0951131	0.070675	0.0495574	0.0386309	0.0384988	0.0378785	0.0375398	0.0370663	0.0324701	0.0435891	0.0611532	0.0735256	0.0822263	0.124811	0.177265
a87	0.0354513	0.0237354	0.0161838	0.0112561	0.0107066	0.0111962	0.0139813	0.0190303	0.0169244	0.0348984	0.0724074	0.0908946	0.117494	0.195941	0.329899
</S>	0.0169455	0.0116843	0.00893789	0.00754899	0.00896844	0.0145945	0.0211123	0.0240616	0.0189107	0.0310514	0.0544015	0.0609783	0.0877109	0.196811	0.436282
