 	mon	petit	frère	m'	a	montré	l'	endroit	où	maman	a	gardé	ma	nourriture	</S>
a93	0.00446906	0.00505693	0.00888463	0.00803889	0.0116108	0.0159813	0.0237197	0.0345665	0.0613243	0.119773	0.128005	0.144666	0.141451	0.144226	0.148227
a70	0.00356192	0.00402746	0.0069322	0.00631282	0.008506	0.0113905	0.0162853	0.0224278	0.0467744	0.0971278	0.111261	0.137943	0.152567	0.182969	0.191914
a96	0.00176645	0.00192497	0.00343083	0.00316569	0.00482329	0.00821395	0.00952876	0.0124553	0.0232783	0.0615526	0.0769566	0.121844	0.163505	0.226405	0.281149
a93	0.00137901	0.00141957	0.0030043	0.00335679	0.00717946	0.0108625	0.00935527	0.0123906	0.0181475	0.0446614	0.0625078	0.122952	0.179682	0.243604	0.279498
a70	0.000973479	0.0009728	0.00178151	0.00198512	0.0035033	0.00633972	0.00474044	0.00595323	0.0111878	0.0316602	0.0445411	0.0894829	0.162721	0.272927	0.361231
a34	0.00067405	0.00067182	0.0011508	0.00164188	0.00285948	0.00368983	0.0054859	0.00743884	0.0131131	0.0322065	0.0451128	0.10741	0.189595	0.260512	0.328438
a21	0.000520012	0.000533673	0.000914936	0.00128793	0.00174734	0.00183108	0.00255353	0.0039143	0.00839584	0.022816	0.0350675	0.0830898	0.165811	0.275436	0.396082
a85	0.00031703	0.000279652	0.000491623	0.000605139	0.000701829	0.000660997	0.000807487	0.00172297	0.0045987	0.0140761	0.0248552	0.0680244	0.140091	0.258672	0.484096
a6	0.000120426	0.000113994	0.000219682	0.000287763	0.000359278	0.000358974	0.00062902	0.00160146	0.00498315	0.0154278	0.0260426	0.0670372	0.138517	0.274196	0.470106
a37	0.000114508	0.000101865	0.000197088	0.000272076	0.000446726	0.00051366	0.000762496	0.00184927	0.0050243	0.015234	0.0273032	0.0696482	0.146188	0.277789	0.454556
a36	0.000499939	0.000490659	0.000829115	0.00109956	0.0023646	0.00314379	0.00255971	0.00522298	0.00791795	0.013008	0.0220012	0.0754227	0.179265	0.268214	0.417961
a2	0.0050025	0.00430886	0.00630362	0.00725707	0.010371	0.00990237	0.00983321	0.0163437	0.0209073	0.0254362	0.0377032	0.0980122	0.167866	0.215483	0.36527
a57	0.0287817	0.0180339	0.0212421	0.0202415	0.0198485	0.0360144	0.0380825	0.0559763	0.0511574	0.0661324	0.0763816	0.105175	0.117065	0.123652	0.222215
a87	0.0866346	0.0348121	0.0282683	0.0280523	0.0354484	0.0577128	0.0628558	0.0945582	0.0721904	0.0745571	0.06795	0.0798896	0.0847114	0.0813565	0.111002
a23	0.168258	0.0790654	0.0507081	0.0475697	0.0522167	0.0540869	0.052939	0.069326	0.0649596	0.069397	0.0631574	0.0585092	0.059236	0.0550746	0.0554959
a87	0.108361	0.0320884	0.0175781	0.0167682	0.0161416	0.026738	0.0229646	0.0253086	0.0260022	0.0361747	0.0521126	0.0673183	0.0925065	0.184444	0.275493
a23	0.0225754	0.00622354	0.00390873	0.00425031	0.00458461	0.00634937	0.00962077	0.0170978	0.0221891	0.0348756	0.0537493	0.0751241	0.0974642	0.233388	0.408599
</S>	0.05529	0.0198336	0.0145722	0.0149422	0.0171777	0.0244846	0.0357252	0.0568036	0.0625703	0.0631987	0.0707671	0.0752329	0.0851159	0.15698	0.247306
