 	retire	l'	aiguillon	de	l'	abeille	qui	est	enfoncé	dans	mon	bras	</S>
a24	0.0396399	0.0723568	0.0815181	0.0953624	0.0987527	0.125848	0.128043	0.104726	0.0724813	0.0553109	0.0425289	0.040915	0.0425172
a35	0.0362497	0.0603148	0.0862341	0.0744255	0.0820794	0.107797	0.119891	0.0944491	0.0838892	0.0723151	0.0600143	0.0576969	0.0646437
a85	0.0166816	0.0406287	0.0731251	0.074714	0.0913455	0.120865	0.151659	0.113954	0.0957288	0.0691132	0.0512024	0.0480783	0.0529038
a35	0.0110278	0.0237344	0.0425281	0.0550014	0.0794173	0.124251	0.156339	0.120005	0.106779	0.0795624	0.0618343	0.0674451	0.0720738
a76	0.0123439	0.0285469	0.051565	0.0619416	0.0830592	0.112955	0.128081	0.0994319	0.0957314	0.084551	0.0742981	0.0808082	0.0866871
a98	0.0112411	0.0267898	0.0457506	0.0532515	0.0721469	0.0959021	0.0984014	0.076059	0.0846932	0.100835	0.101191	0.114654	0.119084
a44	0.0123548	0.0279646	0.0377807	0.0403672	0.0438697	0.056191	0.0622269	0.0578065	0.078001	0.120777	0.139183	0.166258	0.157219
a26	0.00726907	0.019821	0.0367701	0.0462783	0.0605497	0.081467	0.0827593	0.0645662	0.079887	0.109803	0.122692	0.145184	0.142954
a61	0.00703928	0.0153132	0.0215183	0.0255674	0.034299	0.0477052	0.0613019	0.0609921	0.0942321	0.13179	0.136159	0.177927	0.186156
a24	0.0024618	0.00672305	0.0127874	0.0144314	0.0213266	0.0315662	0.0443674	0.0471645	0.0709148	0.121575	0.166179	0.231265	0.229238
a35	0.00211818	0.00444737	0.00865674	0.00684964	0.00923323	0.0166163	0.032395	0.0407858	0.0717131	0.126276	0.172952	0.239378	0.268579
a75	0.00201254	0.00558974	0.0121419	0.0110184	0.0168611	0.0295792	0.041926	0.0364166	0.0550226	0.102811	0.15697	0.241979	0.287672
a14	0.00169845	0.00456751	0.00831062	0.00779965	0.0125966	0.0223162	0.031346	0.0296293	0.0404169	0.0859913	0.164891	0.276544	0.313893
a75	0.00248547	0.00576642	0.0103473	0.00843331	0.0132337	0.0233048	0.0291771	0.0289965	0.0434433	0.0975061	0.176613	0.271478	0.289215
a41	0.00337563	0.00835715	0.0145825	0.0100807	0.0150324	0.0241942	0.025859	0.0229751	0.0352606	0.0823411	0.164466	0.277352	0.316123
a35	0.00267789	0.00595022	0.0113936	0.00676158	0.00953682	0.0163219	0.0218625	0.0215703	0.0388128	0.0926438	0.173464	0.286798	0.312207
a66	0.00572212	0.0103214	0.0155684	0.00761591	0.0107437	0.0196445	0.0279317	0.0265373	0.039067	0.0792296	0.152572	0.264217	0.340829
a76	0.00759225	0.0133285	0.0178083	0.0144309	0.0181545	0.0282883	0.0411917	0.0397336	0.057563	0.0951186	0.118633	0.225248	0.322909
a94	0.00416019	0.0104802	0.0246825	0.0135315	0.0192942	0.0289413	0.0323998	0.0251669	0.038541	0.0738542	0.138748	0.235556	0.354644
a98	0.0100465	0.0161692	0.0235617	0.0113886	0.0128743	0.0219519	0.0339924	0.0329909	0.038783	0.069901	0.121169	0.240046	0.367125
a25	0.00641323	0.0124667	0.0275608	0.0114312	0.013682	0.0219057	0.0271509	0.0258514	0.0420433	0.0779575	0.144958	0.236029	0.352551
a87	0.0115847	0.0196506	0.0338275	0.0222408	0.0249633	0.0304675	0.0388978	0.036853	0.0554622	0.0888762	0.116099	0.207467	0.31361
a23	0.0117479	0.0143861	0.0180222	0.0117486	0.0114738	0.014095	0.0168256	0.0194687	0.0435566	0.10409	0.165609	0.249712	0.319264
a87	0.0408932	0.0502158	0.0395432	0.0294804	0.0268749	0.0314972	0.0301937	0.0298991	0.0450398	0.096318	0.161055	0.203281	0.215709
</S>	0.03706	0.04857	0.0398502	0.0241023	0.020428	0.0258059	0.0189614	0.0194442	0.0324007	0.0687938	0.121564	0.208685	0.334335
