 	les	chefs	coutumiers	du	district	de	boundji	sont	partis	en	conseil	à	ongondza	</S>
a4	0.00609628	0.00744217	0.0246454	0.0601655	0.0687816	0.0718796	0.118078	0.115923	0.119035	0.129366	0.0863443	0.0611447	0.0595567	0.0715423
a13	0.00332199	0.00393014	0.0145278	0.0386525	0.0596872	0.0738161	0.128248	0.120061	0.12528	0.139788	0.087164	0.0586607	0.0559895	0.0908734
a70	0.00572071	0.00550476	0.0139752	0.0366004	0.0732943	0.0916248	0.148396	0.124546	0.120294	0.123929	0.073463	0.0538471	0.0443487	0.0844562
a4	0.00701039	0.00794096	0.0182598	0.0379595	0.0547603	0.0660747	0.106328	0.103057	0.106492	0.14376	0.0933864	0.0733926	0.0719218	0.109657
a57	0.00421902	0.00479693	0.0130513	0.0286932	0.0425971	0.0567245	0.103087	0.103481	0.109532	0.146867	0.0947238	0.0792854	0.0840399	0.128902
a3	0.0023536	0.00242703	0.00905578	0.0229195	0.0463203	0.0615488	0.107446	0.093901	0.0938533	0.104841	0.0743128	0.0902064	0.106448	0.184366
a99	0.00835333	0.00688999	0.0113811	0.0315067	0.0541868	0.0647101	0.123534	0.0908696	0.0808826	0.128543	0.096041	0.0927815	0.0854039	0.124916
a87	0.0289765	0.0208934	0.0222533	0.0346702	0.0476295	0.061907	0.112272	0.0858315	0.0760939	0.11823	0.093601	0.0878653	0.0873605	0.122416
a23	0.0726204	0.0578857	0.0340465	0.0314056	0.0331893	0.0494356	0.0781763	0.0708255	0.0633161	0.0850921	0.0758291	0.0967369	0.120735	0.130706
a10	0.0286447	0.020629	0.020063	0.0125988	0.0108861	0.0214317	0.0368422	0.039858	0.0408354	0.0368542	0.0498767	0.113458	0.205317	0.362706
a30	0.00611528	0.00482755	0.00853714	0.00879691	0.00815485	0.0242277	0.05485	0.0563817	0.0607425	0.0549077	0.0632048	0.114821	0.167195	0.367237
a4	0.00774789	0.0062557	0.00912277	0.0103834	0.00888637	0.0251451	0.0573937	0.0526991	0.0604225	0.0621032	0.0740084	0.126296	0.149647	0.34989
a13	0.00470415	0.00436843	0.00749449	0.00769415	0.0115466	0.0332766	0.0557092	0.0428072	0.0455835	0.0458573	0.0597073	0.110307	0.178629	0.392315
a4	0.0015161	0.00173392	0.00354465	0.00583227	0.00952449	0.0192516	0.0354613	0.0271216	0.0291176	0.0368526	0.0492888	0.113986	0.211351	0.455417
a13	0.00114762	0.00144123	0.00425975	0.0065299	0.00958801	0.0143505	0.02898	0.0265148	0.0314617	0.0446962	0.0562482	0.12103	0.228147	0.425605
a38	0.0015669	0.00196534	0.00653126	0.00971661	0.014311	0.0265214	0.0520106	0.0402714	0.0418341	0.049265	0.0498836	0.107814	0.201038	0.39727
a82	0.000967966	0.00109037	0.00399888	0.00575754	0.00874763	0.0157567	0.0313025	0.0240889	0.0269124	0.042444	0.0493919	0.124331	0.224493	0.440716
a87	0.00165122	0.00164343	0.00676324	0.0123501	0.019483	0.033056	0.0655173	0.0503672	0.0510628	0.0641602	0.0539258	0.113572	0.170074	0.356374
a23	0.0298398	0.0247029	0.0290398	0.0426562	0.0386106	0.0460115	0.0771755	0.0636967	0.0646619	0.100161	0.0999826	0.127902	0.120238	0.13532
a87	0.0432988	0.0268418	0.0126463	0.00810989	0.00648616	0.0123568	0.0287358	0.0344979	0.0430528	0.0700916	0.105395	0.169856	0.150059	0.288572
</S>	0.0141773	0.0103743	0.00666875	0.00641001	0.00490175	0.00832063	0.0200338	0.0260566	0.0365445	0.0524719	0.0735203	0.143874	0.167676	0.42897
