 	le	père	a	conseillé	son	fils	de	se	marier	avec	une	femme	de	la	même	tribu	</S>
a96	0.0319609	0.0310454	0.0452886	0.0800719	0.0975812	0.094531	0.0983434	0.120293	0.117341	0.081717	0.0623805	0.0453004	0.0261144	0.0178676	0.0141264	0.0121645	0.0238735
a66	0.0188476	0.0183446	0.0290094	0.0665632	0.0939809	0.0985037	0.0947584	0.11696	0.110566	0.0977967	0.0738379	0.052728	0.0312583	0.0230633	0.0200202	0.0186116	0.0351497
a0	0.00769279	0.00614702	0.00993838	0.0297516	0.0706107	0.0884822	0.0819335	0.096082	0.113374	0.125101	0.0951302	0.0709753	0.0444847	0.0326267	0.0318799	0.0336014	0.0621884
a21	0.00323388	0.00245829	0.00423345	0.0161153	0.043603	0.0606666	0.0544526	0.066217	0.0943943	0.146141	0.120751	0.0936364	0.0588339	0.0427226	0.0495524	0.0548553	0.0881333
a56	0.0180096	0.0159646	0.0194665	0.0348799	0.0505896	0.0641304	0.0642208	0.0784345	0.0770158	0.0917912	0.0728564	0.0609884	0.0567365	0.0562115	0.0617263	0.0575118	0.119466
a96	0.0078265	0.00705653	0.0109063	0.0285828	0.0492578	0.0614144	0.0583778	0.0730494	0.0751399	0.103481	0.0779046	0.0652462	0.0646073	0.0649719	0.0676568	0.0652953	0.119226
a93	0.00545564	0.00463548	0.00809042	0.0238374	0.0450677	0.0490927	0.0445103	0.0564344	0.0737932	0.131622	0.106842	0.0871861	0.073373	0.0663163	0.0671348	0.0626179	0.0939911
a4	0.00466261	0.00407025	0.00727174	0.0230317	0.0449748	0.0548647	0.0486335	0.0615581	0.0778618	0.146654	0.109008	0.0797592	0.063438	0.0595624	0.0609766	0.0587236	0.0949493
a70	0.00326961	0.00319904	0.00622117	0.022697	0.0361062	0.0415067	0.0380655	0.0488841	0.0650251	0.120457	0.100416	0.0850594	0.0818278	0.0800416	0.0847471	0.0765378	0.105939
a62	0.00246469	0.00217366	0.00425808	0.0160586	0.0307204	0.0356734	0.0327798	0.0411705	0.0596182	0.116876	0.114975	0.095131	0.0787294	0.0722158	0.082387	0.0855234	0.129244
a47	0.00286078	0.00246574	0.0035751	0.0113868	0.0234251	0.0295396	0.0265563	0.0326711	0.0507548	0.125344	0.127879	0.102591	0.0808475	0.072337	0.0804008	0.0793173	0.148048
a88	0.00327895	0.00271795	0.00425217	0.0144147	0.0325725	0.036614	0.0329695	0.040367	0.0608731	0.133007	0.139216	0.110257	0.0813487	0.0687559	0.0751137	0.0728487	0.091393
a90	0.00251984	0.00219898	0.00325851	0.0104568	0.0206444	0.0267234	0.0254621	0.0325583	0.0515482	0.12136	0.138208	0.114338	0.0856186	0.0745649	0.0816531	0.0846139	0.124272
a25	0.00185417	0.00157275	0.00296449	0.0126027	0.0251253	0.0327333	0.0289591	0.0345795	0.0473087	0.0993896	0.110402	0.0950109	0.0824648	0.0793156	0.0994205	0.103516	0.14278
a98	0.00290813	0.00258162	0.00444784	0.0162803	0.0288384	0.0364111	0.0287696	0.0355298	0.0447299	0.0916447	0.105234	0.101941	0.0940428	0.0816358	0.0969148	0.0964955	0.131594
a79	0.0083047	0.0073299	0.00913195	0.0246984	0.0372297	0.0447066	0.0402559	0.0490318	0.0488171	0.0904204	0.106942	0.0997108	0.085933	0.0723736	0.0840911	0.0830867	0.107936
a92	0.0110145	0.00941375	0.0106783	0.0251008	0.0349164	0.0426814	0.041449	0.0538714	0.0528944	0.0827013	0.103893	0.101854	0.0880589	0.0735051	0.0836809	0.0799781	0.104309
a56	0.00653347	0.00577289	0.0082317	0.0242128	0.0390753	0.0471283	0.0423755	0.0507863	0.0537915	0.08523	0.0931296	0.082959	0.0766528	0.0708667	0.0853143	0.0887379	0.139202
a75	0.00240983	0.00246166	0.00426455	0.0125983	0.0250416	0.029372	0.0239001	0.0280394	0.0305227	0.0667297	0.0849172	0.0882439	0.096214	0.0930016	0.107641	0.107705	0.196938
a79	0.00859976	0.00736006	0.00885488	0.0229739	0.0357712	0.0448936	0.0412571	0.0448358	0.0380048	0.0686352	0.0768846	0.0701096	0.0671644	0.0662967	0.0873599	0.102505	0.208493
a7	0.00861983	0.00721196	0.00837097	0.0190702	0.0299143	0.0368229	0.0322456	0.0352858	0.0301859	0.063619	0.0718074	0.0674484	0.0665887	0.0688894	0.0954211	0.112746	0.245752
a4	0.00107202	0.000840546	0.00130164	0.00415524	0.008324	0.0103285	0.00880383	0.010573	0.0121595	0.03097	0.0428117	0.0479055	0.0588755	0.0624022	0.0893652	0.129142	0.48097
a13	0.0010089	0.000681439	0.000890078	0.00266077	0.00559563	0.0077163	0.00674226	0.00684042	0.00711169	0.0191659	0.027702	0.0319819	0.0349603	0.0345151	0.0619928	0.106658	0.643776
a57	0.00132894	0.000830542	0.00103304	0.00331936	0.00559314	0.00880985	0.00951305	0.00830818	0.00741582	0.0201232	0.0328153	0.0387676	0.0432719	0.039488	0.0667169	0.111894	0.600771
a3	0.0134736	0.00664683	0.00607269	0.0110016	0.0178458	0.0292906	0.0307008	0.0274952	0.0218061	0.0449794	0.0669965	0.0597491	0.0446312	0.033523	0.0530775	0.0969124	0.435798
a87	0.0401494	0.0166042	0.0130841	0.012352	0.0242967	0.0350496	0.0300742	0.0223419	0.0258106	0.0563238	0.0722017	0.0670137	0.0565884	0.0545573	0.099822	0.125147	0.248583
a23	0.0230707	0.0136148	0.0129886	0.0135367	0.0251579	0.0386408	0.0321697	0.0287008	0.0373882	0.0633384	0.0764125	0.0758105	0.0775854	0.0840048	0.11856	0.113113	0.165907
a9	0.00997283	0.00567555	0.00304949	0.00254161	0.00369336	0.00571175	0.00491381	0.00475762	0.00610591	0.00882387	0.00939937	0.00892015	0.0110711	0.0214306	0.0660513	0.145159	0.682723
a26	0.00421976	0.00264348	0.00230052	0.00327305	0.00497404	0.00728367	0.00591764	0.00507226	0.00730374	0.00949001	0.0115651	0.0126534	0.0178945	0.0295123	0.0777378	0.140237	0.657922
</S>	0.00398097	0.0025743	0.00265344	0.00369163	0.00604958	0.0083497	0.00712677	0.0064127	0.00941924	0.0127141	0.0165284	0.0189454	0.0256184	0.0358671	0.0812595	0.128412	0.630397
