 	ma	grand-mère	a	pris	de	la	latérite	noire	pour	fabriquer	une	casserole	</S>
a23	0.0168294	0.0274417	0.0266833	0.0267225	0.0325655	0.0495628	0.0609848	0.0597414	0.0924472	0.14781	0.196995	0.138195	0.124022
a83	0.0067457	0.0077246	0.00834206	0.00981366	0.0131739	0.0225859	0.0323486	0.0381249	0.0554676	0.114738	0.213827	0.235215	0.241893
a88	0.00153031	0.00417023	0.00556278	0.00611301	0.00558857	0.0059358	0.00669947	0.0103777	0.0217819	0.0695904	0.196529	0.322281	0.34384
a83	0.00123656	0.00299282	0.0053201	0.0071705	0.00783705	0.00839598	0.00849848	0.00964273	0.0124645	0.0234836	0.0863683	0.322845	0.503744
a93	0.00118323	0.00263332	0.0064497	0.0111218	0.0139852	0.0163647	0.0156116	0.0158176	0.0171691	0.026193	0.0797448	0.28605	0.507676
a90	0.00327089	0.00528788	0.00954281	0.0151085	0.0201739	0.0238516	0.0227325	0.0209651	0.0207383	0.0319355	0.0978676	0.309118	0.419407
a92	0.00276276	0.00537939	0.0092181	0.0138433	0.0178861	0.021685	0.02226	0.0211985	0.0225509	0.0367407	0.105987	0.328733	0.391755
a6	0.00281609	0.00732207	0.0149778	0.0226059	0.0277548	0.0323573	0.0321754	0.0287113	0.0293818	0.0424214	0.0966856	0.284414	0.378376
a37	0.00137748	0.00361978	0.00930666	0.0160262	0.0209716	0.0236745	0.021651	0.0183434	0.0188925	0.0314421	0.100285	0.304958	0.429452
a62	0.00119821	0.00272033	0.0074401	0.0124837	0.0169994	0.0186411	0.0163147	0.0129635	0.0132357	0.0223014	0.0859649	0.307881	0.481856
a21	0.00152693	0.00270494	0.0061392	0.0109321	0.016487	0.0193461	0.0183461	0.0141343	0.0143105	0.0242067	0.078328	0.285293	0.508245
a5	0.00271557	0.00457806	0.00736018	0.0128579	0.0199057	0.0227114	0.0210013	0.0170039	0.0179102	0.0300019	0.0860412	0.292499	0.465414
a36	0.00277713	0.00409035	0.00587511	0.00836534	0.0117771	0.0124849	0.0116605	0.0094481	0.00949237	0.0184482	0.0634985	0.286459	0.555623
a27	0.00110248	0.0022188	0.00374441	0.00551759	0.00744323	0.00766014	0.00615049	0.00495097	0.00497866	0.00869434	0.0361386	0.218976	0.692424
a30	0.00843151	0.0114395	0.0127077	0.0151852	0.0215104	0.0189029	0.0175098	0.0171178	0.0265156	0.0495961	0.117298	0.207986	0.4758
a10	0.0520309	0.053422	0.0391603	0.02859	0.0337311	0.0328162	0.0384831	0.0396979	0.0741939	0.103023	0.135599	0.149823	0.21943
a87	0.0807599	0.0478165	0.0351468	0.0272283	0.0346842	0.0456068	0.0716739	0.0663971	0.106748	0.126109	0.135812	0.0973284	0.124688
a23	0.0530517	0.0328523	0.0298698	0.0316556	0.045691	0.0642692	0.0979255	0.0874014	0.11677	0.118571	0.113462	0.0872965	0.121184
a97	0.0355112	0.0148241	0.0110293	0.0108927	0.0173726	0.0329521	0.0503816	0.0354751	0.0448155	0.0557725	0.129195	0.201931	0.359847
a87	0.0172069	0.0118059	0.0169836	0.0205427	0.0256588	0.0384723	0.0498643	0.0361414	0.0419028	0.0415218	0.0692038	0.159498	0.471198
</S>	0.0246509	0.0193538	0.0215593	0.0212558	0.0259055	0.0348705	0.0413397	0.0283736	0.0357123	0.0374205	0.0763649	0.162928	0.470265
