 	cet	enfant	ne	veut	pas	travailler	c'	est	un	paresseux	</S>
a40	0.00718859	0.00617994	0.00596106	0.0083863	0.0137249	0.0255291	0.0374001	0.0930165	0.188234	0.248502	0.365878
a47	0.000799475	0.00093133	0.00143785	0.00331338	0.00634955	0.0124916	0.0244964	0.067966	0.157436	0.281403	0.443375
a36	0.000291142	0.000357324	0.000555919	0.00153857	0.00351369	0.00903695	0.0205032	0.0666295	0.161105	0.277069	0.459399
a2	0.00561467	0.00473477	0.00440506	0.00666413	0.0106745	0.020705	0.0333612	0.0772492	0.164527	0.252901	0.419163
a57	0.0733362	0.0612691	0.0490814	0.0485102	0.0524397	0.0581576	0.0654107	0.0845664	0.119473	0.15213	0.235626
a10	0.148713	0.0618812	0.0410848	0.0334932	0.0352032	0.0361689	0.0434336	0.0663527	0.101784	0.159926	0.271959
a53	0.205589	0.0794769	0.039936	0.0246033	0.0250786	0.0257994	0.0326487	0.05904	0.105019	0.16651	0.236299
a15	0.0154554	0.00820863	0.00580107	0.00706291	0.012168	0.0249366	0.0389671	0.0803939	0.144929	0.254257	0.40782
a41	0.000388483	0.000473111	0.000683838	0.00169902	0.00406606	0.0103103	0.0207626	0.0572531	0.126275	0.269958	0.508131
a37	0.000179403	0.000266214	0.000427904	0.0011783	0.00302117	0.00879303	0.0201562	0.0662598	0.150509	0.261094	0.488115
a5	0.000331815	0.000361624	0.000464789	0.0011104	0.00265593	0.00774889	0.0166782	0.0553048	0.132966	0.254551	0.527827
a44	0.000418251	0.000549687	0.000808565	0.0021205	0.00499558	0.013186	0.0253319	0.0705067	0.152083	0.249449	0.480551
a53	0.000244306	0.000296102	0.000451116	0.00118499	0.00274379	0.00768108	0.016318	0.0538391	0.140373	0.250617	0.526251
a90	0.000461415	0.000632678	0.000888133	0.0017606	0.00331408	0.00835509	0.0177789	0.0587567	0.149021	0.26626	0.492772
a94	0.000378536	0.000539908	0.000856535	0.00177389	0.00336956	0.00827535	0.0174677	0.0604007	0.153181	0.26068	0.493077
a13	0.000343141	0.000451901	0.000649731	0.00128704	0.00232532	0.00590439	0.0135448	0.0485565	0.136149	0.255002	0.535786
a82	0.00127146	0.00118478	0.00140838	0.00274157	0.00464588	0.00961481	0.0185475	0.0556995	0.149761	0.276411	0.478714
a10	0.0681309	0.0353458	0.0292217	0.0269652	0.0313967	0.0424836	0.0629844	0.0994237	0.145848	0.185569	0.272631
a87	0.141398	0.0559412	0.0290169	0.016437	0.0188785	0.0246155	0.0382917	0.0713672	0.130502	0.195356	0.278197
a97	0.165839	0.0737442	0.0386449	0.0191859	0.022122	0.0270095	0.0396208	0.0742209	0.131803	0.183898	0.223912
a99	0.102319	0.0455292	0.0244089	0.0138375	0.0165905	0.0213753	0.0318786	0.071217	0.135341	0.216667	0.320836
a97	0.0470893	0.0224808	0.0128644	0.00916671	0.0124012	0.0176258	0.027039	0.0573566	0.118787	0.22852	0.446669
</S>	0.0880573	0.0442531	0.033473	0.0291908	0.0335132	0.0351492	0.040614	0.0596424	0.10238	0.191258	0.34247
