 	ce	malade	du	sida	n'	a	personne	pour	s'	occuper	de	lui	</S>
a69	0.00029491	0.000222909	0.000229142	0.000265791	0.000604698	0.0016822	0.00460977	0.0145502	0.0330042	0.0736519	0.14508	0.272473	0.453331
a90	0.000296756	0.000210654	0.000223858	0.00027049	0.000593237	0.00157821	0.00421515	0.0124941	0.0270292	0.0601625	0.108976	0.249043	0.534907
a44	0.000236243	0.000154236	0.000147583	0.00018658	0.000411509	0.00105825	0.00268809	0.00866523	0.0194877	0.0528341	0.114431	0.272542	0.527158
a96	0.000141125	9.03181e-05	8.13736e-05	7.45301e-05	0.000158079	0.000407818	0.000931492	0.00309743	0.00755637	0.0241678	0.0701265	0.243691	0.649477
a0	0.000159603	0.000110772	9.96462e-05	8.02063e-05	0.000163439	0.000447416	0.00102678	0.00311024	0.00779445	0.026458	0.0835075	0.271025	0.606017
a62	0.000373466	0.000261083	0.000263829	0.00025335	0.000457372	0.00082153	0.00127653	0.00282274	0.00589683	0.0274262	0.089173	0.275724	0.59525
a70	0.000719897	0.000535051	0.00051924	0.000375608	0.000717782	0.00140499	0.00246965	0.0053816	0.0110541	0.0487686	0.117285	0.285322	0.525446
a53	0.000386808	0.000325312	0.000340332	0.00025749	0.000519261	0.00115131	0.00219072	0.00474723	0.00956558	0.0410715	0.113972	0.284524	0.540948
a44	0.000407016	0.000331654	0.000334712	0.00032319	0.000638184	0.00127647	0.00230781	0.00540992	0.0116395	0.0494356	0.123168	0.286156	0.518572
a58	0.000277553	0.00022984	0.000251268	0.000303181	0.000595995	0.0011322	0.00202382	0.0050787	0.01052	0.0397705	0.110377	0.280195	0.549245
a82	0.0070249	0.00534776	0.00486307	0.00666093	0.00965283	0.0115593	0.0125578	0.0210836	0.0251247	0.0579262	0.11624	0.265174	0.456785
a87	0.119451	0.0635304	0.0413161	0.0419026	0.0411534	0.0405559	0.0338328	0.0422783	0.0398037	0.0576949	0.0839057	0.149972	0.244602
a23	0.180925	0.114306	0.0821371	0.0874211	0.0653175	0.05159	0.0379317	0.0352639	0.0309298	0.0421661	0.0564636	0.083082	0.132466
a87	0.0720143	0.0415218	0.03105	0.0246374	0.0252145	0.0300429	0.0298988	0.0402904	0.0381469	0.0553492	0.0894229	0.187909	0.334502
</S>	0.0142393	0.00825331	0.00646321	0.00796962	0.0104681	0.0137964	0.0173792	0.0329469	0.0356493	0.044313	0.0809906	0.210435	0.517096
