 	je	garde	rancune	contre	les	habitants	de	ce	village	qui	ont	refusé	de	m'	emmener	à	l'	hopital	lorsque	j'	étais	malade	</S>
a12	0.0238454	0.0324188	0.0642307	0.0909846	0.0729581	0.0747537	0.0454399	0.033938	0.03247	0.0328789	0.0369293	0.0393045	0.042784	0.046596	0.0540952	0.0396932	0.0334115	0.0268188	0.0272016	0.0308118	0.0306428	0.0349711	0.0528222
a18	0.0107831	0.0119604	0.0382844	0.0689172	0.0732425	0.0864225	0.0548234	0.0422654	0.0405419	0.0428989	0.0480965	0.0483308	0.0521949	0.0562093	0.0639195	0.0445372	0.0351958	0.0289748	0.0291045	0.0280511	0.0264001	0.0293306	0.0395153
a83	0.00926162	0.011137	0.0389819	0.0933677	0.10126	0.114753	0.0777946	0.0611477	0.058115	0.052867	0.0540255	0.050933	0.041394	0.0375259	0.0392867	0.0268882	0.021605	0.0188537	0.0166728	0.0156406	0.0146387	0.0174216	0.0264288
a54	0.00728399	0.00748954	0.024348	0.0691813	0.0884735	0.101756	0.0745526	0.0640374	0.062571	0.0583365	0.0594617	0.0562569	0.0454266	0.0407175	0.0446884	0.0315631	0.0251923	0.0214761	0.0195112	0.0183561	0.0180627	0.0230047	0.0382529
a79	0.00488206	0.00639756	0.0181858	0.043716	0.0530377	0.0669717	0.0527959	0.0545243	0.0544012	0.0590986	0.0670733	0.0652524	0.0627019	0.0606149	0.0558989	0.0423609	0.0309013	0.0222254	0.0289385	0.0295097	0.0284886	0.0358237	0.0561997
a7	0.0032834	0.00475518	0.017417	0.0435931	0.0557173	0.0758356	0.0533009	0.054293	0.0526447	0.0581953	0.0653763	0.061935	0.0616702	0.0610654	0.0621992	0.0452478	0.0360106	0.0270617	0.0334516	0.0296812	0.0243834	0.0292074	0.0436748
a54	0.00286761	0.00413126	0.0140522	0.0390215	0.0629028	0.0814033	0.067215	0.0689028	0.0680484	0.0691222	0.0733701	0.0679267	0.0544534	0.0468709	0.0457422	0.0335806	0.0259065	0.0195858	0.0230303	0.0224916	0.0215328	0.0295395	0.0583025
a6	0.00284686	0.004307	0.0137684	0.0338052	0.0536441	0.0761933	0.0642281	0.070549	0.0657214	0.0673609	0.0678844	0.0591416	0.0531365	0.0482263	0.0586631	0.0436847	0.0363305	0.0310709	0.0320914	0.0275483	0.0221187	0.02714	0.0405392
a37	0.00198026	0.00252435	0.00860581	0.022009	0.0392706	0.06105	0.0505485	0.057545	0.0572123	0.0640985	0.0724495	0.0644912	0.0637776	0.0600708	0.0713563	0.0533158	0.0472122	0.0384055	0.0416579	0.0339672	0.024874	0.0269669	0.036611
a18	0.00209002	0.00255152	0.0064928	0.0162905	0.0322159	0.050122	0.0435765	0.0496863	0.0524125	0.0614307	0.0737738	0.0766092	0.0767188	0.0734694	0.0801742	0.0598522	0.0455604	0.028055	0.0375015	0.0333169	0.0269214	0.0283772	0.0428012
a54	0.00125474	0.00185326	0.00573432	0.0133327	0.0311498	0.0462816	0.0452799	0.0595982	0.0628429	0.0698846	0.0834097	0.0851228	0.0762246	0.0703742	0.0795071	0.0529412	0.0371893	0.0233276	0.0286687	0.0243494	0.0218037	0.0282158	0.0516538
a7	0.00102475	0.00129482	0.00468609	0.0111607	0.0255553	0.0502223	0.0492786	0.0662835	0.0665348	0.0722585	0.0797393	0.0670511	0.0626874	0.0547232	0.0657963	0.0514244	0.0465981	0.0459871	0.0401926	0.0331467	0.0256277	0.0306989	0.0480281
a84	0.000735819	0.00111275	0.00343584	0.00789179	0.0204292	0.033393	0.0362027	0.055607	0.0610481	0.0694042	0.0851047	0.0804036	0.0711432	0.0599302	0.0576623	0.0477058	0.0383419	0.0293111	0.0345944	0.0335681	0.0334628	0.0476152	0.0918965
a4	0.0015202	0.00185679	0.00486062	0.00920615	0.0214921	0.0318991	0.034686	0.052637	0.0544273	0.0559226	0.0663065	0.0592685	0.0574998	0.0527038	0.0519294	0.0454065	0.037691	0.0315701	0.0423755	0.0455797	0.0510231	0.070169	0.119969
a70	0.000762314	0.000771147	0.00223041	0.00408045	0.00939763	0.0174229	0.0234572	0.0387899	0.044559	0.0523514	0.0631769	0.0637275	0.065297	0.0630635	0.0654026	0.063274	0.0498552	0.0385747	0.0518195	0.0462444	0.0488837	0.0740466	0.112812
a93	0.000542176	0.000624076	0.00187304	0.00352966	0.00782255	0.0137426	0.0186032	0.0348652	0.0406878	0.0490052	0.0649201	0.0649821	0.0652921	0.0630668	0.0703018	0.0590164	0.0479971	0.038284	0.0507498	0.0504025	0.0547906	0.0802767	0.118624
a96	0.000417224	0.000462959	0.00125443	0.00250065	0.00574376	0.0110105	0.0144414	0.027382	0.0333004	0.0417388	0.0592047	0.0578392	0.0623642	0.062288	0.0745142	0.0620633	0.0557101	0.0524835	0.0592698	0.056391	0.0606377	0.0841288	0.114853
a18	0.000446181	0.000520825	0.00157899	0.00294903	0.00674218	0.0114803	0.0155151	0.0308985	0.0357097	0.0442704	0.0619435	0.0582614	0.0614288	0.0581535	0.0651732	0.0521781	0.0458782	0.0412186	0.0508277	0.0525434	0.0621678	0.0972205	0.142894
a71	0.000636457	0.000701865	0.00225645	0.00431888	0.00967002	0.0128346	0.0149515	0.027438	0.0292339	0.0344431	0.0485454	0.042693	0.0482217	0.0468219	0.0604988	0.0448354	0.0455324	0.0485659	0.0539067	0.0639128	0.0792896	0.121885	0.158807
a3	0.00135329	0.00158894	0.00383163	0.00643698	0.0138009	0.0167145	0.017439	0.0285427	0.0278982	0.0300925	0.0400547	0.0310245	0.0365148	0.0372354	0.053707	0.0389776	0.0508744	0.0771139	0.0675828	0.0777458	0.0854746	0.120534	0.135462
a87	0.00290791	0.00383423	0.00764927	0.0112523	0.0245549	0.0297375	0.0324815	0.0505881	0.0485536	0.0469025	0.0548336	0.0418804	0.0444478	0.0415283	0.0526803	0.0446514	0.0584544	0.0853573	0.068128	0.0573071	0.0552263	0.0715844	0.0654589
a97	0.0164729	0.0143613	0.0207449	0.0164902	0.0232627	0.0296752	0.0389768	0.0618598	0.0617137	0.0625005	0.0637259	0.0507769	0.0569949	0.0550481	0.0413379	0.0442493	0.0484651	0.0555817	0.0525077	0.044175	0.0445343	0.044724	0.0518212
a40	0.012571	0.00880095	0.0220982	0.0246467	0.0338378	0.0323103	0.0394398	0.067652	0.0688569	0.0750585	0.0702906	0.0552052	0.0580869	0.0513656	0.0300022	0.0382337	0.0384618	0.0395907	0.0426731	0.0476929	0.0493799	0.0388198	0.0549255
a36	0.00370641	0.00183063	0.00529063	0.00595627	0.00945424	0.00818109	0.0126715	0.0267419	0.0292017	0.0384977	0.0397153	0.0330421	0.0382574	0.0393819	0.0346908	0.0477664	0.0597302	0.0586914	0.0754838	0.0972068	0.112452	0.101594	0.120456
a2	0.00162553	0.00102576	0.00454033	0.00796981	0.0171841	0.0166736	0.0248347	0.0479502	0.0488228	0.0565754	0.0568965	0.0444597	0.0428299	0.0391881	0.0327014	0.0367036	0.0416467	0.0356685	0.0540176	0.0645948	0.0839183	0.0994206	0.140752
a44	0.000590544	0.000402534	0.00168503	0.00339468	0.00801256	0.00826392	0.0117305	0.0273819	0.029738	0.039348	0.0438892	0.0353689	0.0378496	0.0355106	0.0313191	0.039579	0.0457386	0.0409718	0.0627761	0.0860772	0.116636	0.135971	0.157765
a4	0.000380285	0.000283809	0.00110226	0.00232386	0.00734052	0.00910482	0.0161126	0.0374124	0.0424458	0.0532746	0.0608087	0.0510088	0.0488174	0.0427523	0.0315671	0.0342714	0.0354505	0.0306173	0.0514248	0.0645404	0.0941739	0.124252	0.160534
a13	0.000283884	0.00021744	0.000758239	0.00152632	0.004839	0.00637378	0.0112803	0.025914	0.0303823	0.0386073	0.0463686	0.04088	0.0408482	0.0405474	0.0357756	0.0379312	0.0412488	0.0382683	0.0593731	0.0720465	0.103114	0.140822	0.182594
a62	0.000237449	0.000194408	0.000759023	0.00149013	0.00464872	0.0065612	0.0101723	0.0217459	0.0250305	0.0317583	0.0386057	0.0337141	0.0342023	0.0335344	0.0388444	0.0395549	0.0474485	0.0510022	0.0618935	0.0787728	0.116325	0.157703	0.165801
a12	0.000506827	0.000346883	0.000976585	0.00163058	0.0043177	0.00657575	0.0103327	0.0209444	0.0250054	0.0300706	0.0391453	0.0350972	0.0372257	0.0398213	0.0459118	0.0445419	0.0521168	0.0542644	0.0684403	0.0763317	0.102325	0.138276	0.165796
a96	0.000382004	0.000264568	0.000702029	0.00121114	0.00316329	0.00495976	0.00796787	0.01669	0.0201488	0.024386	0.0341307	0.0303397	0.0345263	0.0388433	0.0433198	0.0428896	0.0504964	0.0544504	0.0670444	0.0752689	0.105773	0.151325	0.191717
a5	0.000429606	0.000341253	0.000884105	0.00139993	0.00321769	0.00440639	0.00721422	0.0152496	0.0178596	0.0218556	0.0319715	0.0281699	0.0328094	0.0360784	0.0431545	0.0402182	0.0491937	0.0552296	0.0649015	0.068406	0.0962427	0.15901	0.221757
a37	0.000550567	0.000394305	0.000964626	0.00134354	0.00267704	0.00432848	0.00669107	0.0134458	0.0147647	0.018066	0.0253465	0.0226758	0.0322387	0.0414339	0.0463837	0.0435959	0.0538909	0.067074	0.0826566	0.082431	0.100142	0.140149	0.198756
a70	0.000276211	0.000237536	0.000624373	0.000958902	0.00226405	0.00310629	0.00535528	0.0131464	0.0154166	0.0199098	0.0305412	0.0259453	0.0334007	0.037102	0.0428766	0.0383636	0.0467587	0.0560972	0.0675769	0.0702883	0.0922555	0.155347	0.242152
a54	0.000261076	0.000266133	0.000664189	0.00104292	0.0024464	0.00319545	0.00525267	0.0129737	0.0151548	0.0195704	0.0300605	0.0247086	0.0314993	0.033098	0.0394303	0.0351632	0.0436765	0.0562327	0.062964	0.0687515	0.0930088	0.164142	0.256437
a6	0.00041897	0.000403288	0.00175184	0.00311493	0.00768192	0.0128656	0.0191094	0.0411138	0.0443087	0.0512207	0.0707959	0.0538602	0.0607269	0.0506449	0.0432613	0.0323961	0.0338808	0.043276	0.0484444	0.0457212	0.0576696	0.0951905	0.182143
a36	0.00019147	0.000250827	0.00124497	0.00240229	0.00598577	0.013262	0.0179422	0.0371754	0.0419129	0.0493065	0.0695707	0.0572151	0.0733642	0.0627954	0.05346	0.0383466	0.0358575	0.0415501	0.0434307	0.0405364	0.0515107	0.0842895	0.178399
a2	0.000165519	0.000158358	0.000680033	0.00126599	0.00355541	0.00490498	0.00785313	0.0216737	0.0258058	0.0318086	0.0490284	0.0360593	0.0400775	0.0312931	0.0305019	0.023365	0.0252962	0.0370756	0.0363273	0.0428367	0.0689516	0.147928	0.333388
a57	0.00154594	0.00125581	0.00267186	0.00336704	0.00696903	0.006971	0.00899112	0.0214486	0.0227964	0.0266945	0.0384272	0.0277618	0.0322845	0.0273235	0.0237976	0.0219346	0.0288256	0.0495651	0.0469553	0.0588909	0.0904274	0.164794	0.286301
a87	0.00790217	0.00516835	0.00803393	0.00593741	0.00818613	0.00725325	0.0102118	0.0221665	0.0244016	0.0295535	0.0392808	0.0292252	0.0364171	0.0329356	0.0259801	0.0283393	0.0365483	0.0650359	0.0568896	0.0719493	0.102876	0.141951	0.203757
a23	0.015682	0.00854465	0.0176254	0.0140074	0.0186828	0.0186516	0.0249898	0.0502445	0.0555152	0.0594624	0.0684009	0.0482098	0.055028	0.0463776	0.0329094	0.0377893	0.0396632	0.0601915	0.0453838	0.0525878	0.0625386	0.0580339	0.10948
a87	0.014966	0.00484243	0.0115479	0.0112456	0.0168181	0.0149395	0.0214649	0.038844	0.0433718	0.0492436	0.0545612	0.0432077	0.0517677	0.051124	0.0406187	0.0501924	0.0532366	0.0726142	0.0645585	0.0763475	0.0793853	0.0583142	0.0767885
a23	0.0060113	0.002513	0.00815504	0.0106481	0.0145761	0.0134208	0.0179908	0.0381621	0.0433882	0.0514507	0.058685	0.0453828	0.0551712	0.0517798	0.041722	0.0520464	0.052898	0.073944	0.0586869	0.0729926	0.0737529	0.0561666	0.100456
a57	0.00658354	0.00258459	0.00864728	0.011755	0.0150101	0.0138813	0.0175183	0.034182	0.0418213	0.0557016	0.0699474	0.0586569	0.0753675	0.0723206	0.0483884	0.0590499	0.0591831	0.0700619	0.0613017	0.0644787	0.0549862	0.035972	0.0626004
a3	0.00651626	0.0032518	0.0129501	0.0134122	0.0144792	0.0133554	0.0177032	0.0332914	0.0415875	0.0578711	0.0723131	0.0627217	0.0806641	0.0759055	0.046225	0.0547701	0.0551352	0.061481	0.0546378	0.0608867	0.053039	0.0367326	0.0710699
a83	0.00980261	0.00706849	0.022287	0.02055	0.0202799	0.018737	0.0233814	0.0393834	0.04671	0.060437	0.0725145	0.0639213	0.073619	0.0666125	0.0397702	0.0516034	0.0507561	0.0545857	0.0496723	0.0587071	0.0510825	0.0317608	0.0667577
a9	0.0051622	0.00322594	0.0125728	0.0115531	0.0143413	0.010397	0.0157576	0.0308926	0.037096	0.0486127	0.0566512	0.0506526	0.0639292	0.0630455	0.0461335	0.0573879	0.0628384	0.0678269	0.0692545	0.0751731	0.0675436	0.0543454	0.075607
a38	0.00136793	0.00108455	0.0050652	0.00542557	0.00855991	0.00759487	0.0111223	0.0246713	0.0289739	0.0406828	0.0500764	0.0453653	0.0595873	0.0563233	0.0506599	0.0568272	0.062191	0.0701796	0.0685215	0.0783583	0.0774181	0.0816551	0.108289
a36	0.000559962	0.00047558	0.00292527	0.00371408	0.00663951	0.00605009	0.00914025	0.0210667	0.0245084	0.033996	0.042469	0.0371687	0.0497564	0.0473044	0.0540114	0.0570634	0.0708924	0.0899302	0.0809659	0.0857461	0.08348	0.0894907	0.102645
a18	0.000397576	0.000310986	0.00204791	0.00363855	0.00747197	0.00735582	0.0103059	0.0239619	0.0281278	0.038867	0.0490701	0.042451	0.0529746	0.0479773	0.0579357	0.059192	0.0748387	0.0879124	0.0829599	0.0817236	0.0763245	0.0788774	0.0852775
a88	0.000474605	0.000305184	0.00152604	0.00312953	0.00748374	0.00809242	0.0105875	0.024317	0.0282196	0.0382408	0.0473706	0.0388128	0.0469113	0.0405193	0.0463484	0.0552939	0.0713818	0.100306	0.0803946	0.0846952	0.0848008	0.0867915	0.0939969
a23	0.00023806	0.000145274	0.00055798	0.000971402	0.00278072	0.00288028	0.00449717	0.0122374	0.0149265	0.0210366	0.0287141	0.0237245	0.0291671	0.027443	0.0400675	0.0473161	0.0656002	0.105801	0.0903598	0.103321	0.111264	0.122489	0.144461
a18	0.000151841	8.53229e-05	0.000416005	0.00065772	0.0018513	0.00219981	0.00372487	0.0113141	0.0149511	0.0224634	0.0325976	0.0268014	0.0355481	0.0328713	0.0409419	0.0471654	0.0613225	0.0884575	0.0846736	0.100066	0.111358	0.126663	0.153718
a71	0.000462612	0.000266316	0.00081701	0.00104291	0.00288541	0.00382089	0.00536621	0.0133696	0.016285	0.0220234	0.0303303	0.0237821	0.0324936	0.0296829	0.0386255	0.0502398	0.0654393	0.11718	0.0875178	0.101908	0.108317	0.119812	0.128332
a25	0.000565431	0.000399674	0.00117273	0.00148633	0.00387447	0.00523035	0.00692752	0.0156589	0.0181778	0.0226461	0.0294799	0.0224112	0.0302907	0.028742	0.0358488	0.0464093	0.0605852	0.117221	0.0845005	0.0982593	0.107422	0.126435	0.136257
a82	0.000451066	0.000232997	0.000841154	0.000904098	0.00212786	0.00289357	0.00454577	0.0136537	0.0167784	0.0225909	0.0321428	0.0238905	0.0329462	0.0299296	0.0370207	0.0425203	0.0571673	0.101454	0.087119	0.100701	0.114986	0.139623	0.13548
a58	0.00278553	0.00170791	0.0036722	0.00330023	0.00604721	0.00725011	0.00979016	0.0232476	0.0269916	0.0306983	0.0378261	0.0285162	0.0373814	0.0337203	0.0332868	0.0426676	0.0506471	0.0892739	0.0737902	0.0892166	0.0999399	0.114514	0.153729
a82	0.00641412	0.00396916	0.00706649	0.00552847	0.00816222	0.0100553	0.0129883	0.0274656	0.0316047	0.0356948	0.0444258	0.0347977	0.0476496	0.0441793	0.040759	0.0513155	0.0569867	0.0887544	0.0753	0.0834076	0.0847305	0.0849852	0.113759
a3	0.0120008	0.00824033	0.0129012	0.00991856	0.0134139	0.0159172	0.0202245	0.039046	0.0441008	0.0486952	0.0566431	0.0425663	0.0555679	0.0497244	0.0376039	0.0528876	0.0589645	0.080045	0.0717037	0.0725778	0.0664714	0.0549142	0.0758718
a87	0.0213031	0.0149932	0.020452	0.0180281	0.0232298	0.0279171	0.0322344	0.0503066	0.054643	0.059006	0.0692721	0.0538551	0.0644462	0.058144	0.0394309	0.0515535	0.0550423	0.0713745	0.0571926	0.0508481	0.0408328	0.024981	0.0409134
a23	0.0243992	0.014953	0.0268739	0.0349468	0.0438869	0.0451088	0.0437749	0.0595371	0.058795	0.0594193	0.0655232	0.0512829	0.0543682	0.0483749	0.0369492	0.0430694	0.0444678	0.0565495	0.043204	0.0424417	0.0358338	0.0219095	0.0443309
a87	0.0115202	0.00406081	0.00893969	0.0128559	0.0181033	0.0189453	0.0230641	0.0402642	0.0471848	0.0565266	0.0666204	0.0566577	0.066268	0.0638943	0.0465982	0.0598821	0.059474	0.067936	0.0621679	0.0639971	0.0550619	0.0342842	0.0556933
</S>	0.00671453	0.00300947	0.00832172	0.0124307	0.0157779	0.015608	0.0190646	0.0369318	0.0431107	0.0531129	0.0643604	0.0544708	0.0643696	0.0609704	0.0484241	0.0592175	0.058133	0.0723434	0.0593541	0.069246	0.0622247	0.0395506	0.0732531
