 	les	élèves	parlent	à	propos	de	la	maladie	de	l'	enseignant	est-ce	le	sida	</S>
a70	0.00157918	0.00274909	0.0311654	0.0547371	0.0674115	0.0786624	0.0721027	0.0687507	0.0573055	0.0469539	0.0411758	0.0583037	0.11673	0.149954	0.152419
a11	0.00113539	0.00225751	0.0181175	0.0372299	0.0538881	0.0719473	0.0655302	0.0712627	0.0544537	0.0435054	0.0380882	0.0568176	0.130093	0.169006	0.186667
a90	0.00134144	0.0027224	0.0177251	0.0355233	0.0482916	0.0624778	0.0562181	0.0631149	0.0445641	0.0350907	0.0316313	0.0550569	0.145032	0.189469	0.211741
a98	0.000991534	0.00163897	0.0119143	0.0236064	0.0318449	0.0428435	0.0405119	0.0499135	0.0348687	0.0287239	0.0278359	0.0564277	0.156102	0.209379	0.283398
a92	0.000284293	0.000483553	0.00500316	0.0120235	0.016375	0.0282151	0.026719	0.0336452	0.0254574	0.0233158	0.0265193	0.0482078	0.135666	0.22717	0.390914
a75	0.00033845	0.000563577	0.00453274	0.00974567	0.0139151	0.0236587	0.0235243	0.0318432	0.0234806	0.0222179	0.0269353	0.0642771	0.159704	0.217788	0.377475
a56	0.000248039	0.000391918	0.00347579	0.00698633	0.00944384	0.0173891	0.0178527	0.026711	0.0194648	0.0189375	0.0230073	0.0594744	0.15852	0.226039	0.412058
a96	0.000437696	0.000714294	0.00545969	0.0102301	0.014118	0.0235012	0.0236212	0.0328572	0.0216971	0.0180253	0.0184873	0.0475584	0.147308	0.221385	0.4146
a62	0.000618007	0.00131954	0.00747085	0.0122837	0.0151535	0.0211119	0.0189339	0.0233635	0.0140243	0.00966648	0.00822192	0.0288489	0.118381	0.232788	0.487815
a47	0.00136244	0.00305838	0.0117857	0.0189211	0.0230382	0.0299138	0.0277654	0.03516	0.0231724	0.0163358	0.0137657	0.0430016	0.12686	0.210679	0.415181
a31	0.00275125	0.0048471	0.0170781	0.0241583	0.0257236	0.0294422	0.0256055	0.0298752	0.0221816	0.0159993	0.0126496	0.0474626	0.137787	0.204672	0.399767
a0	0.000651897	0.00170109	0.0059635	0.00868387	0.010886	0.0140353	0.0131793	0.0196451	0.0135524	0.0102113	0.00916515	0.0312321	0.113301	0.228209	0.519584
a24	0.00934617	0.012802	0.0343567	0.0429537	0.0436111	0.0424159	0.0332156	0.0331014	0.0227295	0.0160845	0.0135423	0.0430784	0.11248	0.197901	0.342381
a9	0.00283153	0.0041168	0.0164975	0.0221091	0.0254854	0.0290004	0.0239787	0.0265641	0.018488	0.013614	0.0133686	0.046751	0.129011	0.218888	0.409296
a10	0.0282561	0.0286904	0.0658859	0.0753149	0.0717778	0.0854454	0.0608023	0.0478033	0.0376893	0.0292056	0.0276624	0.0533018	0.0874648	0.114863	0.185837
a87	0.0541656	0.0327737	0.0385741	0.0494325	0.0528955	0.0585948	0.0553273	0.0624213	0.0695017	0.061479	0.049028	0.0640892	0.0909067	0.113244	0.147566
a23	0.057076	0.0241338	0.0296305	0.0542325	0.0579415	0.0620136	0.0629492	0.0699508	0.0810052	0.0700862	0.0553438	0.0490854	0.0688853	0.114336	0.14333
a88	0.00969469	0.00507417	0.00437351	0.00810888	0.00831079	0.00943266	0.0114258	0.0158635	0.0274039	0.0326538	0.0402951	0.0780029	0.153739	0.231198	0.364423
a24	0.00101252	0.000786142	0.00206419	0.00399886	0.00488925	0.00678786	0.00762666	0.011605	0.0189316	0.0256983	0.0382388	0.0986576	0.190573	0.243783	0.345348
a41	0.000548105	0.000501879	0.00147856	0.00310254	0.00405372	0.00558615	0.00605316	0.00924308	0.0132968	0.0156056	0.0196356	0.0531831	0.157511	0.273347	0.436853
a5	0.000162348	9.97408e-05	0.000610192	0.00137045	0.00184165	0.00331504	0.00387489	0.00716318	0.00986269	0.0141755	0.0297695	0.0795609	0.168116	0.285238	0.394839
a43	0.000268576	0.000260987	0.00118512	0.00176528	0.00220172	0.00284421	0.00328957	0.00556064	0.00707118	0.00970482	0.0219906	0.102698	0.22755	0.316789	0.29682
a0	0.000248991	0.000248185	0.000973928	0.00147543	0.00229369	0.00317315	0.004368	0.00931041	0.0114477	0.0156982	0.0297246	0.0885674	0.198467	0.300576	0.333427
a21	0.000663843	0.000815967	0.00297765	0.00484709	0.00691397	0.00865573	0.00928503	0.0149316	0.0140005	0.0159586	0.0267663	0.0727612	0.167432	0.253306	0.400685
a5	0.000488518	0.000676002	0.00237699	0.00315923	0.00447371	0.00611623	0.00753296	0.0166436	0.0178651	0.0234718	0.04281	0.126953	0.219707	0.251373	0.276353
a0	0.000260242	0.000354566	0.00152012	0.00207086	0.00274362	0.00399995	0.00445294	0.00950748	0.0088869	0.0105357	0.0178257	0.0633889	0.171434	0.268484	0.434535
a27	0.000876269	0.000945944	0.00361912	0.00541616	0.00599612	0.00776543	0.0071273	0.0101886	0.00852765	0.00873001	0.0139759	0.0487212	0.135375	0.257444	0.485291
a57	0.0221854	0.0176338	0.0197495	0.0230006	0.0219794	0.0244242	0.0201267	0.0191028	0.0191446	0.0195768	0.0256585	0.0674966	0.140912	0.21863	0.340379
a87	0.0457154	0.0232928	0.0196556	0.023403	0.02362	0.0283743	0.0265532	0.0292512	0.0364977	0.0373149	0.0411176	0.0766189	0.134674	0.179696	0.274215
a23	0.0789915	0.0330542	0.0251776	0.0393065	0.0389447	0.0422376	0.0436899	0.0483841	0.0566494	0.0492282	0.0431259	0.0530056	0.0923895	0.148695	0.207121
a87	0.0124608	0.00505378	0.00283779	0.00580056	0.00645558	0.00795471	0.00935194	0.0128352	0.0200106	0.0238968	0.0296327	0.0638772	0.139975	0.232537	0.427321
</S>	0.00526258	0.0018343	0.00161931	0.00283815	0.0022588	0.00289176	0.00292871	0.00349308	0.00490291	0.00605083	0.00943586	0.0347854	0.128254	0.322393	0.471051
