 	cette	nourriture	ira	chez	ngala	celle-ci	ira	chez	apendi	</S>
a6	0.0812461	0.0713143	0.105179	0.145333	0.132794	0.0906311	0.116806	0.101144	0.0670892	0.0884627
a36	0.166747	0.10561	0.0981487	0.103003	0.110231	0.0776189	0.0804214	0.0753299	0.0749166	0.107974
a2	0.116197	0.0779244	0.0862152	0.119901	0.111026	0.0872865	0.0985285	0.0887187	0.0852139	0.128988
a57	0.104141	0.0635393	0.0605796	0.102465	0.0768539	0.0545913	0.0920927	0.121221	0.135312	0.189204
a87	0.102534	0.0405125	0.0267564	0.0545408	0.0583306	0.0519911	0.113439	0.193353	0.212161	0.146382
a10	0.104695	0.0550103	0.0452926	0.0623678	0.0798534	0.0934691	0.102771	0.157271	0.191388	0.107883
a87	0.130136	0.0652114	0.0736799	0.100273	0.120624	0.104743	0.0905182	0.105549	0.122132	0.0871336
a23	0.150245	0.0864309	0.0642479	0.0699515	0.0870096	0.0970755	0.0926264	0.125781	0.144876	0.0817561
a99	0.047807	0.0417258	0.0539125	0.0698904	0.0754819	0.0647532	0.0782345	0.0949218	0.21041	0.262863
a62	0.0180577	0.0244233	0.0312667	0.0414152	0.0350373	0.0393994	0.0672559	0.0956536	0.242887	0.404604
a31	0.0346704	0.0419003	0.0579429	0.0678769	0.0584578	0.0670732	0.0825487	0.0838331	0.228186	0.277511
a83	0.0168465	0.0198457	0.0433413	0.0759832	0.0632118	0.0798504	0.0993482	0.107473	0.226615	0.267485
a62	0.017623	0.019877	0.0407391	0.0726839	0.0645841	0.07743	0.0954638	0.108463	0.231789	0.271347
a47	0.0236815	0.025915	0.0468922	0.0751762	0.073812	0.078911	0.107742	0.119929	0.218584	0.229357
a61	0.0240216	0.0259019	0.056271	0.101814	0.094853	0.103633	0.123957	0.117202	0.169817	0.182531
a75	0.027247	0.0269996	0.0490807	0.0854574	0.0875523	0.0914873	0.115579	0.117778	0.191194	0.207624
a25	0.0284292	0.02619	0.047179	0.0813215	0.080644	0.0812547	0.123189	0.114493	0.161452	0.255847
a44	0.00906386	0.0110259	0.0194451	0.03838	0.0338833	0.0420885	0.094036	0.127507	0.239263	0.385307
a90	0.00728969	0.00904656	0.0183473	0.0341761	0.029866	0.0291711	0.0536545	0.0945568	0.195649	0.528243
a98	0.00928662	0.0105333	0.019677	0.0331422	0.0297206	0.0313589	0.091957	0.175954	0.239474	0.358896
a47	0.0082419	0.00860145	0.0118478	0.0231393	0.0187453	0.0174213	0.0594564	0.120954	0.233584	0.498009
a2	0.0154377	0.0168083	0.0223702	0.0360505	0.0304596	0.0254393	0.0648774	0.121076	0.223869	0.443612
a75	0.00876105	0.00619798	0.0069217	0.0133416	0.00977613	0.00832997	0.0204353	0.0626747	0.246044	0.617518
a47	0.00815675	0.00949719	0.0150313	0.0268455	0.0233653	0.0201887	0.0650834	0.129749	0.257965	0.444118
a96	0.00583563	0.00694658	0.0096316	0.0165322	0.0129992	0.0115414	0.0337396	0.0801866	0.248329	0.574258
a83	0.00223354	0.00248434	0.00471418	0.0112826	0.00809343	0.00684288	0.020723	0.0647051	0.238036	0.640885
a9	0.00227376	0.00214893	0.00327853	0.00811392	0.0058424	0.00505078	0.0160546	0.0561152	0.206989	0.694133
a10	0.00268541	0.0020158	0.00233389	0.00460348	0.003686	0.00338201	0.0128956	0.0532741	0.244791	0.670332
a87	0.00742041	0.00546962	0.00472556	0.00793432	0.00748924	0.0053111	0.022551	0.0754675	0.287088	0.576543
a23	0.0331387	0.0179868	0.010825	0.0236882	0.0300464	0.0180314	0.0530901	0.133579	0.279784	0.399831
a10	0.0152844	0.00927236	0.00615094	0.0162772	0.020011	0.0178696	0.0550756	0.129132	0.335729	0.395197
a87	0.0182515	0.0109128	0.00853754	0.0246012	0.0273709	0.0226927	0.0597038	0.117232	0.289884	0.420813
a23	0.0291212	0.0174409	0.00986366	0.0264821	0.0315325	0.0235242	0.0591505	0.117143	0.271034	0.414707
a87	0.0311795	0.0185658	0.0104196	0.0310299	0.0336909	0.0242093	0.0628313	0.109226	0.292131	0.386716
</S>	0.0381355	0.0204542	0.0104006	0.0259718	0.0287365	0.020194	0.0575298	0.106831	0.274374	0.417372
