 	la	co-épouse	de	ma	mère	m'	a	adressé	une	mauvaise	parole	</S>
a5	0.0126355	0.0144517	0.0171721	0.0186076	0.020389	0.0240867	0.0303971	0.0532238	0.0763378	0.165609	0.250846	0.316245
a18	0.0167839	0.0181186	0.021765	0.0252747	0.0297378	0.0341484	0.040441	0.052813	0.0759311	0.146438	0.28624	0.252308
a31	0.00249147	0.00248868	0.00315486	0.0058379	0.00992533	0.0132796	0.0179313	0.0265491	0.0355764	0.0912083	0.329933	0.461624
a47	0.00168249	0.00167497	0.00226056	0.00385249	0.00631829	0.0082005	0.0127731	0.0215646	0.0364958	0.10575	0.360321	0.439106
a62	0.00183669	0.0015973	0.00191995	0.00344414	0.00629138	0.00891531	0.0125139	0.0178728	0.0347232	0.0981508	0.366142	0.446593
a83	0.00175791	0.00138604	0.00163006	0.0029185	0.00558149	0.00766727	0.0100841	0.0149963	0.0273288	0.0910049	0.34219	0.493454
a71	0.00099679	0.000787698	0.000923932	0.00179661	0.00375183	0.00551282	0.00905493	0.0168935	0.0327059	0.10473	0.347559	0.475287
a62	0.00144582	0.000881806	0.000886003	0.00132414	0.00265443	0.0053224	0.0127741	0.0241448	0.0648679	0.209287	0.319672	0.35674
a83	0.000419082	0.000376414	0.00051398	0.0010346	0.00221294	0.00301167	0.00496433	0.00867459	0.0201995	0.0723614	0.32946	0.556772
a9	0.000233416	0.000216092	0.000287553	0.000483979	0.00097208	0.00169456	0.00393714	0.0084912	0.0239875	0.103827	0.358478	0.497392
a99	0.00111568	0.000585777	0.00060471	0.00075356	0.00131877	0.00218673	0.00592891	0.0138432	0.0463762	0.171719	0.351343	0.404224
a97	0.00367465	0.00135121	0.00116718	0.0013833	0.00211568	0.00381601	0.00964802	0.0295741	0.0847562	0.229857	0.310423	0.322233
a87	0.00914254	0.00428991	0.00409681	0.00522089	0.00856492	0.0161646	0.0276627	0.0625896	0.127719	0.244456	0.256924	0.233169
a23	0.0126086	0.0070323	0.00671343	0.00897581	0.0166494	0.0290669	0.0457907	0.0906405	0.154522	0.216376	0.209859	0.201766
a99	0.0120488	0.00538864	0.0042692	0.00427832	0.0074807	0.012145	0.019028	0.0399967	0.0775744	0.144743	0.258158	0.414889
a97	0.00653479	0.00319584	0.00260922	0.00355258	0.00646428	0.0098833	0.0156332	0.0291988	0.0728798	0.149343	0.273404	0.427301
</S>	0.00934695	0.00452549	0.00375479	0.00527328	0.0079461	0.00961535	0.0142812	0.0268764	0.0624901	0.130827	0.28144	0.443624
