 	la	mère	fait	pisser	l'	enfant	avant	de	le	mettre	au	lit	</S>
a97	0.267353	0.11482	0.0734863	0.0637128	0.0539949	0.044743	0.040544	0.0442119	0.0531117	0.0583923	0.0560473	0.0610571	0.0685248
a87	0.307895	0.154291	0.0978062	0.0814254	0.0533639	0.0377562	0.0316167	0.0334792	0.0382579	0.0421547	0.0391113	0.0403777	0.0424642
a97	0.338702	0.162419	0.0936633	0.0592474	0.0446789	0.0355752	0.0343156	0.0366112	0.0396527	0.0403775	0.0370618	0.0369199	0.0407748
a87	0.32638	0.177715	0.0996149	0.068921	0.0499651	0.0340725	0.0289599	0.0301082	0.0332373	0.0361181	0.0355575	0.0377736	0.041577
a23	0.385323	0.179825	0.0880707	0.0498732	0.0385814	0.0288684	0.0268037	0.0288888	0.032426	0.0334603	0.0324426	0.0348413	0.0405952
a99	0.211422	0.0890901	0.0650662	0.060571	0.0583026	0.0557859	0.0545621	0.0586774	0.0669915	0.0694263	0.0665475	0.0682875	0.0752699
a30	0.236421	0.143337	0.118275	0.0837327	0.0593007	0.0401693	0.0339245	0.0347649	0.040129	0.0464862	0.0489429	0.0552795	0.0592366
a93	0.2621	0.175708	0.147812	0.0812001	0.0483451	0.0317223	0.0261825	0.02478	0.0278973	0.0351545	0.0399697	0.0469564	0.0521712
a75	0.166887	0.146407	0.157126	0.113419	0.0692467	0.0508641	0.0401759	0.035651	0.0353031	0.0403315	0.0470995	0.048658	0.0488318
a6	0.0900243	0.0979061	0.118607	0.121825	0.0986199	0.0811091	0.0661973	0.0605276	0.0561226	0.0594825	0.0563567	0.0497698	0.0434521
a0	0.0724744	0.0832799	0.103681	0.109912	0.104491	0.0876672	0.0711291	0.0658892	0.0588143	0.0612925	0.0620914	0.0603485	0.0589296
a11	0.101943	0.11674	0.139465	0.129266	0.091449	0.0664331	0.0506878	0.0433296	0.0373663	0.0388048	0.0450874	0.0590378	0.0803907
a31	0.0812157	0.112525	0.155526	0.199256	0.105849	0.0722745	0.0555804	0.043284	0.0345051	0.0312731	0.0289046	0.0343106	0.0454959
a0	0.0472981	0.0755602	0.115033	0.221938	0.137584	0.0964263	0.0732117	0.054044	0.0392275	0.032139	0.0291731	0.0339526	0.0444126
a75	0.0243821	0.0425597	0.0852138	0.242819	0.161678	0.117718	0.091525	0.0660601	0.0449908	0.0325718	0.0268919	0.0287774	0.0348129
a79	0.0152291	0.0240895	0.0505254	0.120815	0.106552	0.102074	0.0946829	0.0955474	0.0832494	0.0702839	0.0689884	0.0740012	0.0939617
a37	0.016605	0.0271343	0.0502475	0.115345	0.110159	0.104273	0.0957443	0.0942427	0.0801077	0.0666668	0.0663419	0.0721916	0.100942
a94	0.0121034	0.0201184	0.0413635	0.196967	0.168232	0.138552	0.117531	0.088029	0.05908	0.0367956	0.0313933	0.0356523	0.0541839
a98	0.0100618	0.0149454	0.0293386	0.169465	0.138693	0.119216	0.11092	0.0938913	0.0714513	0.0511415	0.0499881	0.0566183	0.0842698
a92	0.0048674	0.006519	0.0138512	0.0928409	0.0975945	0.11117	0.116493	0.10785	0.0925348	0.0732767	0.0708219	0.0801185	0.132063
a37	0.00334392	0.00422157	0.0100213	0.0711714	0.0746973	0.0956217	0.103749	0.105749	0.106084	0.100433	0.097075	0.0960464	0.131787
a75	0.00364896	0.00538391	0.0105383	0.0844323	0.117002	0.13589	0.137875	0.11523	0.0912277	0.0652146	0.0593406	0.0650437	0.109172
a6	0.00113485	0.0013952	0.00253762	0.0272136	0.0553459	0.0896387	0.107006	0.108024	0.105058	0.103215	0.111023	0.12	0.168409
a36	0.000996096	0.00128031	0.00217489	0.0271909	0.0656723	0.109031	0.130087	0.116405	0.102414	0.0885292	0.088712	0.100087	0.167421
a2	0.00274098	0.00333624	0.00424203	0.0201326	0.0545235	0.108216	0.178734	0.14193	0.108639	0.0755762	0.0679372	0.0788388	0.155153
a57	0.0164052	0.0228572	0.0317593	0.0622857	0.083781	0.126608	0.176688	0.134635	0.0924311	0.0612788	0.049037	0.0588995	0.0833336
a87	0.0314541	0.0315669	0.0380245	0.0600924	0.0778287	0.119902	0.14365	0.121737	0.0929869	0.06485	0.0522874	0.0665497	0.0990701
a23	0.0581129	0.033601	0.0259111	0.0580687	0.0790114	0.0955231	0.0939277	0.0947094	0.094551	0.0936235	0.0834152	0.0872584	0.102286
a13	0.0146809	0.00933745	0.00764186	0.0227465	0.032384	0.0343038	0.0360799	0.0552739	0.0801018	0.133133	0.159938	0.1876	0.226779
a30	0.00103676	0.00100592	0.00138921	0.0088328	0.019551	0.0290162	0.0414941	0.0644395	0.0992347	0.151542	0.176471	0.185854	0.220134
a57	0.000316727	0.000510973	0.000987143	0.00558319	0.0120478	0.0177435	0.0265491	0.0424669	0.0679533	0.124342	0.187033	0.231372	0.283094
a13	0.00211573	0.0026511	0.00375179	0.0149635	0.0268833	0.0423351	0.0675835	0.080142	0.0923844	0.111139	0.142369	0.17375	0.239931
a38	0.00170344	0.00183481	0.00266935	0.0170264	0.0321695	0.0511333	0.079294	0.0890127	0.0935482	0.100021	0.130317	0.166277	0.234994
a4	0.00037934	0.000426704	0.000731632	0.00967203	0.0224944	0.0352477	0.0548627	0.0666837	0.0766918	0.102741	0.162705	0.205166	0.262198
a13	0.000332891	0.000412904	0.00084111	0.0090479	0.0169811	0.0264813	0.0381589	0.0506159	0.06831	0.114685	0.178245	0.22316	0.272727
a50	0.000640301	0.000782679	0.00150703	0.0094631	0.0165224	0.0251495	0.0362921	0.0477952	0.0601883	0.0996577	0.168343	0.230649	0.30301
a83	0.00144254	0.0015425	0.00262834	0.0112469	0.0185788	0.0303966	0.0494165	0.0607789	0.0703628	0.102979	0.161444	0.213783	0.2754
a71	0.000230314	0.000264887	0.000525145	0.00295906	0.00621447	0.0121107	0.0216183	0.0313468	0.0440877	0.093138	0.181377	0.256831	0.349297
a38	0.000689739	0.000742779	0.00121411	0.00561558	0.0110187	0.0199174	0.036147	0.0439559	0.0515764	0.0829492	0.145381	0.229759	0.371034
a11	0.000519958	0.00050025	0.000702191	0.00304035	0.00633709	0.012703	0.0260809	0.0334869	0.0426445	0.0770201	0.152608	0.240129	0.404228
a96	0.00246687	0.00215306	0.00265918	0.0100562	0.0188673	0.0325547	0.0568557	0.0605631	0.0658432	0.0903819	0.134997	0.193678	0.328924
a88	0.000284625	0.000321081	0.000489417	0.0021476	0.00468357	0.00887451	0.0159664	0.0222195	0.0319457	0.0709276	0.155125	0.257542	0.429473
a24	0.000753947	0.000910032	0.00125849	0.00430882	0.00863857	0.0145887	0.0246317	0.0304171	0.0377058	0.0749073	0.13757	0.233663	0.430646
a75	0.00035463	0.000453465	0.000618262	0.00239285	0.00557092	0.0101307	0.0173404	0.0231119	0.0306499	0.064514	0.138258	0.244579	0.462026
a5	8.02349e-05	0.000100953	0.000159288	0.000855983	0.00257296	0.00652155	0.0146661	0.0225928	0.0336169	0.0773964	0.155198	0.255658	0.43058
a37	0.000186894	0.000229892	0.000396718	0.00148269	0.00297961	0.00652251	0.0124774	0.0189343	0.0291333	0.068782	0.142985	0.254159	0.46173
a54	0.000141945	0.000181993	0.000292715	0.00127974	0.00292856	0.00607873	0.0113257	0.0156103	0.0223585	0.0533854	0.123691	0.243585	0.51914
a79	4.27305e-05	5.87976e-05	7.67875e-05	0.000516138	0.00226453	0.00619017	0.0136649	0.0211709	0.0286447	0.0677958	0.131531	0.237644	0.490399
a69	3.20969e-05	4.85589e-05	6.07519e-05	0.000345507	0.00156174	0.00472122	0.00980165	0.0146622	0.0209938	0.0507738	0.107027	0.243113	0.546859
a53	7.41614e-05	0.000118083	0.000175635	0.00101686	0.00347492	0.0082252	0.0147132	0.0188815	0.0242435	0.0503463	0.11032	0.247679	0.520732
a69	0.000150211	0.000209268	0.000244008	0.00115012	0.0029569	0.00573238	0.0102814	0.0122165	0.0165159	0.0403545	0.108563	0.239777	0.561849
a7	0.000121528	0.00015471	0.00016636	0.000800551	0.00225968	0.00484954	0.00948129	0.0128588	0.0186299	0.0472288	0.116695	0.243605	0.543148
a0	0.000143152	0.000212571	0.000205515	0.00109612	0.00333264	0.00643733	0.0112934	0.011844	0.0144286	0.0349077	0.103501	0.235239	0.577358
a11	0.000325005	0.000427855	0.000442571	0.00213755	0.00582079	0.0104761	0.0170248	0.0179456	0.02256	0.0507514	0.127244	0.235911	0.508933
a13	0.00424626	0.00398384	0.0038684	0.0118581	0.0230638	0.0377343	0.0538497	0.0475091	0.0499565	0.0708915	0.123422	0.190054	0.379563
a99	0.009725	0.00710634	0.00645667	0.0153049	0.0260605	0.0409645	0.057699	0.0534533	0.0571027	0.0787968	0.120249	0.181072	0.346009
a87	0.021363	0.0124188	0.0103707	0.0228747	0.0348051	0.0518009	0.0662974	0.0615883	0.0653997	0.0816196	0.116908	0.166821	0.287732
a23	0.0929962	0.0551637	0.0376442	0.0531311	0.052978	0.067328	0.0803869	0.0751092	0.0787958	0.0809755	0.0885527	0.104674	0.132265
a10	0.0628825	0.0468142	0.0283708	0.0426415	0.0413867	0.0603629	0.0714721	0.0849309	0.093262	0.100574	0.103182	0.119645	0.144475
a87	0.0269345	0.0195101	0.013062	0.028222	0.0372098	0.0553023	0.0608783	0.0708724	0.0751271	0.0843338	0.10617	0.167775	0.254603
</S>	0.0315329	0.0250846	0.017691	0.0338678	0.037428	0.0502467	0.0516918	0.0600455	0.066012	0.0748851	0.0994525	0.170665	0.281398
