 	la	nourriture	que	tu	as	laissée	au	feu	s'	est	entièrement	calcinée	</S>
a85	0.0220789	0.028826	0.0395605	0.0614476	0.0844436	0.129319	0.13655	0.114042	0.0890394	0.0768281	0.0790042	0.0773085	0.0615527
a36	0.0103614	0.0142648	0.0246019	0.0412365	0.0534799	0.0887787	0.121653	0.122558	0.0978099	0.0805847	0.075599	0.10889	0.160183
a2	0.00775926	0.0115225	0.021395	0.048186	0.0758716	0.197713	0.191496	0.129072	0.0890924	0.0557451	0.0422809	0.0558045	0.0740614
a57	0.0149295	0.0158131	0.0209292	0.0345799	0.0630681	0.210892	0.195296	0.132948	0.0947235	0.0608919	0.0437116	0.0502368	0.0619807
a87	0.0307971	0.0317731	0.0396318	0.0535084	0.0834716	0.195501	0.167619	0.117781	0.0808682	0.0521908	0.0453275	0.0501197	0.0514105
a23	0.0636624	0.0388602	0.0284145	0.0286828	0.0393219	0.105578	0.107339	0.0824289	0.0744421	0.0711166	0.0957081	0.12655	0.137896
a31	0.0178573	0.0134048	0.0132125	0.0202087	0.0365176	0.0833213	0.113293	0.0968673	0.0892986	0.0783799	0.0820957	0.122533	0.233011
a12	0.00198977	0.00252042	0.00355908	0.00613782	0.00938967	0.0193796	0.0324588	0.0366025	0.0388867	0.0564726	0.107893	0.272556	0.412154
a90	0.00546179	0.00652421	0.00720505	0.0102388	0.0131865	0.0241035	0.0386131	0.0431201	0.0457826	0.0664109	0.119764	0.240863	0.378727
a15	0.00359602	0.00453423	0.00616732	0.0102068	0.0136242	0.0284059	0.0433387	0.0516615	0.0529169	0.063688	0.0974933	0.215342	0.409025
a20	0.0014091	0.00231585	0.00421139	0.00901016	0.014252	0.0364967	0.0557784	0.0660464	0.0634998	0.0649776	0.07661	0.176185	0.429207
a90	0.00182582	0.00305242	0.00477653	0.00843259	0.011635	0.040348	0.0627152	0.0718859	0.0673145	0.059631	0.0616118	0.148665	0.458106
a69	0.000989794	0.00134669	0.00219218	0.00440242	0.0065521	0.0249837	0.041515	0.0584157	0.0606781	0.0634838	0.0705817	0.172571	0.492288
a58	0.00113691	0.00147801	0.00222334	0.00412742	0.00653525	0.0260392	0.0464421	0.0686784	0.0748999	0.0752037	0.0755051	0.17185	0.445881
a53	0.000716244	0.000757005	0.00103248	0.00152433	0.00236345	0.0104412	0.0247022	0.0513426	0.0711468	0.0701886	0.0686307	0.17517	0.521985
a90	0.000960628	0.00106317	0.00164686	0.00288411	0.00480816	0.0166714	0.0311577	0.0573873	0.0674516	0.0700527	0.0666279	0.173166	0.506122
a25	0.000540218	0.000585922	0.00104307	0.00221374	0.00410717	0.0171558	0.0335133	0.0619896	0.0703116	0.0771177	0.0778786	0.155786	0.497757
a35	0.000294159	0.000319243	0.000537957	0.00124898	0.00227112	0.011572	0.0254057	0.0494147	0.0552138	0.0527029	0.0465456	0.116957	0.637517
a12	0.000221962	0.000261396	0.000409386	0.00072171	0.00126715	0.00753136	0.0195459	0.0457693	0.0577967	0.0548204	0.0451721	0.119123	0.64736
a31	0.00121897	0.00110095	0.00160211	0.00235805	0.00336878	0.0128123	0.0231731	0.0473933	0.060873	0.0620387	0.0649383	0.130209	0.588913
a88	0.000692163	0.000823058	0.00135624	0.00216954	0.00298598	0.00895379	0.0174587	0.0386589	0.0558972	0.0631246	0.0670805	0.150657	0.590143
a71	0.000447149	0.000540685	0.00102549	0.00200518	0.00311202	0.00916786	0.0160299	0.0332794	0.0487714	0.0568379	0.0559509	0.148142	0.62469
a9	0.00218091	0.00179671	0.00238395	0.00379453	0.00557839	0.0193126	0.0306598	0.056293	0.087923	0.109629	0.105836	0.199082	0.37553
a87	0.00798066	0.00577042	0.00656331	0.00814098	0.00942977	0.027679	0.0399759	0.0649322	0.0970739	0.123227	0.126081	0.192827	0.290318
a23	0.0328677	0.0192454	0.0167485	0.0157463	0.0152487	0.0313934	0.0552864	0.0850675	0.114402	0.132279	0.129272	0.162832	0.18961
a97	0.0121086	0.00780785	0.00521821	0.00427566	0.00422798	0.0079328	0.025466	0.0607604	0.0796359	0.105347	0.119645	0.183484	0.384091
</S>	0.00666781	0.00461434	0.00364144	0.00430685	0.00642127	0.0172174	0.0351797	0.0582974	0.0653318	0.0712849	0.0808661	0.166738	0.479433
