 	on	ne	refuse	pas	de	têter	même	quand	sa	mère	a	une	plaie	au	sein	</S>
a98	0.000389237	0.000297775	0.00041411	0.00107498	0.0014452	0.00184578	0.0035119	0.00393859	0.0040096	0.00433997	0.00455807	0.00381409	0.00364319	0.00772413	0.115814	0.843179
a79	0.000107775	9.71974e-05	0.000157645	0.000390594	0.000562734	0.000740929	0.00151297	0.00175379	0.00162475	0.00154856	0.00151877	0.00105081	0.00099707	0.00268759	0.0881887	0.89706
a7	0.000199171	0.00014672	0.000181724	0.000377248	0.000490278	0.000712268	0.00141775	0.00152858	0.00157216	0.00171807	0.00171729	0.00121212	0.00107991	0.0028851	0.0852752	0.899486
a36	0.0010767	0.000742044	0.000748311	0.00140148	0.00151721	0.00201854	0.00279923	0.00265013	0.00346666	0.00383031	0.00429774	0.00329867	0.00296897	0.00772815	0.119831	0.841625
a2	0.00724887	0.00546713	0.0054814	0.00752401	0.00729747	0.00950673	0.00972376	0.00879859	0.0109323	0.0116124	0.0109605	0.0090637	0.00854572	0.0177779	0.147017	0.723042
a57	0.0402945	0.0254786	0.0254206	0.0375796	0.037524	0.0389384	0.0329503	0.0303574	0.0339799	0.0315711	0.0276952	0.0253197	0.0240396	0.0338947	0.131979	0.422977
a30	0.128025	0.0632614	0.0492121	0.0518157	0.0458624	0.0622244	0.0401541	0.0359229	0.0516855	0.06559	0.0683642	0.0965121	0.0802607	0.0475075	0.0395382	0.074064
a10	0.133373	0.0845538	0.0681736	0.0583572	0.0502356	0.0573195	0.042265	0.0382463	0.0574911	0.0738447	0.079712	0.0917719	0.0761679	0.0488265	0.0144165	0.0252456
a87	0.0795122	0.0525157	0.0430915	0.0451365	0.0435267	0.0574916	0.0612567	0.0558553	0.0811255	0.103105	0.103569	0.102118	0.0742433	0.0473646	0.0172688	0.0328196
a23	0.0414611	0.0285923	0.0271604	0.0405005	0.0452302	0.070781	0.0737276	0.0649449	0.0898715	0.108389	0.108283	0.101693	0.0708916	0.0471014	0.0285335	0.0528391
a99	0.0533692	0.0307538	0.0172649	0.0224807	0.0207541	0.0288277	0.0279648	0.0239719	0.0324755	0.0358947	0.0374451	0.0323839	0.0317656	0.0420629	0.102285	0.4603
a87	0.0410534	0.022473	0.0146006	0.0250264	0.022043	0.0274062	0.0192133	0.016974	0.0259787	0.0297939	0.0319061	0.0331522	0.0406084	0.059701	0.0971515	0.492918
a23	0.0213181	0.0127332	0.00875586	0.0154191	0.0142802	0.0171772	0.0107566	0.0084216	0.012653	0.0138524	0.0135524	0.013025	0.0142395	0.0225215	0.107769	0.693525
</S>	0.0411936	0.028881	0.0207385	0.0323679	0.0250913	0.0304094	0.0201243	0.0168824	0.0250528	0.0276762	0.0317286	0.0336947	0.0483578	0.0764638	0.095373	0.445965
