 	adzoona	est	en	train	de	racler	avec	ses	dents	le	noyau	de	la	mangue	</S>
a44	0.000150426	8.47251e-05	0.00013777	0.000290048	0.000444746	0.00169689	0.00272356	0.0038643	0.00554035	0.00948373	0.01778	0.0508789	0.124085	0.27345	0.509389
a54	0.000271349	0.000206314	0.00031174	0.00052493	0.000726903	0.00228323	0.00328637	0.00468432	0.00649366	0.0123106	0.0192775	0.045571	0.114439	0.268884	0.520729
a36	8.18766e-05	4.57686e-05	7.71034e-05	0.000181025	0.000326522	0.00161412	0.00280062	0.00421721	0.00558299	0.0104328	0.0204537	0.0545285	0.128196	0.276702	0.494759
a7	0.000650156	0.000357446	0.000589085	0.00116948	0.00149487	0.0044669	0.00646747	0.00987897	0.0125757	0.0226902	0.0283895	0.0690855	0.141006	0.264435	0.436743
a26	0.000323485	0.00021728	0.000314116	0.000636977	0.000776525	0.0025578	0.00431554	0.00706335	0.0101909	0.0207774	0.027956	0.0694205	0.143439	0.279223	0.432789
a66	0.004997	0.00302587	0.00395518	0.00514822	0.00648215	0.0160727	0.0271645	0.0361257	0.0454665	0.0644917	0.0683098	0.112142	0.149919	0.222334	0.234366
a71	0.0066259	0.00451274	0.00528736	0.00573691	0.00553168	0.0112751	0.0176087	0.0253983	0.0338167	0.053118	0.0590539	0.0903656	0.141397	0.247349	0.292923
a9	0.0121376	0.00808732	0.010751	0.0117576	0.011812	0.0202802	0.0290322	0.0381351	0.0476661	0.061619	0.0630259	0.0891247	0.131935	0.217608	0.247028
a3	0.0350833	0.0242509	0.0325316	0.0322207	0.0327409	0.0455346	0.0523096	0.0642078	0.0709629	0.0758435	0.0731329	0.0801165	0.104012	0.129044	0.148009
a97	0.0286744	0.0209407	0.027511	0.0306171	0.0339595	0.0531008	0.062524	0.0734903	0.0761001	0.0845545	0.0838171	0.0888254	0.104979	0.10305	0.127857
a87	0.0201636	0.0162298	0.0214397	0.0262048	0.0306702	0.0477575	0.0602446	0.068277	0.0752766	0.0828509	0.0856037	0.0908927	0.112932	0.117909	0.143547
a97	0.0138716	0.0100813	0.0134606	0.0176203	0.0239154	0.0547244	0.069532	0.0799171	0.0859192	0.100751	0.0972893	0.0968155	0.11001	0.109364	0.116728
</S>	0.0085366	0.00618336	0.00751967	0.00980912	0.0144441	0.0323581	0.0485376	0.058047	0.0658884	0.070625	0.0821269	0.109184	0.146323	0.157071	0.183346
