 	j'	ai	avalé	un	médicament	du	fait	que	j'	ai	mal	à	la	tête	</S>
a43	0.0107804	0.0138129	0.0222218	0.044774	0.0820529	0.141633	0.132931	0.110755	0.080996	0.0636075	0.0523623	0.0475796	0.0516755	0.0620714	0.0827471
a21	0.0143208	0.0185284	0.0217422	0.037443	0.070963	0.12432	0.123943	0.10065	0.07299	0.0587638	0.0515799	0.0502789	0.0601462	0.0797524	0.114579
a61	0.017415	0.0191047	0.0196841	0.027013	0.0546015	0.0987892	0.130714	0.133325	0.098797	0.074001	0.0603631	0.0515727	0.0522509	0.0635297	0.0988392
a31	0.008935	0.0104226	0.00953271	0.0164624	0.0433504	0.0948093	0.149939	0.164411	0.12166	0.0853065	0.0687718	0.0544761	0.0478655	0.0511836	0.0728746
a88	0.00698229	0.00882891	0.00917448	0.0185095	0.0494019	0.0938801	0.140547	0.159157	0.127189	0.0906061	0.0749124	0.0600977	0.0509692	0.0493962	0.0603488
a71	0.00519927	0.0054892	0.00538607	0.0111353	0.0317555	0.0720297	0.112915	0.153557	0.127527	0.0948353	0.0858288	0.0762374	0.0687289	0.065927	0.0834484
a0	0.0092205	0.0103158	0.0157	0.0235625	0.042112	0.0651318	0.0849494	0.113824	0.101337	0.0704729	0.068336	0.072979	0.0862059	0.101291	0.134563
a24	0.00765364	0.00821289	0.012328	0.0172531	0.0284144	0.0474121	0.0672633	0.102737	0.100145	0.0763238	0.0785275	0.0865995	0.100699	0.116169	0.150263
a61	0.00235569	0.00254107	0.00382254	0.00651109	0.0129868	0.0306054	0.0515362	0.0931364	0.0953662	0.0841414	0.0902471	0.105324	0.126134	0.135559	0.159733
a21	0.00114247	0.00112135	0.00143542	0.00301442	0.00812881	0.0230351	0.0380296	0.0655686	0.0678003	0.0646337	0.0800358	0.10837	0.152072	0.177891	0.207722
a61	0.00146548	0.00128673	0.00156071	0.00262079	0.00538319	0.0130102	0.0226999	0.0415668	0.040102	0.0434136	0.0583532	0.0988324	0.164042	0.22226	0.283403
a31	0.000921383	0.000810899	0.00100113	0.002012	0.00529328	0.0144916	0.0224566	0.0356087	0.032798	0.0330881	0.0457265	0.0815197	0.151811	0.232606	0.339855
a62	0.000712343	0.000725155	0.00102713	0.00215039	0.00544623	0.0136632	0.0204104	0.0343774	0.0343766	0.0352473	0.0483089	0.0811157	0.145969	0.227309	0.349161
a88	0.000967699	0.000919343	0.00124315	0.00229129	0.00566283	0.0136788	0.0209861	0.0354526	0.03273	0.030564	0.0395494	0.0691716	0.131536	0.217228	0.398019
a93	0.00112014	0.00133439	0.00215837	0.00369582	0.00865456	0.0162218	0.0212512	0.0332658	0.0319937	0.0313035	0.0424336	0.0734403	0.131878	0.21164	0.389609
a4	0.000289962	0.000352623	0.000684827	0.00151041	0.00430014	0.0106569	0.0161397	0.0296062	0.0294611	0.0289018	0.0403695	0.0700315	0.131077	0.218949	0.41767
a93	0.000178005	0.000199584	0.00047784	0.00117131	0.00294406	0.0071504	0.0101164	0.0175795	0.0170031	0.0170773	0.0266539	0.0546363	0.117653	0.233595	0.493564
a34	0.000100025	0.00010358	0.000206781	0.000522102	0.00147037	0.00487236	0.00915778	0.0197252	0.0182329	0.0190143	0.0284707	0.0546637	0.116323	0.236289	0.490848
a47	0.000201588	0.000224521	0.000480538	0.000963131	0.00222813	0.00546412	0.0080372	0.013623	0.0123945	0.0135068	0.0227163	0.0512662	0.110134	0.226573	0.532187
a31	0.000382425	0.000493628	0.00135382	0.00274303	0.00594364	0.011439	0.0146804	0.0238065	0.0217218	0.0215829	0.0306259	0.0596686	0.118132	0.217565	0.469861
a62	0.000453797	0.00061184	0.00120667	0.00205403	0.00453529	0.00984128	0.015013	0.025966	0.0223786	0.0207745	0.0278323	0.053504	0.110268	0.219341	0.48622
a93	0.000421567	0.000506401	0.00115677	0.001979	0.00408867	0.0085464	0.0118582	0.0193307	0.0163059	0.0154434	0.0220112	0.0461086	0.101645	0.210981	0.539617
a35	0.000261595	0.000340105	0.00070205	0.00134099	0.00325088	0.00794526	0.0125298	0.0225691	0.0203593	0.0190428	0.0271259	0.0529311	0.111892	0.220972	0.498737
a7	0.000201648	0.0002682	0.000634139	0.00127076	0.00307067	0.00710858	0.00932061	0.0143099	0.0128759	0.0130855	0.0199956	0.0432317	0.0973411	0.207987	0.569299
a26	0.00127653	0.00155579	0.00300945	0.00535019	0.01019	0.0164513	0.0179594	0.022163	0.0177045	0.015243	0.0200089	0.0422187	0.094531	0.20922	0.523118
a3	0.0333535	0.0286026	0.0505778	0.0520726	0.0591284	0.053984	0.0452809	0.0444526	0.0342747	0.031388	0.0353001	0.0528926	0.0777469	0.133495	0.26745
a97	0.126178	0.0748625	0.0739526	0.0498052	0.0411787	0.028858	0.0257237	0.0306254	0.0310573	0.0351333	0.0447866	0.0637136	0.0806902	0.122609	0.170826
a99	0.140785	0.093289	0.0703374	0.0374799	0.0317565	0.0252355	0.0287778	0.0398705	0.0462831	0.0504892	0.0580112	0.0652948	0.0740192	0.105828	0.132543
a87	0.0442766	0.049071	0.0436713	0.0168507	0.0109144	0.0115138	0.0169203	0.0285043	0.0343558	0.0413235	0.0535186	0.0700876	0.109078	0.195953	0.273961
a23	0.0496386	0.0527698	0.0567138	0.023938	0.0177045	0.0200398	0.028608	0.0398665	0.0410678	0.0429461	0.0478709	0.0567307	0.0830983	0.166577	0.27243
a87	0.0223589	0.0223911	0.0174172	0.0124128	0.0103299	0.0142716	0.0198849	0.0322601	0.0359346	0.05191	0.0731104	0.0975689	0.131022	0.201683	0.257444
a23	0.00898068	0.00909691	0.00837542	0.00591112	0.0044345	0.00806056	0.0118431	0.0194384	0.0215538	0.0314338	0.0472982	0.0715224	0.1226	0.245027	0.384424
a87	0.0301156	0.0247606	0.0209061	0.0171714	0.0141835	0.0202538	0.0234899	0.0307966	0.0325486	0.0446465	0.0632609	0.0868505	0.121131	0.199523	0.270362
</S>	0.0110197	0.0101394	0.00852352	0.00733961	0.00585825	0.0111888	0.0149826	0.0228308	0.0254627	0.0381242	0.0579795	0.0866744	0.137045	0.239746	0.323085
