 	la	manière	dont	il	regarde	ma	femme	montre	qu'	il	a	un	problème	</S>
a88	0.00590842	0.00466336	0.00754404	0.0210074	0.0345782	0.0714952	0.0702737	0.0987702	0.0765573	0.0831707	0.0554114	0.0663011	0.149223	0.255096
a71	0.00547217	0.0033817	0.00707711	0.0215694	0.0377288	0.0960278	0.101031	0.135427	0.102764	0.0927627	0.0609476	0.0590993	0.106005	0.170707
a9	0.00509821	0.00298364	0.00475472	0.0133365	0.0271172	0.0942032	0.117015	0.174386	0.102595	0.0749992	0.0477993	0.0465226	0.0989709	0.190218
a3	0.0086509	0.00662312	0.00903013	0.0234899	0.0426015	0.10409	0.119633	0.191804	0.101772	0.0737071	0.0472624	0.0433581	0.0829581	0.14502
a97	0.0181876	0.0104923	0.0114524	0.0276835	0.0430679	0.0893197	0.115264	0.181997	0.128889	0.098944	0.0698049	0.0544603	0.0649217	0.0855167
a40	0.0258491	0.012776	0.0136531	0.0406354	0.0566821	0.0814947	0.110539	0.143861	0.11864	0.0921448	0.0786931	0.0669032	0.069408	0.0887211
a75	0.00207203	0.00261831	0.00437654	0.0127212	0.0169601	0.028116	0.0291073	0.0408997	0.043273	0.047459	0.0645958	0.105045	0.223771	0.378986
a37	0.001428	0.00155248	0.00335114	0.0177308	0.0381645	0.0713032	0.0615478	0.0695785	0.0589926	0.0560772	0.0596291	0.0860272	0.176996	0.297622
a61	0.0012857	0.00139604	0.00279672	0.0117231	0.0256877	0.0568197	0.0549043	0.0673547	0.0585551	0.0609234	0.0617954	0.0870907	0.186917	0.322751
a62	0.00289524	0.00272669	0.00373151	0.0114181	0.0225893	0.0505168	0.0517879	0.0716994	0.0668579	0.0781522	0.0883539	0.114711	0.165525	0.269035
a88	0.00278884	0.00285725	0.00452119	0.0168602	0.0342185	0.0722653	0.0718972	0.0896625	0.0815993	0.0875845	0.0962048	0.111986	0.136884	0.19067
a93	0.00155574	0.00152463	0.00282309	0.0109828	0.0218242	0.058687	0.0591837	0.0827263	0.0740785	0.0805327	0.0909433	0.11676	0.164906	0.233472
a4	0.000917274	0.00085905	0.00175274	0.00703216	0.0141138	0.0379545	0.0417688	0.0632616	0.0637295	0.0757499	0.0864074	0.120169	0.196961	0.289323
a57	0.000719377	0.000659422	0.00153074	0.00663935	0.013476	0.0379444	0.0435804	0.0686741	0.0667449	0.0755418	0.0822922	0.113139	0.192557	0.296501
a3	0.00049249	0.000382927	0.000855289	0.00439205	0.00906269	0.0416145	0.0579295	0.0933689	0.0739967	0.0725127	0.0750366	0.0998702	0.179726	0.29076
a97	0.00541901	0.00524386	0.00575096	0.0117421	0.0176733	0.0342426	0.0420307	0.0841312	0.0624156	0.0729715	0.0788044	0.114079	0.192974	0.272521
a87	0.0116043	0.00880815	0.00986042	0.0214616	0.0324942	0.0483479	0.0562182	0.0989033	0.085048	0.101657	0.104458	0.120438	0.138786	0.161915
a97	0.0165499	0.00890364	0.0097839	0.0315576	0.0431831	0.0558085	0.07647	0.115618	0.112136	0.115974	0.112094	0.104489	0.0932459	0.104186
a3	0.0265521	0.0125819	0.012439	0.0368032	0.0409954	0.0481355	0.072436	0.104968	0.107054	0.115164	0.113962	0.108039	0.0921023	0.108767
a97	0.0364324	0.0158881	0.0191234	0.033251	0.0347962	0.0444371	0.0752983	0.111087	0.111185	0.111109	0.10237	0.0973302	0.0940544	0.113637
</S>	0.0239045	0.0119939	0.0159541	0.0366545	0.0392862	0.053236	0.0841717	0.117071	0.11111	0.106782	0.0944912	0.0928774	0.0975134	0.114954
