 	là	où	tombe	un	régime	de	noix	de	palme	il	y	a	affaissement	du	sol	</S>
a75	0.00582806	0.00375243	0.00274303	0.00454139	0.00481197	0.00734378	0.0158172	0.0256738	0.0429224	0.0596741	0.0391326	0.0617872	0.169551	0.203136	0.17206	0.181225
a61	0.00252167	0.00144446	0.0010622	0.0016545	0.00187641	0.00394446	0.0101079	0.0197923	0.0309805	0.0404592	0.0293122	0.0360936	0.12293	0.237307	0.22077	0.239744
a83	0.00231119	0.00132732	0.000814807	0.00122085	0.00137913	0.00270384	0.0096207	0.0194189	0.0321391	0.0394807	0.0289661	0.0335221	0.0994875	0.18957	0.227845	0.310193
a61	0.001195	0.000738701	0.000506159	0.000728083	0.000899046	0.00152498	0.00522945	0.00946669	0.0148607	0.0188616	0.016054	0.0169771	0.0596853	0.168049	0.252263	0.432961
a47	0.00089835	0.000521049	0.000333666	0.000435484	0.000518391	0.000990328	0.00384013	0.00756024	0.01153	0.0139387	0.0115519	0.0122797	0.040657	0.130709	0.244494	0.519741
a31	0.000451766	0.000280644	0.000203895	0.000238915	0.00031323	0.000485474	0.00156537	0.0028112	0.00395474	0.0050504	0.00569826	0.00472211	0.0171254	0.101129	0.24237	0.6136
a21	0.000502921	0.000318045	0.000197638	0.000215301	0.000260475	0.000481555	0.00207909	0.00435488	0.00612458	0.00705533	0.00721637	0.00717064	0.0239097	0.106372	0.230764	0.602977
a66	0.00103329	0.000694115	0.000438941	0.00039468	0.000456685	0.000805655	0.00319632	0.00618734	0.00849388	0.0090504	0.0086292	0.0102513	0.0391392	0.140848	0.272905	0.497476
a93	0.00180044	0.00128668	0.00103359	0.00105998	0.000888282	0.00091525	0.00112935	0.00132551	0.00157499	0.00182566	0.00183471	0.00192535	0.015662	0.118441	0.251491	0.597806
a70	0.000357533	0.000285646	0.000249278	0.000215598	0.000262484	0.000274555	0.000475378	0.000633647	0.00067853	0.000747445	0.00111759	0.00125794	0.0105376	0.103392	0.246729	0.632786
a13	0.000291602	0.000232243	0.0002011	0.000179359	0.00024114	0.000292549	0.000542499	0.000757003	0.000803476	0.000875045	0.00128573	0.00132951	0.00903363	0.0862265	0.228735	0.668974
a9	0.00194256	0.00149058	0.00134921	0.00131917	0.00143679	0.00187211	0.00250906	0.00275389	0.0025732	0.00226558	0.00275963	0.00343737	0.0223937	0.117045	0.239341	0.595511
a87	0.0277263	0.0169851	0.015718	0.0100932	0.00980019	0.0124394	0.0140628	0.019635	0.0202004	0.0188306	0.0145259	0.0204618	0.0462212	0.104649	0.18916	0.459491
a23	0.0958911	0.057626	0.0538293	0.0348731	0.0226135	0.0272329	0.0219762	0.0279389	0.0291367	0.0303355	0.0236109	0.0323887	0.0494153	0.0851213	0.156428	0.251582
a9	0.0815341	0.0480155	0.0443462	0.038254	0.0177955	0.0202448	0.0105189	0.0147016	0.0133752	0.0145539	0.0106455	0.01826	0.0320799	0.0683451	0.145392	0.421938
a87	0.0208543	0.0137655	0.0149445	0.0106413	0.00807001	0.0109624	0.0125375	0.0203175	0.0214152	0.0208883	0.0239944	0.0366579	0.0548287	0.102027	0.164542	0.463553
</S>	0.0386845	0.0300511	0.038189	0.0240488	0.0159592	0.0199474	0.0171757	0.0244592	0.0258197	0.0237235	0.0238319	0.0366315	0.0490234	0.0725846	0.131217	0.428654
