 	les	jeunes	gens	assassinent	les	vieillards	sous	prétexte	que	ceux-ci	sont	des	sorciers	</S>
a70	0.0143919	0.0302694	0.064735	0.127963	0.108571	0.121272	0.11218	0.12471	0.0967801	0.0684663	0.0288604	0.0178808	0.031393	0.0525267
a0	0.0132217	0.0285621	0.0651532	0.141409	0.125143	0.140283	0.120264	0.116947	0.0801517	0.0591677	0.0251745	0.0156105	0.0269861	0.0419275
a24	0.0070297	0.0158482	0.0393749	0.105349	0.119616	0.154118	0.132956	0.134798	0.0937757	0.0672698	0.027937	0.0175395	0.033368	0.0510207
a31	0.0123357	0.0199735	0.0375811	0.105933	0.129941	0.165953	0.130454	0.123606	0.0938009	0.0713049	0.0233745	0.0125114	0.0276485	0.0455819
a88	0.0111507	0.0174341	0.0315492	0.0898412	0.118471	0.164322	0.131357	0.129415	0.10538	0.0785956	0.0264912	0.0134585	0.0296496	0.052885
a71	0.0219242	0.0305924	0.0470555	0.094464	0.112974	0.155808	0.116534	0.1162	0.0973704	0.0780263	0.0261445	0.013251	0.0309731	0.0586824
a50	0.00481066	0.006771	0.0138118	0.0402029	0.0839781	0.158765	0.142498	0.170125	0.139714	0.101388	0.0368482	0.0190255	0.0296447	0.0524173
a70	0.0078412	0.00972973	0.0187171	0.0433335	0.0930837	0.163639	0.153302	0.162367	0.121299	0.0917769	0.0341388	0.0189034	0.0299276	0.0519407
a96	0.0184918	0.024323	0.0423778	0.0716945	0.084098	0.131654	0.100406	0.107863	0.106057	0.0875697	0.0431845	0.0263938	0.0522986	0.103588
a56	0.0122823	0.0163699	0.0324694	0.0571525	0.0786369	0.130976	0.106368	0.119036	0.122698	0.106058	0.0502954	0.026961	0.0474289	0.0932678
a90	0.0161957	0.0208487	0.0357183	0.0649079	0.0804723	0.11686	0.0892631	0.0923621	0.0913437	0.0727774	0.0427267	0.0332763	0.0815715	0.161677
a98	0.012195	0.0192079	0.0345635	0.0645442	0.0857793	0.115166	0.0945525	0.0962222	0.101782	0.0760191	0.0457084	0.034879	0.0759414	0.14344
a5	0.0176117	0.025765	0.0360536	0.0595946	0.0750246	0.0952771	0.0892603	0.0987558	0.0948315	0.0692543	0.0376848	0.0338357	0.093382	0.173669
a21	0.0169251	0.0250456	0.0411481	0.0743957	0.0920291	0.123047	0.105863	0.111216	0.095839	0.0733735	0.0413456	0.0362823	0.0655489	0.0979422
a12	0.0248534	0.0307099	0.0488435	0.0777666	0.0941907	0.125743	0.110384	0.105655	0.0866778	0.0695979	0.0414398	0.036807	0.0622748	0.0850567
a88	0.0129821	0.0196804	0.0416593	0.0855469	0.0885172	0.113046	0.100403	0.105134	0.0928334	0.08164	0.0521139	0.0443749	0.0669961	0.0950727
a25	0.00446663	0.00707385	0.0149554	0.0463141	0.0613884	0.0910954	0.0943071	0.110849	0.10685	0.0868949	0.0697501	0.0578337	0.0882913	0.15993
a82	0.00256424	0.00278427	0.0046188	0.0143189	0.0317963	0.0863561	0.102327	0.142711	0.108233	0.0851437	0.0643582	0.0514978	0.100543	0.202748
a87	0.00613656	0.00560085	0.00752138	0.0147326	0.031459	0.0742901	0.0873646	0.127169	0.127982	0.143569	0.100595	0.0733494	0.0845004	0.11573
a23	0.018426	0.0104213	0.0106812	0.0208724	0.0325487	0.0639683	0.0463454	0.0515407	0.0789505	0.105219	0.142401	0.160833	0.143963	0.113829
a13	0.00390254	0.00268132	0.00293559	0.00563265	0.0108976	0.0303848	0.0248432	0.0247213	0.0373334	0.0552144	0.0946101	0.157068	0.239846	0.30993
a62	0.00035641	0.000351199	0.000786412	0.0017123	0.00339211	0.00726927	0.00950191	0.0113158	0.0184517	0.019128	0.0471242	0.117185	0.306069	0.457357
a21	0.00271433	0.00257033	0.00418617	0.00867517	0.010698	0.0147548	0.0159855	0.0194201	0.0269883	0.0323478	0.0531149	0.123302	0.282602	0.40264
a5	0.0103171	0.00802991	0.00924569	0.014641	0.0166105	0.0213261	0.0189352	0.0208357	0.0272211	0.0342822	0.0694265	0.158975	0.265277	0.324877
a12	0.00740138	0.00736945	0.010618	0.0148921	0.0155475	0.0223446	0.0206789	0.0264971	0.0398269	0.0566945	0.0906625	0.16128	0.225455	0.300731
a88	0.00397747	0.00471347	0.00852273	0.0155709	0.0167668	0.0223809	0.0230853	0.0284622	0.0378205	0.0487305	0.0815237	0.164585	0.242833	0.301028
a24	0.00160708	0.00223359	0.00469152	0.0118106	0.0140523	0.0192717	0.022486	0.0312344	0.0378308	0.0465178	0.0743052	0.149931	0.270389	0.313638
a31	0.000907226	0.00113731	0.00194099	0.00525123	0.00710108	0.0111066	0.0128037	0.0193059	0.026808	0.0330978	0.0536884	0.118539	0.298853	0.40946
a62	0.00144833	0.00189652	0.00340416	0.00956367	0.0120518	0.01573	0.0184186	0.0252568	0.0299684	0.0347328	0.0609178	0.135322	0.315992	0.335297
a21	0.00129383	0.00180125	0.00338768	0.010138	0.0129266	0.0172494	0.0208318	0.0282886	0.0335238	0.0377904	0.064766	0.140489	0.308321	0.319192
a85	0.00169789	0.00204935	0.00382021	0.0108927	0.0136742	0.0196976	0.0218775	0.0278367	0.0379113	0.0406929	0.0717453	0.160099	0.281695	0.306311
a6	0.00286443	0.00444185	0.00833907	0.0134371	0.017795	0.0216113	0.0238876	0.0282092	0.0296977	0.0202428	0.0325388	0.0871093	0.245443	0.464383
a61	0.000547568	0.000859801	0.00164215	0.00455282	0.00754314	0.0117789	0.0149921	0.020672	0.0248708	0.0176791	0.0268586	0.0752467	0.286145	0.506612
a88	0.000497089	0.000819306	0.00149452	0.00351893	0.00478961	0.00755555	0.00968996	0.0134742	0.0156699	0.0113581	0.0185684	0.0490249	0.263195	0.600345
a62	0.000617844	0.000982422	0.00173257	0.00410896	0.00586235	0.0102162	0.0131462	0.0196285	0.0238332	0.0186615	0.0258713	0.061703	0.266707	0.546929
a83	0.000726085	0.00114507	0.00191194	0.00429389	0.00630547	0.0118453	0.0153528	0.0250315	0.0300875	0.0248637	0.0307461	0.0686822	0.265172	0.513836
a98	0.000584437	0.000850136	0.00151548	0.00310305	0.00460718	0.00868817	0.0110759	0.0177194	0.0227391	0.018661	0.0233758	0.0573581	0.267146	0.562576
a47	0.00041859	0.000558838	0.000920291	0.00218094	0.0037341	0.00650623	0.00785631	0.0113995	0.0132217	0.00853776	0.013138	0.0407373	0.260155	0.630635
a36	0.000681788	0.000852068	0.00116401	0.00204469	0.00336211	0.0066198	0.0090662	0.0151153	0.0168765	0.0109737	0.0207436	0.0473876	0.26115	0.603962
a2	0.00241351	0.00264515	0.00275481	0.00276295	0.00391523	0.00844532	0.0110992	0.0153675	0.0172512	0.0124193	0.0296386	0.0661	0.260529	0.564658
a57	0.0115766	0.0087962	0.0103032	0.0099518	0.0165173	0.0260344	0.0267855	0.0279656	0.0366772	0.032711	0.0796222	0.116687	0.230465	0.365908
a87	0.063244	0.0260931	0.020097	0.021622	0.0225623	0.0364077	0.0302112	0.0302398	0.0563497	0.0659751	0.128553	0.142548	0.17086	0.185237
a23	0.0597472	0.0257897	0.01846	0.0304736	0.0352229	0.0668325	0.0554375	0.0493555	0.09222	0.087124	0.118778	0.103683	0.107862	0.149015
a87	0.0325447	0.0111962	0.00796775	0.0116898	0.0134784	0.0353894	0.0326354	0.0294789	0.0653894	0.0548419	0.0845048	0.118824	0.205468	0.296592
a85	0.00702117	0.0043099	0.00460247	0.00788439	0.00660131	0.0102854	0.00960775	0.0103688	0.0305628	0.0200464	0.0521931	0.0913867	0.271224	0.473906
a66	0.00424426	0.00268684	0.00266923	0.00612919	0.00758776	0.0140155	0.0140394	0.0173843	0.0540876	0.0340327	0.06975	0.10923	0.250151	0.413991
a87	0.0112738	0.00601984	0.00618569	0.0131009	0.0136906	0.0269663	0.0264861	0.0273475	0.0644476	0.0427795	0.0639932	0.0863001	0.219883	0.391526
a23	0.0103326	0.00540386	0.00530266	0.00843702	0.00757252	0.013744	0.0130216	0.0132653	0.0313756	0.0201556	0.0422304	0.0717964	0.241227	0.516135
a87	0.0136251	0.00763965	0.00685141	0.0124029	0.0119231	0.0214142	0.0220189	0.022109	0.0536759	0.0367361	0.0613028	0.0903687	0.22361	0.416323
</S>	0.00908709	0.00488478	0.00436969	0.00642519	0.0057264	0.0100585	0.00939929	0.00951762	0.0266354	0.0174586	0.0377032	0.070201	0.246093	0.542441
