 	il	a	contourné	ma	parcelle	parce	qu'	il	me	doit	de	l'	argent	</S>
a61	0.10353	0.146973	0.147452	0.126553	0.116412	0.0935849	0.0734446	0.0459711	0.0383659	0.0252703	0.0212332	0.0187007	0.0195997	0.0229094
a21	0.0876487	0.112882	0.135233	0.13852	0.130836	0.110774	0.0877255	0.0536954	0.0410947	0.024215	0.0192561	0.0170392	0.0184853	0.022595
a61	0.143707	0.136008	0.117792	0.127038	0.111718	0.0810712	0.0645474	0.0512314	0.043738	0.0319048	0.0259479	0.0215329	0.0215491	0.0222149
a0	0.0709251	0.0786747	0.0819166	0.0977997	0.102817	0.106748	0.103055	0.0794142	0.0703376	0.0510352	0.0425395	0.0358549	0.0367204	0.0421625
a11	0.0468693	0.0491708	0.0502304	0.0648915	0.0777345	0.110869	0.143759	0.118745	0.103292	0.0638447	0.0449088	0.0375312	0.0416077	0.0465456
a96	0.0383649	0.0387672	0.0382292	0.0505405	0.0611403	0.0964937	0.142034	0.129695	0.116365	0.076771	0.0522404	0.0448071	0.0524306	0.0621206
a75	0.0435393	0.0437236	0.0469212	0.0522385	0.0564456	0.0796278	0.112386	0.107391	0.105261	0.086243	0.0710026	0.0609984	0.0643388	0.0698829
a85	0.0319609	0.0368476	0.049044	0.0605974	0.0578434	0.0784463	0.0983687	0.0933691	0.0851361	0.077982	0.0709727	0.0721743	0.0865733	0.100684
a56	0.0415799	0.0496763	0.0606784	0.0594003	0.0501242	0.057964	0.0715627	0.0804925	0.0700589	0.0719487	0.0717219	0.0795765	0.102794	0.132422
a96	0.0236514	0.024942	0.0299709	0.0348222	0.0344496	0.0559911	0.0853919	0.101122	0.100393	0.114305	0.108331	0.0945004	0.0933514	0.0987778
a75	0.0249659	0.0268977	0.032605	0.037513	0.0350767	0.0517088	0.0741381	0.088165	0.0909775	0.111102	0.106421	0.0974373	0.105161	0.117831
a85	0.0237277	0.027045	0.0352405	0.0396045	0.035895	0.0423253	0.0497449	0.0579933	0.0538731	0.0670074	0.0733383	0.0992593	0.156481	0.238464
a43	0.0289669	0.0336982	0.0388827	0.037713	0.034046	0.0385114	0.0465321	0.0598983	0.0550928	0.0727106	0.0832278	0.102007	0.149741	0.218972
a11	0.0169051	0.0156816	0.017989	0.0185505	0.0165802	0.0249191	0.0325354	0.0423879	0.0413534	0.0730631	0.10516	0.145229	0.197078	0.252568
a61	0.00878938	0.00794907	0.00917035	0.0117633	0.0108543	0.0189724	0.0288535	0.042598	0.0411704	0.0679483	0.0808665	0.124963	0.21767	0.328431
a85	0.00561961	0.00582757	0.00778707	0.00946456	0.00891277	0.0161548	0.0269771	0.0389004	0.041165	0.0705711	0.089345	0.139527	0.224585	0.315163
a15	0.00577875	0.0063795	0.00890698	0.0111543	0.0115264	0.0172512	0.023329	0.0306159	0.0333738	0.0577231	0.0802666	0.131635	0.221553	0.360506
a92	0.00574706	0.00480609	0.00556436	0.00673814	0.00763306	0.011243	0.0154359	0.0217417	0.0248527	0.0511591	0.0797579	0.142086	0.250014	0.373221
a34	0.0142586	0.0153427	0.0181854	0.0238211	0.0259001	0.0409617	0.0511	0.0548914	0.0493224	0.0607807	0.0699062	0.10349	0.180478	0.291562
a47	0.0050279	0.00624527	0.00793775	0.0125842	0.0138322	0.0245635	0.0352766	0.0400271	0.0360029	0.0508994	0.0661475	0.112844	0.216462	0.372149
a96	0.0013918	0.00158381	0.0026197	0.004153	0.0047747	0.0101632	0.0172569	0.025794	0.0250179	0.0452269	0.0651467	0.123067	0.231523	0.442281
a21	0.00179172	0.00203118	0.00318719	0.00505118	0.00563042	0.0106665	0.0160565	0.022437	0.0220807	0.0404517	0.0609116	0.119724	0.23074	0.459241
a47	0.0050104	0.00460286	0.00612241	0.00913222	0.00940768	0.0159347	0.0213536	0.0261648	0.0241225	0.0375846	0.051896	0.10432	0.231876	0.452473
a88	0.00398779	0.00403166	0.00523454	0.00747871	0.00769649	0.0141468	0.020343	0.0277681	0.0260057	0.0436436	0.0621917	0.11858	0.222267	0.436625
a62	0.0017115	0.00189602	0.0028682	0.00381918	0.00411518	0.00831006	0.0143407	0.0230037	0.0213317	0.0410021	0.0611975	0.121407	0.241222	0.453775
a47	0.00435326	0.00466951	0.00657151	0.00983124	0.0104177	0.020686	0.0311808	0.041646	0.0341734	0.0489568	0.0639964	0.112173	0.2038	0.407544
a62	0.00424913	0.00457963	0.00584402	0.00804698	0.00820161	0.0138107	0.0202668	0.0274655	0.0302618	0.0535182	0.0750526	0.135444	0.221536	0.391723
a83	0.00253285	0.0024981	0.00328784	0.00475643	0.00477824	0.00936975	0.0151803	0.0224731	0.0204872	0.0368345	0.055945	0.111436	0.228201	0.482219
a9	0.00160812	0.00150686	0.00183139	0.00288964	0.00333646	0.00637709	0.0109956	0.0190156	0.0193175	0.0411363	0.0661129	0.127668	0.255012	0.443193
a10	0.00667439	0.00391909	0.00406276	0.00875983	0.0111779	0.0180383	0.0256652	0.0441391	0.0418743	0.0747572	0.0960068	0.145072	0.229943	0.28991
a87	0.0249212	0.0110212	0.00992845	0.0181355	0.0232211	0.0361909	0.0468436	0.0689375	0.0653205	0.0927998	0.106813	0.135158	0.180628	0.18008
a23	0.0702998	0.0306791	0.0198739	0.0310935	0.0411534	0.0546383	0.0684889	0.0899486	0.086402	0.0962154	0.0987344	0.09897	0.108327	0.105176
a10	0.0263624	0.0147716	0.00908931	0.0117471	0.0151677	0.0267141	0.0445901	0.0648963	0.0754026	0.097652	0.112999	0.127811	0.157791	0.215006
</S>	0.0129088	0.00974412	0.00737644	0.0126372	0.0182595	0.0360682	0.0537972	0.0719139	0.0726532	0.0838763	0.0885714	0.110898	0.164869	0.256427
