 	pour	sécher	un	habit	il	faut	d'	abord	le	mettre	à	l'	envers	</S>
a6	0.0118889	0.0107663	0.0200286	0.0544616	0.110274	0.101451	0.105024	0.0707536	0.0818077	0.0759119	0.0698621	0.0713796	0.0980123	0.118378
a85	0.0136715	0.0122209	0.0184958	0.0490329	0.11701	0.104269	0.11847	0.0842304	0.0873376	0.0758216	0.0659232	0.0640619	0.0864483	0.103006
a47	0.00748426	0.00612461	0.00951944	0.0308318	0.0879722	0.0811031	0.104697	0.0762529	0.0875193	0.0905315	0.0831129	0.0834721	0.109243	0.142137
a36	0.00859839	0.00654189	0.00752664	0.0178583	0.0635349	0.0595856	0.106485	0.090842	0.0769111	0.0722318	0.068623	0.0804549	0.130392	0.210414
a2	0.0170256	0.0123215	0.0106512	0.016523	0.0385316	0.0372753	0.0735705	0.082705	0.0718907	0.0731405	0.0693938	0.0881804	0.157216	0.251575
a54	0.0324848	0.0259346	0.0197664	0.0204673	0.0391307	0.0328181	0.0569148	0.0683935	0.0583226	0.0591727	0.0536023	0.0739794	0.175043	0.28397
a79	0.00437104	0.00324347	0.0034093	0.00595144	0.0124372	0.0123853	0.0252197	0.024867	0.0267549	0.0488309	0.0678101	0.115995	0.248869	0.399855
a98	0.00200872	0.00135532	0.00141368	0.00302541	0.00814283	0.0078198	0.0218087	0.0276176	0.0330978	0.071665	0.0930812	0.138413	0.231566	0.358985
a79	0.00100779	0.000666476	0.000701877	0.00143867	0.00424544	0.00429623	0.0130441	0.0183717	0.0193451	0.0465472	0.0715376	0.133066	0.257896	0.427836
a56	0.00110401	0.000705965	0.00072858	0.0014233	0.00374911	0.00338704	0.0111531	0.0190517	0.0189652	0.0426227	0.0640208	0.12821	0.27152	0.433358
a90	0.000784688	0.000482648	0.000519574	0.00117815	0.00315258	0.00258923	0.00848523	0.0133173	0.0146467	0.0367618	0.0607397	0.133599	0.289473	0.434271
a56	0.000734145	0.000449146	0.000473319	0.00103686	0.00270471	0.00224604	0.00693669	0.0111118	0.0116045	0.0278605	0.0474692	0.117381	0.30246	0.467532
a43	0.000892088	0.000503429	0.000534826	0.00116455	0.00277676	0.00204821	0.00477759	0.00745794	0.00754474	0.0181762	0.0329797	0.0924122	0.30873	0.520002
a96	0.00101059	0.000604524	0.000545104	0.000982094	0.00246819	0.00179043	0.00408195	0.00753659	0.00612043	0.0123985	0.0224785	0.0700422	0.286302	0.583638
a75	0.00199382	0.00123748	0.000889999	0.00114289	0.003357	0.00310461	0.008013	0.016432	0.0134244	0.0223216	0.0330823	0.0845365	0.278338	0.532126
a79	0.000464726	0.000302469	0.000273445	0.000376025	0.000987367	0.000839057	0.0023153	0.00469889	0.00482243	0.0118213	0.0202938	0.0630395	0.284563	0.605202
a7	0.000148288	9.88583e-05	9.46994e-05	0.000149973	0.000469001	0.000376194	0.00119663	0.00223051	0.00199996	0.00545625	0.0107116	0.0444033	0.278257	0.654408
a84	0.00324203	0.00233791	0.00186517	0.00182058	0.00314853	0.00269464	0.0059723	0.0150868	0.011948	0.020793	0.0334595	0.0892839	0.292285	0.516063
a87	0.0327794	0.0162989	0.0141903	0.0145258	0.0221739	0.0208645	0.0374942	0.078343	0.0613141	0.0769127	0.0843107	0.114783	0.173224	0.252786
a23	0.108785	0.0632312	0.0605221	0.0488847	0.0585696	0.060551	0.0882794	0.105287	0.0784804	0.0650063	0.0562845	0.0575609	0.0697135	0.0788447
a99	0.0498106	0.0249475	0.0155058	0.00918233	0.0109669	0.0106101	0.0214001	0.0328493	0.0285304	0.0448066	0.074447	0.153799	0.259696	0.263448
a97	0.0172773	0.00872311	0.00601137	0.00435898	0.00660474	0.00653522	0.0180961	0.0337363	0.0303288	0.0452121	0.0651508	0.134599	0.283677	0.339689
</S>	0.00724127	0.00429472	0.00296704	0.0025341	0.00481945	0.00505115	0.0120983	0.0195828	0.0163582	0.0273759	0.0470078	0.115361	0.3127	0.422609
