 	tu	manges	tellement	vite	que	je	ne	veux	pas	manger	dans	une	même	assiette	que	toi	</S>
a98	0.0317494	0.086631	0.102989	0.0769167	0.0781761	0.0852773	0.0857165	0.0778661	0.0693985	0.0539843	0.042084	0.0299364	0.02759	0.0290333	0.0336019	0.0413201	0.0477298
a47	0.0184442	0.0625477	0.0851541	0.0683488	0.0762777	0.0859767	0.0882062	0.0745695	0.0676933	0.0576304	0.0479968	0.0372639	0.0360389	0.037015	0.0405332	0.0517003	0.0646033
a36	0.0063911	0.0199377	0.064162	0.0881669	0.109892	0.102855	0.106938	0.0875944	0.0754498	0.0612616	0.0443165	0.030808	0.0313682	0.0312252	0.0360783	0.0460342	0.0575212
a2	0.00392876	0.00717958	0.0487775	0.113759	0.156847	0.127881	0.124488	0.0989265	0.0771824	0.0504431	0.0347585	0.0235926	0.0213916	0.0176866	0.0213905	0.0310758	0.0406915
a57	0.00827197	0.0126528	0.0474077	0.111867	0.157462	0.150077	0.15118	0.115042	0.0809021	0.045577	0.0302384	0.0190857	0.0167079	0.0125015	0.011614	0.0135275	0.0158849
a10	0.00950335	0.0106881	0.042178	0.0889671	0.124008	0.126328	0.140166	0.12246	0.0980781	0.0649699	0.0437443	0.0257462	0.022989	0.0173358	0.01675	0.0210139	0.0250744
a87	0.0130927	0.0167554	0.0630567	0.110505	0.14043	0.130676	0.132638	0.109602	0.0814809	0.0516453	0.0350317	0.0215134	0.019244	0.0148925	0.0145539	0.0199166	0.0249667
a23	0.0348876	0.0391141	0.097247	0.110837	0.120222	0.099446	0.0893275	0.0749089	0.0636349	0.0557917	0.044156	0.0328699	0.0300523	0.0238277	0.0188928	0.0282048	0.0365802
a99	0.0154987	0.0236266	0.0758277	0.0894034	0.10344	0.0913019	0.0830557	0.075654	0.0662963	0.0601658	0.0520238	0.0443743	0.0420794	0.0353645	0.030137	0.0472595	0.0644912
a50	0.0021041	0.00637453	0.0310088	0.0522734	0.0674116	0.0608403	0.0565074	0.0521247	0.0460072	0.0450515	0.0425109	0.0487594	0.054677	0.0616544	0.0778052	0.125176	0.169714
a75	0.00414885	0.011766	0.0427618	0.0613269	0.0878587	0.0781196	0.0706517	0.0600344	0.0469388	0.043424	0.0406989	0.0467887	0.0485772	0.0519265	0.0581593	0.0977162	0.149103
a79	0.00279801	0.00979666	0.0298066	0.0388339	0.0520781	0.0541573	0.0566264	0.049895	0.0405855	0.0359802	0.0323752	0.0352657	0.0395634	0.0547758	0.0882146	0.154655	0.224592
a90	0.00248791	0.00936097	0.025695	0.0357407	0.0481494	0.0541838	0.061064	0.0548817	0.0511108	0.0515251	0.0463923	0.0488179	0.053582	0.0654172	0.0893905	0.134922	0.167279
a94	0.00335039	0.0112694	0.0342105	0.0474753	0.061196	0.0632776	0.0692267	0.0649628	0.063633	0.0640925	0.0580099	0.0576075	0.0590977	0.0613317	0.0668784	0.0947195	0.119661
a61	0.00209931	0.00621626	0.0295045	0.0535607	0.0742487	0.0751809	0.0842178	0.0806205	0.0701855	0.0628758	0.0572442	0.0560069	0.0536049	0.056705	0.0609561	0.0784277	0.0983452
a47	0.0025017	0.00484414	0.0189349	0.0390988	0.055629	0.0628444	0.0840796	0.0852927	0.076342	0.0698345	0.063887	0.0632831	0.0604116	0.0632533	0.0675424	0.0847366	0.0974842
a62	0.00277942	0.00530073	0.0225084	0.0506626	0.0780067	0.0831265	0.102812	0.0977794	0.0844072	0.0733504	0.0655516	0.0610188	0.0549066	0.0501134	0.0485144	0.0563588	0.0628031
a88	0.00227647	0.00425767	0.0159361	0.0397571	0.067866	0.0767283	0.0967297	0.0887247	0.0706613	0.0615849	0.0589618	0.0622588	0.0609898	0.0618689	0.0662023	0.0782428	0.0869532
a90	0.000980231	0.00194033	0.0084167	0.0252268	0.0476347	0.0556769	0.0765848	0.075749	0.0618068	0.056552	0.0572037	0.0648654	0.0643202	0.0677968	0.0851837	0.114975	0.135087
a56	0.000987146	0.0014282	0.00535578	0.0171286	0.0318244	0.0357507	0.0538125	0.057878	0.0533172	0.053483	0.0563437	0.0668244	0.069938	0.0753591	0.107622	0.147262	0.165685
a75	0.000865197	0.00107174	0.00290744	0.00786243	0.0154544	0.020191	0.0358451	0.0427997	0.0419211	0.0496949	0.0522893	0.0650086	0.0767749	0.0953349	0.131022	0.171347	0.18961
a56	0.000528148	0.000672238	0.00239363	0.00645446	0.0117809	0.0141768	0.0258261	0.0315564	0.0335866	0.045718	0.0489688	0.0625414	0.0766544	0.0920845	0.126139	0.185454	0.235465
a75	0.000820757	0.00111007	0.00279881	0.00739778	0.0145639	0.0195014	0.0350312	0.0408796	0.0389646	0.0456278	0.0477985	0.059621	0.0733991	0.0941778	0.137039	0.18163	0.199639
a85	0.000350186	0.000472844	0.0015272	0.00436776	0.00875553	0.0109099	0.0209674	0.0257015	0.026945	0.0381776	0.0419751	0.0559966	0.0761876	0.0979316	0.14678	0.20321	0.239745
a92	0.000261095	0.000359601	0.00135661	0.00424153	0.00879966	0.0102249	0.0183262	0.0200142	0.0199318	0.0288465	0.0316463	0.0431481	0.0621788	0.0855151	0.146073	0.232178	0.286899
a56	0.000283334	0.000388773	0.00122679	0.00338338	0.00691076	0.00858652	0.0155239	0.0185691	0.0199226	0.0293753	0.0322851	0.0441118	0.0618945	0.0839497	0.14421	0.234171	0.295207
a75	0.000610879	0.000758835	0.00186481	0.00505722	0.0098766	0.0118257	0.0202278	0.0216548	0.0192335	0.0249891	0.0259524	0.0350546	0.0495784	0.0698429	0.144044	0.251772	0.307656
a85	0.00015161	0.000224718	0.00073443	0.00217261	0.00470456	0.00576332	0.0106402	0.0122456	0.0121114	0.0179775	0.0204353	0.03047	0.0449227	0.0675741	0.144398	0.267296	0.358178
a92	7.83255e-05	0.000152597	0.000598795	0.00197028	0.00430878	0.00486828	0.00788638	0.00760293	0.00667053	0.0100538	0.010975	0.0163691	0.0256966	0.0428892	0.124803	0.290975	0.444102
a12	0.000213985	0.000276683	0.000774699	0.00266288	0.00594656	0.00689954	0.011571	0.0113453	0.00972807	0.0130841	0.0141434	0.0215713	0.0341815	0.0536999	0.146141	0.29051	0.37725
a96	0.00037733	0.000490549	0.00141814	0.00319135	0.00513652	0.00540285	0.00813579	0.00868911	0.00758895	0.0103165	0.0111275	0.0166978	0.0249886	0.043217	0.133238	0.299465	0.420519
a66	0.000726944	0.00101625	0.00317017	0.00867822	0.0126911	0.0111862	0.0122413	0.0106218	0.00785162	0.00930999	0.0100138	0.0157204	0.0228732	0.0356377	0.131874	0.29103	0.415357
a90	0.00886156	0.0106629	0.0151541	0.0315081	0.0360822	0.0277922	0.0302887	0.0246038	0.0198732	0.0222151	0.0223621	0.0312266	0.046996	0.0616351	0.147333	0.213004	0.250402
a69	0.00181318	0.00184002	0.00399207	0.00943305	0.0125117	0.0103587	0.0110583	0.0096234	0.00786241	0.00951685	0.0106167	0.0162386	0.0242481	0.0381086	0.1376	0.292882	0.402296
a7	0.000615113	0.000716227	0.00176409	0.00535586	0.00882686	0.0072673	0.00815501	0.00734439	0.0060494	0.0082738	0.00944112	0.014848	0.0226883	0.0339019	0.121826	0.292663	0.450264
a54	0.00190699	0.00212168	0.00441616	0.00952051	0.0123788	0.0107689	0.0117695	0.00986021	0.00783936	0.00993048	0.0104492	0.0149004	0.0234033	0.0364292	0.124731	0.293718	0.415856
a36	0.000220105	0.000310268	0.000761362	0.00255478	0.00421479	0.00382744	0.00440666	0.00406426	0.00333479	0.00515778	0.00623428	0.0112314	0.0169086	0.0293088	0.117172	0.313478	0.476815
a2	0.00053288	0.000602141	0.00140978	0.0038251	0.00567603	0.00493515	0.00534078	0.00482968	0.00407275	0.00608961	0.00705846	0.0128082	0.021316	0.0367714	0.124419	0.304644	0.455669
a57	0.020359	0.0220262	0.0193173	0.0279874	0.0337039	0.0295987	0.0298562	0.0281099	0.0244749	0.031061	0.0315584	0.0464447	0.0691911	0.0893913	0.148342	0.168135	0.180442
a87	0.0562965	0.0395754	0.0303647	0.0374336	0.0385291	0.0313717	0.030882	0.0319178	0.0306796	0.0400239	0.0407464	0.0517513	0.0660496	0.0814159	0.124954	0.131044	0.136965
a23	0.0685212	0.0291818	0.0205794	0.0289999	0.0315235	0.0263316	0.0291024	0.0334666	0.0349152	0.0490357	0.0516646	0.0616563	0.072433	0.084594	0.11677	0.126314	0.13491
a87	0.0138549	0.00557129	0.00337307	0.00685296	0.0105497	0.00961716	0.0112744	0.012859	0.0131708	0.0247031	0.0295064	0.0525993	0.0777326	0.11072	0.17635	0.209907	0.231358
</S>	0.00806338	0.00348439	0.00283006	0.00514293	0.00744814	0.00645929	0.00700619	0.00643083	0.0058876	0.00927349	0.010345	0.0164625	0.0261207	0.0452695	0.130516	0.281596	0.427664
