 	ils	se	sont	anuités	dans	la	forêt	ils	n'	ont	pas	pu	rentrer	</S>
a75	0.0334227	0.0349082	0.0688683	0.0972471	0.140025	0.164435	0.154024	0.10451	0.0694319	0.0479916	0.0287089	0.0188717	0.018617	0.0189387
a14	0.0388233	0.0435846	0.065995	0.0827603	0.106186	0.133905	0.130579	0.0948047	0.0768473	0.0647305	0.0502719	0.0379329	0.037349	0.0362301
a44	0.0503873	0.0508409	0.0655129	0.074923	0.0904685	0.1191	0.131741	0.0926236	0.0740025	0.0638769	0.0505533	0.0409187	0.046479	0.0485725
a57	0.0289517	0.0263876	0.0412919	0.0681333	0.0892687	0.132849	0.150624	0.0998581	0.0779689	0.0693365	0.0533182	0.0445706	0.0549302	0.062511
a40	0.00905237	0.00789483	0.0158926	0.045403	0.0781173	0.161413	0.173245	0.133998	0.0969981	0.0781588	0.0533417	0.0404057	0.0512642	0.0548154
a76	0.0268147	0.0247653	0.0322011	0.0587351	0.0682466	0.096451	0.108728	0.0785803	0.0678522	0.0690037	0.0658295	0.0708299	0.109118	0.122845
a69	0.0160224	0.0169228	0.0229999	0.0366205	0.0481556	0.0645927	0.0858983	0.077784	0.0728663	0.0797232	0.087699	0.0998998	0.136965	0.153851
a58	0.0154875	0.0150673	0.0209259	0.0439022	0.065701	0.0956229	0.115466	0.0920202	0.0830012	0.0862258	0.0833872	0.0765321	0.0951039	0.111556
a82	0.0153635	0.0118499	0.017183	0.0400054	0.0623207	0.103523	0.117987	0.110779	0.0952241	0.0917845	0.0776417	0.0621122	0.0829042	0.111322
a87	0.0132873	0.0100295	0.0134723	0.0269918	0.0468317	0.0915798	0.108022	0.123062	0.10809	0.100967	0.0816899	0.0666242	0.0918164	0.117537
a23	0.00703414	0.00645133	0.0098356	0.0199576	0.0413074	0.0772319	0.0844094	0.0923576	0.0869398	0.0845022	0.0718026	0.0774316	0.146497	0.194241
a40	0.00550418	0.0050624	0.00865835	0.0167459	0.0350958	0.0624585	0.0722959	0.0890169	0.0830853	0.0784515	0.0670544	0.0762685	0.16007	0.240232
a44	0.0116733	0.0122887	0.0213988	0.0672089	0.104792	0.169161	0.115547	0.0666366	0.0503092	0.0391171	0.030003	0.0384218	0.101578	0.171864
a57	0.0274362	0.0228251	0.030755	0.0466804	0.0824668	0.148217	0.134074	0.090453	0.0676979	0.051222	0.037315	0.0419415	0.0863374	0.132579
a40	0.00440738	0.00342583	0.00587973	0.0149899	0.0285941	0.0731899	0.0726594	0.0748288	0.0717363	0.0718623	0.0672905	0.0855594	0.171971	0.253606
a20	0.0131992	0.011326	0.015439	0.0288092	0.0454422	0.0938857	0.095825	0.0903575	0.0773775	0.0671725	0.0585556	0.0677539	0.133438	0.201418
a94	0.0241478	0.0214263	0.024758	0.0317775	0.0547187	0.0925399	0.120713	0.110592	0.0923571	0.0777718	0.0642627	0.0636694	0.0920738	0.129192
a90	0.00774443	0.00712066	0.0113024	0.0173602	0.032868	0.060319	0.0743805	0.0736555	0.0689477	0.0691463	0.0634979	0.0812469	0.162042	0.270369
a76	0.0134366	0.0127509	0.0172582	0.0342457	0.046052	0.0699559	0.0737484	0.064333	0.0596232	0.0626544	0.0609116	0.0757451	0.151588	0.257697
a90	0.0202961	0.0168378	0.0182961	0.0263751	0.0405976	0.0561549	0.0690501	0.0734004	0.0706863	0.0701929	0.0714155	0.0814545	0.143996	0.241247
a38	0.00797212	0.00794279	0.0105141	0.0203257	0.0320966	0.051179	0.059175	0.057704	0.0609451	0.0707735	0.0768965	0.0926708	0.17033	0.281475
a94	0.00340193	0.00278105	0.00407356	0.0101045	0.0195412	0.0373582	0.0444491	0.0423708	0.0449542	0.0561168	0.0676407	0.0936288	0.201485	0.372094
a54	0.00444383	0.00401326	0.00574704	0.0124244	0.0239956	0.0403114	0.0447788	0.0388206	0.0416094	0.0495416	0.0601106	0.0848518	0.200481	0.388871
a73	0.00592833	0.00560792	0.00745487	0.0192049	0.0352367	0.0545065	0.0583021	0.0503673	0.0542516	0.0608981	0.0672821	0.0841307	0.176147	0.320681
a44	0.00316629	0.00262534	0.00358769	0.0112544	0.0224871	0.0400563	0.0473853	0.0434964	0.0450238	0.0516902	0.0609115	0.0825267	0.187362	0.398426
a57	0.00507309	0.0040389	0.00549724	0.0155534	0.0277475	0.0482892	0.0521434	0.0481617	0.0517679	0.0567526	0.0650156	0.0795391	0.172884	0.367537
a9	0.00306744	0.00189439	0.00257239	0.00633125	0.00975894	0.0175748	0.0210272	0.024514	0.0290447	0.0387967	0.0576381	0.0875171	0.218061	0.482202
a53	0.00501672	0.00278093	0.00380738	0.00740417	0.00927558	0.0138827	0.0172543	0.0266832	0.033689	0.0491046	0.0853347	0.11966	0.213228	0.412879
a4	0.00798316	0.00451389	0.00527854	0.0132654	0.0180774	0.0302364	0.0312131	0.0293507	0.0319091	0.0424387	0.0645885	0.100171	0.198796	0.422179
a13	0.00693851	0.00462479	0.00562501	0.010099	0.0130089	0.0197042	0.0254325	0.0301012	0.0341063	0.0456495	0.0740956	0.112569	0.20933	0.408716
a9	0.0118278	0.00701458	0.00697898	0.0111067	0.013282	0.0181689	0.0260716	0.0324493	0.0363772	0.0475698	0.0765042	0.106984	0.206027	0.399638
a87	0.00638287	0.00368851	0.00446796	0.0083365	0.00995748	0.0134467	0.0172881	0.0271164	0.0316872	0.0485926	0.0931266	0.147855	0.225751	0.362303
</S>	0.0138377	0.00625867	0.00574348	0.00691481	0.00787889	0.010218	0.0131125	0.0227572	0.0279647	0.0512747	0.104827	0.157226	0.231821	0.340166
