 	j'	ai	une	ampoule	au	pied	ma	chaussure	me	blesse	</S>
a9	0.00777085	0.00697269	0.00871366	0.0178131	0.0347477	0.0623183	0.0620587	0.0763921	0.118601	0.223095	0.381518
a54	0.00458738	0.00540143	0.00835785	0.00968687	0.0155684	0.0337799	0.0416781	0.0566828	0.0795915	0.22369	0.520976
a73	0.0166059	0.0143885	0.0181079	0.0159595	0.0203867	0.0297898	0.0421276	0.0607151	0.0937544	0.202436	0.485729
a44	0.00729132	0.00752189	0.0113387	0.0107411	0.0189801	0.0335595	0.057011	0.0790522	0.101691	0.185993	0.486821
a84	0.00453817	0.00444863	0.00659435	0.00768089	0.0159565	0.0298442	0.0504517	0.0747419	0.0966959	0.172167	0.53688
a54	0.00183531	0.00216544	0.003296	0.00361207	0.00538773	0.00964305	0.0188654	0.0351106	0.0580011	0.185974	0.676109
a41	0.0139268	0.0132989	0.017113	0.0177146	0.0248438	0.0324069	0.0542751	0.0812105	0.105149	0.172522	0.467539
a96	0.00493564	0.00451182	0.00629024	0.00919376	0.0203757	0.0397219	0.0793392	0.109389	0.110378	0.179989	0.435876
a26	0.00337554	0.00325445	0.00514813	0.0074852	0.0141976	0.0244271	0.0387863	0.061798	0.0891684	0.170624	0.581735
a62	0.00176424	0.00169718	0.00257947	0.00281745	0.00569115	0.0139173	0.0233565	0.041879	0.0699744	0.161965	0.674358
a83	0.0051105	0.00446888	0.00624098	0.00806986	0.0134298	0.0227314	0.0343563	0.0539005	0.0833369	0.155089	0.613265
a9	0.00479109	0.00428986	0.00599606	0.00799628	0.0137195	0.0252656	0.035977	0.0541118	0.0856655	0.155126	0.607061
a53	0.00416904	0.00384102	0.0045764	0.00437806	0.00658134	0.013184	0.0243825	0.0450557	0.0698445	0.183282	0.640705
a90	0.00375918	0.00290872	0.00306221	0.00456746	0.00908463	0.0206309	0.0332244	0.0525825	0.0714306	0.140145	0.658605
a32	0.00518565	0.00355349	0.00363867	0.00485192	0.0101763	0.0239727	0.0335917	0.0510146	0.0678009	0.126232	0.669982
a11	0.00386447	0.00294984	0.00417056	0.00487926	0.00915437	0.0200083	0.0312122	0.0484541	0.0613481	0.126099	0.687859
a90	0.00327047	0.0028715	0.00462963	0.00513734	0.00864415	0.0163804	0.0242515	0.0409401	0.0546722	0.140776	0.698427
a35	0.00318475	0.00249387	0.00288269	0.00298911	0.00529427	0.01386	0.0250269	0.0417865	0.0564749	0.131053	0.714954
a76	0.00539155	0.00395035	0.00463204	0.00514705	0.00951107	0.0235283	0.0331783	0.0483972	0.0574915	0.125049	0.683723
a94	0.00681627	0.00493129	0.00556367	0.00718563	0.015233	0.0393299	0.0520948	0.0714296	0.0739058	0.126952	0.596559
a4	0.00350952	0.00270715	0.00409869	0.00505816	0.0104774	0.0232016	0.0351545	0.0528827	0.0556899	0.130002	0.677219
a54	0.00655451	0.00467855	0.00558138	0.00645563	0.0133263	0.0332143	0.0544363	0.0746438	0.0713565	0.136531	0.593222
a73	0.0111885	0.00783139	0.00682176	0.0072469	0.0167635	0.0434605	0.0558851	0.0738095	0.070982	0.118624	0.587387
a84	0.0073216	0.0052018	0.00626984	0.00703676	0.0154153	0.0392289	0.0479528	0.0656787	0.0650119	0.125583	0.615299
a57	0.0169042	0.0122882	0.0145111	0.0139885	0.0193574	0.0276985	0.0376042	0.0608078	0.0645338	0.182804	0.549503
a87	0.032676	0.0250126	0.0228772	0.0133225	0.0123261	0.0154046	0.0171143	0.0284416	0.0410257	0.154276	0.637524
</S>	0.0340528	0.0275489	0.0254702	0.0109537	0.00874814	0.0110246	0.0164507	0.0272584	0.0424585	0.155459	0.640576
