 	celui	qui	cause	avec	moi	dans	ce	quartier	c'	est	toi	seul	</S>
a6	0.00619327	0.00905837	0.0158643	0.0380033	0.0952585	0.145006	0.131375	0.105423	0.0955841	0.0847368	0.0820563	0.0873259	0.104115
a0	0.00832625	0.0121719	0.019115	0.0446931	0.0971489	0.139673	0.131409	0.102338	0.0912648	0.0801077	0.0823959	0.0879975	0.103359
a21	0.0102095	0.01307	0.0218539	0.0466903	0.0850808	0.130655	0.139167	0.114924	0.097449	0.0738015	0.0737966	0.0843096	0.108993
a12	0.00730593	0.00804592	0.0109447	0.0219118	0.0427619	0.0726111	0.0967595	0.123812	0.141524	0.118127	0.111287	0.114728	0.130181
a18	0.00635916	0.00783722	0.0118368	0.0240833	0.045898	0.075088	0.100591	0.120621	0.143066	0.112817	0.101124	0.11151	0.139168
a21	0.0154254	0.016778	0.0184648	0.0277794	0.0364037	0.0485208	0.0710054	0.0883149	0.111538	0.105224	0.104688	0.151954	0.203903
a85	0.0084111	0.00883928	0.00987901	0.0142387	0.0225767	0.0374904	0.0623236	0.0967979	0.134385	0.148938	0.144697	0.155412	0.156011
a5	0.00215941	0.00231373	0.00207537	0.00357825	0.00700512	0.0152648	0.0379454	0.0725957	0.108536	0.126791	0.15628	0.212652	0.252803
a12	0.00187792	0.00205169	0.0023596	0.00482625	0.00954621	0.0190958	0.0389636	0.0654982	0.104789	0.120742	0.157708	0.218147	0.254395
a24	0.00232316	0.00255723	0.00284241	0.00484744	0.00841853	0.0164731	0.0329615	0.0604015	0.0949014	0.118952	0.165225	0.237833	0.252264
a62	0.00311699	0.00338408	0.0042557	0.00666197	0.00922488	0.0134024	0.0243033	0.0457218	0.0678906	0.0911353	0.135123	0.253307	0.342473
a24	0.00277432	0.00292957	0.00363614	0.00557865	0.00716544	0.00900172	0.0158747	0.0298058	0.0473479	0.0793832	0.138403	0.285414	0.372686
a21	0.00299788	0.00308649	0.00376341	0.00548125	0.0072033	0.00914996	0.0156075	0.0284151	0.04301	0.0763744	0.142069	0.286653	0.376189
a56	0.00108578	0.00103297	0.000953791	0.00141258	0.00208093	0.00377202	0.00824786	0.0204485	0.0431228	0.0875274	0.173214	0.308241	0.34886
a96	0.000557884	0.000615353	0.000680537	0.00120236	0.00177737	0.00301871	0.00660978	0.0159936	0.0325992	0.0672606	0.145403	0.311323	0.412959
a94	0.000734125	0.000777517	0.000945216	0.00172356	0.00259684	0.0040603	0.00790303	0.0175267	0.0310443	0.0638995	0.137179	0.310873	0.420736
a13	0.00119876	0.00119054	0.00126088	0.00239411	0.00381776	0.00661672	0.0126371	0.0275922	0.0467067	0.0841196	0.156591	0.293973	0.361902
a18	0.00912664	0.00705166	0.00572208	0.00784016	0.0108025	0.02	0.034803	0.0632663	0.103187	0.127691	0.169882	0.203284	0.237343
a71	0.0747815	0.0381493	0.0218857	0.0241598	0.0286239	0.0473767	0.065499	0.090197	0.117914	0.113058	0.121269	0.123642	0.133444
a9	0.109912	0.047846	0.0218255	0.0223062	0.025701	0.042289	0.0563293	0.0834273	0.107146	0.10841	0.122848	0.12731	0.12465
a87	0.242084	0.111539	0.0408612	0.0341847	0.0351896	0.0477653	0.0531216	0.0643395	0.0704947	0.0718176	0.0757318	0.0771112	0.0757602
a23	0.274858	0.195527	0.0949367	0.0641017	0.0471578	0.0412522	0.033905	0.0296805	0.0301653	0.0375608	0.0416398	0.0515722	0.0576429
a87	0.0967975	0.0831099	0.0362696	0.0288359	0.0249214	0.0295191	0.0341805	0.0365095	0.0517428	0.0761005	0.115718	0.168645	0.21765
</S>	0.0214426	0.0153993	0.00703984	0.00719309	0.00857077	0.0147139	0.0209878	0.0315052	0.0568907	0.079359	0.140982	0.226515	0.369401
