 	le	vent	soufflait	et	le	voyageur	avait	de	plus	en	plus	froid	</S>
a7	0.00639524	0.00664841	0.0146105	0.0269577	0.0811711	0.135695	0.161427	0.12242	0.099368	0.0810963	0.0825347	0.0854809	0.0961946
a44	0.00510436	0.0047771	0.0111494	0.0209735	0.0531713	0.107236	0.143573	0.128528	0.118044	0.101981	0.100824	0.0973152	0.107323
a4	0.00338215	0.0030879	0.00847234	0.0156451	0.0401966	0.0842007	0.130886	0.117094	0.106435	0.100434	0.113246	0.122277	0.154642
a13	0.00403318	0.00366832	0.00844619	0.0170775	0.0408345	0.0921794	0.137191	0.121197	0.101474	0.0907111	0.105982	0.130769	0.146436
a53	0.00338596	0.00298547	0.00843928	0.0122607	0.0322276	0.0720049	0.121788	0.100457	0.0861154	0.0778411	0.099741	0.15752	0.225234
a96	0.00238102	0.00237016	0.00639144	0.0136889	0.0364864	0.0909602	0.137882	0.118707	0.0997039	0.0914697	0.10397	0.134029	0.16196
a70	0.00333061	0.00285547	0.00746788	0.0107094	0.0277815	0.0635117	0.114219	0.104308	0.0930834	0.0848416	0.104392	0.164531	0.218968
a50	0.0024552	0.00222982	0.00632146	0.0100417	0.025569	0.0573973	0.102802	0.0984163	0.0899705	0.0789171	0.0986628	0.173674	0.253542
a83	0.00165311	0.00146733	0.00506712	0.00615292	0.0135062	0.0349546	0.0769787	0.0693207	0.0639518	0.0654477	0.0987696	0.220499	0.342231
a54	0.00150566	0.00151857	0.00480858	0.0063393	0.0168317	0.0361056	0.0707911	0.0624387	0.0566364	0.0573433	0.0907997	0.22856	0.366321
a73	0.00247688	0.00228999	0.00647763	0.00943967	0.0219573	0.0420714	0.0761234	0.0921279	0.0880398	0.0916477	0.113446	0.17622	0.277682
a56	0.00194542	0.00200275	0.00607539	0.00761884	0.0136679	0.0233198	0.0480957	0.0621851	0.0598154	0.0793088	0.113002	0.196717	0.386245
a96	0.00221978	0.00193465	0.0060896	0.00749312	0.0158486	0.0271568	0.0510849	0.0637073	0.0605751	0.0700936	0.105038	0.21079	0.377968
a44	0.00138415	0.00129699	0.00415677	0.00462118	0.00891914	0.0145683	0.0286788	0.0337338	0.0358666	0.0445321	0.085534	0.244302	0.492407
a35	0.000976867	0.00100068	0.00365993	0.00395892	0.00840738	0.0151988	0.0296799	0.0361356	0.0385597	0.0492988	0.0917914	0.239826	0.481506
a54	0.00113508	0.00118867	0.00458662	0.00468171	0.00883562	0.0138606	0.0251474	0.029297	0.0306656	0.0424089	0.0804657	0.221101	0.536626
a6	0.0019919	0.00181545	0.00669075	0.007587	0.0137426	0.0186608	0.0296073	0.0329843	0.0348706	0.0500672	0.0904744	0.20891	0.502598
a37	0.00225206	0.00229465	0.00818706	0.00839408	0.0151979	0.0230478	0.037265	0.0443178	0.0424947	0.0548807	0.0827579	0.193584	0.485326
a27	0.0015534	0.00154259	0.00528567	0.00532109	0.00890363	0.0136106	0.0246777	0.0254371	0.026409	0.0362729	0.0705302	0.223446	0.55701
a11	0.000378304	0.000447329	0.00202712	0.00229256	0.00322944	0.00402957	0.00896431	0.00792163	0.01019	0.017775	0.0576788	0.26114	0.623925
a31	0.00146809	0.00130797	0.00296841	0.00285729	0.00374432	0.00442795	0.00968919	0.00937069	0.0129049	0.0245673	0.0800676	0.304756	0.54187
a62	0.00237712	0.00242874	0.00853548	0.00662373	0.00627481	0.00691956	0.0132292	0.0130419	0.0163757	0.0265389	0.0621568	0.237426	0.598072
a83	0.00174432	0.00170025	0.0063141	0.00523726	0.00523049	0.00627375	0.0137338	0.0139149	0.0185679	0.0314147	0.0771435	0.248593	0.570132
a9	0.000878879	0.000871685	0.00368684	0.00306924	0.00343591	0.00444273	0.0107226	0.0123602	0.0166777	0.0262805	0.0669429	0.241328	0.609302
a99	0.0042698	0.0027534	0.00496553	0.00679718	0.0101274	0.0137733	0.0257327	0.0326324	0.0373552	0.0571491	0.127264	0.283063	0.394116
a87	0.0262258	0.0154602	0.0175254	0.0144321	0.0143133	0.0174737	0.0302493	0.0310717	0.0391399	0.0586656	0.117568	0.277001	0.340874
a23	0.0754659	0.0607948	0.0728834	0.0454245	0.0342271	0.0396932	0.0610647	0.0558402	0.0498377	0.0538376	0.0691476	0.1468	0.234983
a87	0.0783535	0.0610203	0.0822743	0.0409004	0.0316787	0.0386925	0.0776501	0.0671514	0.0551495	0.0498947	0.0603037	0.139685	0.217246
a23	0.065359	0.0584703	0.0785898	0.0435422	0.0284307	0.0313897	0.0536838	0.0451056	0.0328399	0.0296574	0.0431754	0.166473	0.323283
a87	0.0872988	0.0813207	0.116735	0.0540617	0.0395504	0.045749	0.0685883	0.0558138	0.0415918	0.0345434	0.0408535	0.115225	0.218669
a23	0.133707	0.107011	0.112201	0.0552076	0.0417402	0.038855	0.0500424	0.0334508	0.0232425	0.0211779	0.028002	0.109322	0.24604
a87	0.131312	0.112488	0.118667	0.0475785	0.0412817	0.0455004	0.0599396	0.0414124	0.0317603	0.0275909	0.0335141	0.105821	0.203134
</S>	0.154636	0.118684	0.116136	0.059317	0.0525856	0.0463904	0.0553596	0.0329176	0.0229359	0.0204562	0.0253358	0.0911234	0.204122
