 	je	suis	venu	ici	pour	m'	entretenir	avec	toi	concernant	ce	qui	s'	était	passé	entre	nos	deus	femmes	</S>
a75	0.0172885	0.0127138	0.013849	0.0123087	0.0138426	0.00834617	0.00473994	0.00763351	0.0101304	0.0159313	0.0238604	0.0177629	0.01318	0.0087729	0.00847346	0.0103945	0.0211021	0.107673	0.248213	0.423784
a47	0.000854724	0.000565583	0.000535194	0.000578535	0.000791785	0.000653606	0.000866129	0.00218678	0.00406241	0.0111413	0.0170886	0.0144017	0.0126024	0.00850507	0.0111246	0.0145653	0.0343006	0.116767	0.286974	0.461435
a36	0.000600129	0.000386145	0.000420242	0.000452103	0.000681722	0.000461399	0.000763903	0.0028772	0.00515131	0.0131191	0.0191119	0.0144947	0.0127125	0.00709102	0.0102881	0.0134682	0.0316741	0.104529	0.27425	0.487468
a0	0.0154978	0.0124677	0.0138421	0.0135164	0.0136862	0.00919561	0.00531773	0.00744016	0.00887553	0.0132781	0.0186288	0.0142307	0.0114993	0.00785943	0.00805677	0.0106447	0.0204988	0.103138	0.248891	0.443434
a11	0.0165959	0.0130258	0.0148169	0.0120704	0.0142902	0.00930823	0.00567103	0.00653795	0.00817587	0.010938	0.0161623	0.0108401	0.00782747	0.00592685	0.00558625	0.00822565	0.0184384	0.118558	0.267666	0.429339
a75	0.0381524	0.0330232	0.0381627	0.0326479	0.0363839	0.0278796	0.0136981	0.0129332	0.0154182	0.0153842	0.022038	0.0156858	0.0108185	0.00835816	0.0073784	0.0107762	0.0249351	0.110394	0.205639	0.320294
a47	0.00177139	0.00133603	0.00158997	0.00142994	0.00242758	0.00212113	0.00247414	0.00483416	0.00680205	0.012125	0.01746	0.0137538	0.0102544	0.00762631	0.00727702	0.00888276	0.0180834	0.090654	0.271226	0.51787
a36	0.00176364	0.00124835	0.00148925	0.00142417	0.00209686	0.00137613	0.00155577	0.00385153	0.00595838	0.0113138	0.0167216	0.0130518	0.0096261	0.00642322	0.00665819	0.00785702	0.0171796	0.0799088	0.256317	0.554179
a7	0.0211741	0.0167026	0.017322	0.0151692	0.0156928	0.0105185	0.00616791	0.00778267	0.0105433	0.012996	0.0177181	0.0126305	0.00872337	0.00664386	0.00596722	0.00887172	0.0188103	0.115981	0.255202	0.415382
a36	0.0304562	0.0232457	0.0232163	0.0195323	0.0207621	0.0182198	0.0123603	0.0118228	0.0149994	0.0156446	0.0182805	0.0156653	0.0124579	0.0100773	0.00948835	0.0124213	0.0240315	0.123767	0.235604	0.347947
a2	0.0339668	0.0231946	0.0228199	0.018035	0.0212829	0.0174613	0.0122977	0.0120156	0.0151832	0.0166237	0.0207861	0.016533	0.0123898	0.00990754	0.00902336	0.0119032	0.0231004	0.107165	0.231149	0.365162
a57	0.061814	0.0413093	0.0369915	0.0349767	0.0346447	0.032544	0.0167466	0.018533	0.0221211	0.0196637	0.0238922	0.0222741	0.021094	0.0161875	0.0165668	0.021921	0.040041	0.120257	0.17226	0.226162
a87	0.105364	0.0573273	0.0301098	0.0237567	0.0242825	0.0215375	0.0161694	0.0186887	0.0271286	0.0285409	0.0354476	0.0298902	0.0271366	0.0232437	0.0222006	0.0330679	0.0644627	0.108126	0.146204	0.157316
a23	0.0673161	0.0437214	0.0189837	0.0146305	0.0228592	0.0159617	0.0156093	0.0269152	0.047675	0.0526171	0.0764951	0.039693	0.0342234	0.0326931	0.0358156	0.0641093	0.0878481	0.0806043	0.105922	0.116307
a87	0.0220908	0.0152783	0.00770114	0.00523085	0.00819213	0.00645245	0.00958079	0.0130319	0.0123263	0.0152688	0.0284999	0.0200308	0.0233395	0.0209643	0.0304819	0.0661054	0.107506	0.124096	0.213986	0.249837
a23	0.00986072	0.0063503	0.00304809	0.00222277	0.00447391	0.00282193	0.00529838	0.00738741	0.00856712	0.00838894	0.0118528	0.00913596	0.00958754	0.00727899	0.0106102	0.022837	0.0472587	0.104675	0.269877	0.448467
a87	0.00943203	0.00725383	0.00403548	0.00227953	0.00447304	0.00328587	0.00762106	0.0108982	0.0106981	0.0145393	0.0267925	0.0197217	0.0219282	0.0173776	0.026645	0.053873	0.0809707	0.110624	0.238325	0.329226
</S>	0.00635932	0.00469507	0.00295339	0.00223514	0.00509504	0.00321429	0.00728898	0.00681406	0.00569287	0.00551816	0.00832525	0.00575946	0.0066565	0.00521755	0.00852894	0.0231253	0.0512987	0.11843	0.270442	0.45235
