 	avant	de	mourir	jésus	lança	une	parole	"	tout	est	accompli	"	</S>
a92	0.000447941	0.000634146	0.000818599	0.00169466	0.00281203	0.00285424	0.00741563	0.0139546	0.027349	0.091361	0.135815	0.275747	0.439097
a56	0.00033021	0.000479564	0.000610181	0.000984429	0.00148046	0.00147298	0.00329912	0.00817725	0.0199747	0.0805184	0.133129	0.282668	0.466875
a37	0.00155371	0.00177761	0.00201556	0.00255665	0.00309446	0.0031883	0.00523689	0.00852703	0.019278	0.0718978	0.136299	0.287442	0.457133
a66	0.00167723	0.00232405	0.00337821	0.00393653	0.00422913	0.00449338	0.00714558	0.00847275	0.0136797	0.0523507	0.111715	0.286848	0.49975
a82	0.0121023	0.011322	0.0148799	0.0160969	0.0252689	0.0258091	0.037938	0.0355345	0.0487367	0.103008	0.109115	0.215691	0.344497
a87	0.0313809	0.0258226	0.0287361	0.0240345	0.0299789	0.0373077	0.0469232	0.0490279	0.070832	0.110092	0.111855	0.194027	0.239982
a97	0.0675021	0.0536068	0.0336558	0.0262821	0.0499499	0.0673767	0.0708145	0.109263	0.107274	0.110285	0.0888726	0.106575	0.108542
a87	0.0447679	0.0341136	0.0214965	0.0271903	0.058891	0.0760516	0.0919683	0.124274	0.0974308	0.0969111	0.0997807	0.109996	0.117128
a23	0.0502279	0.0402872	0.0286669	0.0422228	0.0989634	0.112935	0.106634	0.11374	0.0743995	0.0687385	0.0736925	0.0882102	0.101282
a96	0.0139449	0.0117607	0.00656452	0.00558993	0.0149332	0.0178363	0.0176053	0.0255948	0.0283032	0.0770564	0.170526	0.271918	0.338367
a88	0.0255457	0.0216805	0.011462	0.0100497	0.0350549	0.0387684	0.0360228	0.0482039	0.0548038	0.0878057	0.15284	0.21915	0.258612
a71	0.00348349	0.0030197	0.00231379	0.00293519	0.0115335	0.0130313	0.0237453	0.0435557	0.050897	0.0835549	0.12133	0.247148	0.393453
a62	0.00102106	0.000875973	0.000737205	0.00113214	0.00388653	0.00514121	0.0120697	0.0310256	0.043125	0.0852805	0.119505	0.263205	0.432995
a12	0.000928843	0.000972209	0.000904158	0.00155301	0.00274069	0.00489297	0.0112697	0.0299272	0.0453085	0.089328	0.140176	0.274617	0.397382
a96	0.000301079	0.000300451	0.000276547	0.000549581	0.000759229	0.00141543	0.00400444	0.0112481	0.0290627	0.0813077	0.136133	0.324639	0.410002
a88	0.000294179	0.0003351	0.000377387	0.000797718	0.000809161	0.0015577	0.00485426	0.012628	0.0339876	0.0885476	0.143199	0.301299	0.411314
a0	0.000507852	0.000602259	0.000705225	0.00131919	0.00122074	0.00242474	0.00675975	0.0184908	0.0443639	0.0988602	0.143249	0.283723	0.397774
a93	0.000843895	0.00100378	0.00116785	0.00176995	0.00215719	0.00373557	0.00710021	0.0176397	0.0403314	0.0973105	0.135597	0.288832	0.402511
a4	0.000202899	0.0002238	0.000248954	0.000457608	0.000716951	0.000967855	0.00225748	0.00601356	0.0162126	0.063209	0.120851	0.300523	0.488115
a13	0.000329266	0.000371649	0.000469404	0.000791578	0.00142132	0.00175043	0.00379724	0.00885626	0.0200661	0.0700718	0.109684	0.294654	0.487737
a11	0.000392086	0.000411605	0.000483792	0.000836322	0.00145788	0.00203166	0.0046068	0.00890531	0.0185684	0.0599276	0.0927768	0.296329	0.513273
a62	0.00117092	0.00113402	0.00128342	0.00211656	0.00325928	0.00471026	0.00925431	0.0147191	0.0246869	0.0615053	0.0823787	0.277814	0.515967
a88	0.000904697	0.00108486	0.00137	0.00235627	0.00242521	0.00399494	0.0089982	0.0161866	0.0317024	0.0780691	0.1055	0.279483	0.467925
a26	0.00118596	0.00135905	0.00171267	0.00339071	0.00401445	0.00606779	0.0111996	0.0152555	0.0251385	0.0641433	0.0938548	0.272776	0.499902
a57	0.0138461	0.0115049	0.0116824	0.0148747	0.0257264	0.0259501	0.0353552	0.0462821	0.0660984	0.0967611	0.0927603	0.21131	0.347848
a87	0.0296416	0.0221598	0.0196857	0.0184238	0.0253714	0.0291973	0.0363897	0.0491285	0.0662681	0.0904983	0.0978087	0.220186	0.295241
a23	0.0573702	0.0458558	0.0321716	0.025394	0.0560825	0.0749748	0.0740589	0.102284	0.0830181	0.0939581	0.0882812	0.124263	0.142288
a99	0.0197687	0.0173284	0.00963333	0.00608015	0.0161649	0.0170367	0.018839	0.0373806	0.0456777	0.103432	0.169273	0.257269	0.282117
a87	0.0155576	0.0142417	0.00885245	0.00756137	0.0203642	0.0230943	0.0252851	0.0383285	0.0435274	0.0831921	0.147625	0.258313	0.314057
</S>	0.00643041	0.00605973	0.0049077	0.00524962	0.0144135	0.0142988	0.0170337	0.0225868	0.026717	0.0644558	0.146118	0.275953	0.395776
