 	de	vous	tous	c'	est	toi	qui	va	rentrer	à	la	maison	</S>
a5	0.000917132	0.000819193	0.000880058	0.00138906	0.00181276	0.0026674	0.00503906	0.00772672	0.0124948	0.039343	0.133053	0.300675	0.493183
a12	0.00115536	0.00107309	0.00116567	0.00169761	0.00216287	0.00308778	0.00593574	0.00783542	0.0124485	0.0425393	0.127438	0.296434	0.497027
a62	0.00154921	0.00147819	0.00154693	0.00213052	0.00259213	0.00337748	0.00636829	0.00772241	0.0110024	0.0354567	0.106983	0.27605	0.543743
a96	0.00203721	0.00193662	0.00204579	0.00286418	0.00338609	0.00434217	0.007897	0.00941262	0.0133606	0.0381128	0.109211	0.273364	0.532031
a37	0.00308195	0.00277897	0.00306219	0.00489763	0.0061232	0.00835126	0.0150671	0.017656	0.0244138	0.0536697	0.12225	0.266978	0.471671
a26	0.00434788	0.00347039	0.00365219	0.00569397	0.00699172	0.00994979	0.0172007	0.0218498	0.0305552	0.0638774	0.137699	0.273767	0.420945
a9	0.0384649	0.0271489	0.0239723	0.030068	0.0325362	0.0430027	0.0600409	0.0568956	0.0544061	0.0831065	0.131598	0.184391	0.234368
a97	0.182126	0.111856	0.0738702	0.064903	0.0714427	0.071209	0.0726731	0.0546092	0.0472406	0.0518675	0.0578931	0.0683944	0.071915
a87	0.243774	0.154464	0.0912792	0.0671675	0.0779466	0.0720363	0.0632132	0.0424798	0.0358426	0.0282076	0.0321854	0.0424925	0.0489116
a23	0.210765	0.14922	0.0870469	0.0660947	0.0777484	0.0732583	0.0669522	0.0469228	0.041398	0.028521	0.0360146	0.0513486	0.0647098
a87	0.0897259	0.0610952	0.0342383	0.0382485	0.0505993	0.0583524	0.0687281	0.0590536	0.047286	0.0468234	0.0762363	0.147888	0.221725
</S>	0.0273575	0.0200215	0.0127603	0.0185449	0.0289052	0.0329617	0.0464477	0.0498179	0.0440727	0.0568399	0.0966864	0.222001	0.343583
