 	tu	ne	veux	jamais	reconnaître	tes	actes	même	si	on	te	prends	la	main	dans	le	sac	tu	n'	acceptes	pas	</S>
a56	0.00187306	0.00180495	0.00309245	0.0069591	0.0184962	0.0194966	0.0171716	0.0144111	0.0240832	0.0288573	0.0258464	0.0314631	0.0263322	0.0142913	0.0159724	0.0186409	0.0201389	0.0299533	0.0503582	0.0934215	0.217689	0.319647
a36	0.000641185	0.000644314	0.00100822	0.00165786	0.00768945	0.00787785	0.00467059	0.00707704	0.0132602	0.0179048	0.017086	0.0230613	0.0230083	0.0151565	0.019921	0.0242848	0.0278671	0.0410132	0.0640816	0.11883	0.232444	0.330815
a26	0.00147621	0.00142381	0.00214635	0.00428331	0.0113669	0.0119513	0.0101777	0.00973185	0.0177789	0.0208295	0.0190876	0.0231576	0.019553	0.0105246	0.0127452	0.015263	0.0162987	0.0255799	0.0445553	0.0860653	0.233882	0.402122
a82	0.0133446	0.0116094	0.0165697	0.023704	0.030617	0.031631	0.0290545	0.0236053	0.035482	0.0421745	0.0468968	0.0474812	0.033089	0.0198131	0.019507	0.0199765	0.0228846	0.0333325	0.0507622	0.0916391	0.152302	0.204524
a97	0.0211702	0.0166156	0.0185056	0.0203821	0.025066	0.0282896	0.024468	0.0289511	0.0448415	0.0567061	0.0666751	0.0634513	0.0441376	0.0303799	0.0297009	0.0304392	0.0349267	0.0459278	0.0594324	0.0842793	0.107267	0.118386
a99	0.015721	0.010246	0.00985552	0.0125803	0.0267356	0.0313174	0.0235702	0.0390163	0.0519755	0.0682917	0.0833256	0.0690199	0.0455408	0.0354812	0.0330688	0.034608	0.0394863	0.0468246	0.0538439	0.0764666	0.0927585	0.100266
a97	0.0152514	0.00933094	0.0067939	0.00732156	0.0136565	0.0172105	0.0137403	0.0292494	0.0303213	0.0408129	0.0474924	0.0414756	0.0317374	0.028373	0.0274335	0.0328661	0.0432552	0.0537418	0.0712463	0.111399	0.153156	0.174135
a83	0.0217998	0.0135028	0.00969976	0.0120794	0.0211762	0.0273742	0.0233113	0.0450498	0.0463422	0.0597622	0.0627674	0.0510143	0.0398118	0.0368202	0.0338822	0.0374265	0.0425629	0.0469341	0.0544508	0.0798739	0.108004	0.126354
a44	0.00946857	0.00653584	0.00557637	0.00609188	0.0112139	0.0110852	0.0106637	0.0135822	0.0154072	0.0215924	0.0320886	0.0285598	0.021173	0.0184441	0.0190305	0.0254453	0.0373065	0.0589265	0.0979694	0.150513	0.195591	0.203735
a34	0.0018478	0.00150156	0.00183461	0.00258242	0.0111939	0.00851976	0.006717	0.00798404	0.0132516	0.0176737	0.0263019	0.0292057	0.0216371	0.0145856	0.0172096	0.0234087	0.0322156	0.0559785	0.0925277	0.13882	0.209167	0.265836
a44	0.00117344	0.00104848	0.00159917	0.00229864	0.0101407	0.00785107	0.00594849	0.00901989	0.0144098	0.0216258	0.0297442	0.0291273	0.0216419	0.014122	0.0165605	0.021788	0.0303905	0.0507748	0.0836735	0.136317	0.209992	0.280753
a34	0.000842114	0.000769509	0.00121888	0.00189193	0.00857084	0.00674312	0.00484003	0.00718114	0.0130754	0.0211728	0.0305797	0.0324157	0.0225055	0.0129978	0.0155581	0.020257	0.0273422	0.0464205	0.078251	0.123324	0.20853	0.315513
a5	0.000523655	0.000513519	0.00083671	0.00140334	0.00748173	0.00601261	0.00367146	0.00595387	0.00914887	0.0152736	0.0215954	0.0256536	0.0198475	0.0123453	0.0149669	0.0196773	0.027886	0.0472161	0.0801001	0.131896	0.221115	0.326882
a36	0.000482373	0.000480771	0.000761663	0.00123676	0.00439154	0.00388149	0.00242064	0.00419865	0.00671413	0.0116383	0.0153297	0.0207942	0.018549	0.0124094	0.015284	0.0188397	0.0261091	0.0419497	0.0706687	0.128089	0.234173	0.361599
a18	0.00111503	0.0010379	0.00141198	0.00234903	0.00566165	0.00513426	0.00427404	0.00529342	0.00981103	0.0161058	0.0224607	0.0270441	0.0189623	0.0099612	0.0116984	0.0145234	0.0175731	0.0294125	0.0537122	0.0915535	0.216064	0.434841
a36	0.00276081	0.00250408	0.00318301	0.0047242	0.00740317	0.00687779	0.00539544	0.00614344	0.00964866	0.0151157	0.0199337	0.0229456	0.0176077	0.0110141	0.0137495	0.0176148	0.0240942	0.0391305	0.0645676	0.109464	0.222416	0.373707
a2	0.00890988	0.00750365	0.00843798	0.0102271	0.0110408	0.0118937	0.00943544	0.0103972	0.0121337	0.0161575	0.0187305	0.0202258	0.0161125	0.0119562	0.0148837	0.0196861	0.0275058	0.0451045	0.0678611	0.115876	0.214658	0.321263
a57	0.0228806	0.0151746	0.0157466	0.0147689	0.0122357	0.0130159	0.011635	0.0139725	0.0180681	0.0261771	0.0333579	0.032142	0.0254878	0.0185588	0.0219235	0.027062	0.0350962	0.050852	0.0684322	0.106359	0.176545	0.240509
a87	0.0309389	0.0193428	0.0163295	0.0167315	0.0213366	0.0290411	0.0236822	0.0356374	0.0489741	0.0657272	0.0660805	0.0524447	0.0402166	0.03405	0.0328555	0.0349799	0.0385262	0.0447202	0.0492717	0.0710778	0.102078	0.125957
a23	0.0187699	0.0134423	0.0122003	0.0157053	0.0357904	0.0500075	0.0414199	0.0593554	0.0721002	0.0886639	0.0846336	0.058616	0.0430214	0.0386957	0.0324172	0.0317071	0.0317633	0.0328326	0.0347407	0.050021	0.0691023	0.0849939
a99	0.00830949	0.00555525	0.00388265	0.00344979	0.00368712	0.00473777	0.00467561	0.00664337	0.00506441	0.0083429	0.00991103	0.00997966	0.0106274	0.0116382	0.0128142	0.0175772	0.0291651	0.0436299	0.0716041	0.140878	0.248633	0.339194
a97	0.0150358	0.0108179	0.00909279	0.00928645	0.00886826	0.0111132	0.0115028	0.0120668	0.00844529	0.0131362	0.0170161	0.0198342	0.0205922	0.0205386	0.0206779	0.0251058	0.0343589	0.0452931	0.0668048	0.123349	0.211532	0.285532
</S>	0.00762561	0.00625435	0.00488408	0.00599765	0.0102216	0.0113875	0.00931807	0.0103788	0.00856001	0.0111172	0.00999373	0.010123	0.0107356	0.0107233	0.0115887	0.0151506	0.0210196	0.029052	0.0468063	0.102306	0.227453	0.419304
