 	l'	argent	que	je	garde	chez	lui	a	augmenté	car	notre	père	m'	en	a	ajouté	</S>
a37	0.000348163	0.000259165	0.000337111	0.000542383	0.00159795	0.00342958	0.00642474	0.0101576	0.00957576	0.0102036	0.0123288	0.0141875	0.0287124	0.0840787	0.138185	0.294632	0.385
a0	0.000347555	0.000266388	0.000349515	0.000582987	0.00167025	0.00319422	0.00572904	0.00906045	0.00885614	0.00946703	0.0109816	0.0128111	0.0260044	0.078211	0.132876	0.307613	0.391979
a75	0.000674033	0.000545172	0.000770606	0.00136899	0.00329393	0.00463134	0.00729526	0.0108869	0.0113531	0.0119977	0.0130878	0.015494	0.0304372	0.0792298	0.123631	0.290092	0.395211
a12	0.000109741	9.23073e-05	0.00012013	0.000262	0.000887136	0.00192238	0.00334819	0.00511649	0.0049974	0.00495563	0.00725946	0.00847963	0.0185411	0.0624386	0.119431	0.296351	0.465688
a61	0.000212187	0.000213134	0.000303314	0.000610677	0.00153675	0.00274254	0.00469152	0.00694817	0.00707312	0.00789472	0.0101908	0.011979	0.0229284	0.0682581	0.123423	0.306185	0.424809
a75	0.000159494	0.000171241	0.000241216	0.00049897	0.00130643	0.00259543	0.00477534	0.0072571	0.00758334	0.00859925	0.0108189	0.0118588	0.0203662	0.056784	0.112846	0.307052	0.447086
a6	5.23937e-05	5.61951e-05	8.77714e-05	0.000237108	0.00086873	0.00173205	0.00292071	0.00425279	0.00410898	0.00352344	0.00472574	0.00484411	0.0102968	0.0388348	0.0898816	0.280926	0.55265
a43	4.33146e-05	5.54427e-05	0.000106623	0.00034121	0.00156531	0.00435419	0.00789853	0.0117516	0.011363	0.00883732	0.0109712	0.0101631	0.016228	0.0414765	0.0812782	0.25225	0.541316
a61	0.000175934	0.000162233	0.000229057	0.000448794	0.00126034	0.00266065	0.00454569	0.00647573	0.00647918	0.00587398	0.00704611	0.00715472	0.0123517	0.0389968	0.0841585	0.286821	0.535159
a75	0.00024444	0.00024628	0.000338379	0.000647555	0.00168223	0.00317584	0.00544138	0.00803705	0.00841221	0.0069755	0.00824701	0.00766986	0.0121524	0.0356859	0.0717026	0.277435	0.551907
a5	7.05464e-05	7.26557e-05	0.000105669	0.000230582	0.000759353	0.00157121	0.00274298	0.00404551	0.00408084	0.0034323	0.00445236	0.00447743	0.00895089	0.0323017	0.0709813	0.286224	0.575501
a36	0.000142425	0.000140275	0.000189455	0.000364533	0.000960304	0.00173912	0.00277984	0.00399474	0.00412786	0.00337496	0.00426184	0.00413418	0.007934	0.0289727	0.0653179	0.277348	0.594218
a27	0.00146704	0.0011672	0.00139617	0.0021247	0.00571859	0.00928534	0.0137218	0.0189126	0.0172253	0.0106142	0.0105957	0.00829444	0.0101241	0.0292701	0.0649338	0.27082	0.524328
a30	0.0366632	0.0270121	0.0239925	0.0234356	0.0280226	0.0426543	0.055498	0.0625604	0.0587507	0.0284575	0.0253515	0.0196451	0.0197734	0.0449347	0.0705694	0.164623	0.268057
a87	0.142261	0.0684436	0.0490193	0.0342682	0.0285114	0.0294774	0.0349146	0.0426725	0.0444674	0.0351026	0.0354296	0.0436543	0.0551023	0.0662605	0.072681	0.0904288	0.127306
a23	0.101236	0.0432957	0.0262739	0.0186152	0.0198349	0.0266785	0.0355059	0.0548536	0.0542235	0.0535488	0.0638761	0.094024	0.115816	0.090519	0.0726217	0.0552	0.0738777
a87	0.0520197	0.0219787	0.0130344	0.00743265	0.0080818	0.011171	0.0149605	0.0242473	0.02981	0.0300944	0.0330034	0.044004	0.061051	0.0839923	0.125927	0.176627	0.262565
</S>	0.0153964	0.00733633	0.00550442	0.0057756	0.00989573	0.0119745	0.0134115	0.0183849	0.0198042	0.0166699	0.0167305	0.0177787	0.023013	0.0373109	0.0765184	0.204797	0.499698
