 	ongondo	est	allée	consulter	un	guérisseur	pour	ses	maux	de	tête	</S>
a98	0.0112752	0.0240344	0.0459865	0.0703498	0.115887	0.113725	0.1053	0.090924	0.0782289	0.0808751	0.101466	0.161947
a6	0.0101297	0.0214625	0.0524143	0.0846411	0.109725	0.103788	0.101063	0.10102	0.0809045	0.0834253	0.0992131	0.152212
a37	0.008679	0.0210761	0.0499932	0.072975	0.105925	0.0992357	0.0961885	0.0961521	0.0790942	0.0896466	0.110587	0.170447
a54	0.0063207	0.0163507	0.0360967	0.0468007	0.0844206	0.0831681	0.0838541	0.0803774	0.0680714	0.0915085	0.139262	0.263769
a37	0.00842321	0.0189539	0.0425672	0.0533833	0.0839493	0.0842884	0.0863276	0.0921842	0.0801175	0.10024	0.134755	0.214811
a96	0.00657287	0.0147434	0.0298977	0.0312771	0.0517555	0.0523821	0.056613	0.0664086	0.0639648	0.109429	0.176897	0.340059
a88	0.00436347	0.00853799	0.0142054	0.0171797	0.0359034	0.0389728	0.0455931	0.0490921	0.0529554	0.107883	0.198246	0.427067
a71	0.00226916	0.0044708	0.0070792	0.0094728	0.0232147	0.0274988	0.0354802	0.0406381	0.0511434	0.114041	0.220935	0.463756
a4	0.00119777	0.00220866	0.0026724	0.00252643	0.00871282	0.0136453	0.0222121	0.0317996	0.0515833	0.144122	0.267219	0.452101
a13	0.00119401	0.00236625	0.00290589	0.00320759	0.00989999	0.0133025	0.0185099	0.0261283	0.0405639	0.126332	0.261298	0.494292
a38	0.000953217	0.00193763	0.00203966	0.00187171	0.0069679	0.0115066	0.0203323	0.0321325	0.0558816	0.16145	0.273137	0.43179
a90	0.00112072	0.0024343	0.00235001	0.00209267	0.00747757	0.0121273	0.0202477	0.032651	0.0555572	0.159807	0.270077	0.434058
a25	0.000870594	0.00175413	0.00257434	0.00371467	0.0111159	0.0153414	0.0232138	0.0320753	0.0450613	0.119478	0.244404	0.500397
a56	0.000671362	0.00142854	0.00309003	0.00474739	0.0123517	0.0149064	0.0206309	0.0287218	0.0366991	0.111898	0.23675	0.528105
a88	0.000741794	0.00151742	0.00232467	0.00299092	0.0088362	0.0112622	0.0165959	0.0227937	0.0344291	0.107081	0.242504	0.548923
a61	0.0010974	0.00217149	0.00263976	0.00246882	0.00700703	0.00924087	0.0137587	0.019963	0.0302146	0.0982286	0.233846	0.579363
a75	0.000865135	0.0019328	0.00220857	0.00225812	0.00721867	0.00994907	0.0152426	0.023053	0.0373983	0.113482	0.242335	0.544056
a15	0.00090987	0.00222703	0.00385314	0.00668799	0.0161938	0.0186207	0.0252424	0.0327163	0.0452608	0.123237	0.233883	0.491168
a7	0.000432638	0.00147634	0.00352271	0.00720936	0.0184205	0.0189361	0.0236048	0.0283387	0.0359725	0.10493	0.225615	0.531542
a58	0.00106744	0.00189876	0.00233249	0.00213055	0.00792344	0.0100879	0.0140084	0.0211714	0.0359661	0.118364	0.26598	0.51907
a84	0.00934081	0.0115366	0.00946208	0.00679398	0.0241056	0.0326192	0.049157	0.0633818	0.0870029	0.159388	0.224977	0.322235
a57	0.0479164	0.040549	0.0351421	0.0260831	0.0613435	0.066558	0.0854727	0.0916705	0.0926508	0.121781	0.142198	0.188635
a87	0.0647029	0.0386161	0.0300827	0.0258734	0.0496959	0.0539219	0.072968	0.069796	0.075328	0.114304	0.173453	0.231259
a97	0.0698361	0.0409918	0.0304183	0.0269571	0.047204	0.0553981	0.084233	0.0850055	0.086355	0.117099	0.167361	0.189141
a30	0.0569032	0.0458476	0.0417454	0.0482716	0.0715964	0.0835939	0.113134	0.106436	0.0937103	0.0982337	0.115318	0.125211
</S>	0.0658429	0.0513512	0.0420179	0.0443144	0.0664782	0.0725426	0.097922	0.0931417	0.0831157	0.0978638	0.128331	0.157079
