 	la	manière	dont	il	est	rentré	montre	qu'	il	m'	avait	pas	envie	de	travailler	</S>
a62	0.00269859	0.00245516	0.00361845	0.00763999	0.013502	0.0242785	0.0332516	0.0722924	0.0892193	0.113559	0.113295	0.0946594	0.0828909	0.0755923	0.100009	0.171038
a21	0.00292327	0.00294981	0.00436383	0.0111266	0.019843	0.0325634	0.0472694	0.106072	0.105524	0.112685	0.103529	0.0903065	0.077715	0.0643224	0.0836429	0.135164
a12	0.00245147	0.00242821	0.00364418	0.00881684	0.0160947	0.0274674	0.0416866	0.095944	0.0948585	0.104997	0.10215	0.0931783	0.0847023	0.0713776	0.0931046	0.157098
a18	0.00396996	0.00389205	0.00542543	0.011739	0.0193992	0.0288505	0.0410807	0.0942134	0.0964839	0.106834	0.10508	0.097168	0.0906897	0.0809153	0.0927917	0.121468
a21	0.00139767	0.00119348	0.00157399	0.00474502	0.0109886	0.0239705	0.0324502	0.0729708	0.0857973	0.112426	0.116448	0.107225	0.105468	0.0811947	0.0929099	0.149241
a92	0.0104615	0.00826556	0.00878559	0.0143459	0.0203198	0.0214636	0.0283711	0.0519408	0.0581594	0.0715443	0.0791203	0.0846966	0.100883	0.114785	0.141763	0.185095
a56	0.00497701	0.00412587	0.00483429	0.00947484	0.0148164	0.0170267	0.0238358	0.0426888	0.0455784	0.0570505	0.0673262	0.080044	0.107545	0.120507	0.165213	0.234956
a92	0.0012462	0.0011337	0.00158938	0.00370388	0.0065443	0.0103823	0.0155297	0.0339209	0.0397324	0.0528536	0.068243	0.0833583	0.135857	0.141793	0.173196	0.230916
a12	0.00188061	0.0019638	0.0028269	0.0046603	0.00729483	0.0103974	0.0182272	0.0396396	0.0466039	0.0632203	0.082564	0.0947859	0.120045	0.114961	0.14971	0.241219
a18	0.00108772	0.000974255	0.00138292	0.00316743	0.00557638	0.00927437	0.0140534	0.0323015	0.0383533	0.049459	0.0624157	0.0736622	0.131916	0.154819	0.186702	0.234855
a93	0.000435774	0.00034693	0.000437033	0.00103344	0.00227912	0.00493641	0.00794806	0.0180563	0.0223627	0.0317591	0.041289	0.0464729	0.0941902	0.133881	0.217393	0.377179
a94	0.000350971	0.000322954	0.00046629	0.00121695	0.00247729	0.00478016	0.00721538	0.0179299	0.0225422	0.0313811	0.0425937	0.054973	0.123158	0.157607	0.218652	0.314333
a43	0.000212717	0.000175991	0.000232911	0.000594972	0.00131336	0.00294815	0.00465334	0.0109461	0.0134458	0.0202018	0.0288712	0.0386591	0.093227	0.141215	0.229679	0.413624
a56	0.000476424	0.000274808	0.000257426	0.000674808	0.00134582	0.0032654	0.00509041	0.0106359	0.0133944	0.0191596	0.0254493	0.0306155	0.0694266	0.106454	0.213918	0.499561
a43	0.00025186	0.00016534	0.000170096	0.000482043	0.000973251	0.00197748	0.00287136	0.00607966	0.00757149	0.0114964	0.0167805	0.0269621	0.0720618	0.115931	0.23004	0.506186
a75	0.000194384	0.000126198	0.000130285	0.000362707	0.000730437	0.00178605	0.00286783	0.00608876	0.00724325	0.0105525	0.014534	0.0187636	0.048169	0.0923383	0.225932	0.570181
a47	0.000127872	9.75158e-05	0.000126803	0.000289917	0.000497481	0.000995902	0.00176599	0.00469355	0.00606059	0.00887681	0.0132151	0.0178283	0.049294	0.103674	0.246958	0.545498
a98	0.000440687	0.000294061	0.000355845	0.000666365	0.000989131	0.0017561	0.00254478	0.00608191	0.00922943	0.0125722	0.0174277	0.0218346	0.052983	0.117967	0.249831	0.505026
a47	0.000350997	0.000259438	0.000311304	0.000602346	0.000894667	0.00143051	0.00223052	0.00582107	0.00936756	0.0121812	0.0160777	0.0179524	0.0402067	0.0977592	0.241966	0.552589
a36	0.00118476	0.00082458	0.000865799	0.00154932	0.0021563	0.00313277	0.00417384	0.0103056	0.0181681	0.0225339	0.0289582	0.0318795	0.0624832	0.120129	0.241112	0.450542
a7	0.000996201	0.000634388	0.000535317	0.000825683	0.00116518	0.00181331	0.00219544	0.00411036	0.00690335	0.00908177	0.0115924	0.014836	0.0394113	0.084771	0.236357	0.584772
a36	0.00158587	0.00105894	0.000852007	0.00146638	0.00183564	0.00282336	0.00349148	0.00737036	0.013512	0.0169487	0.0222492	0.0298458	0.0711444	0.116783	0.255392	0.453641
a2	0.00195785	0.00135407	0.00109709	0.00167673	0.00193049	0.00291125	0.003389	0.00653135	0.0123019	0.0155671	0.0209767	0.0263581	0.0645137	0.106152	0.252359	0.480923
a57	0.0192082	0.00987974	0.00680348	0.0100967	0.0108848	0.0127503	0.0141548	0.0296219	0.0503685	0.0553948	0.062055	0.0678173	0.118297	0.134111	0.174074	0.224482
a87	0.0468398	0.0198098	0.0107302	0.0106158	0.011563	0.0138887	0.0141001	0.0250367	0.0480068	0.0580188	0.0698035	0.110772	0.14779	0.139868	0.130404	0.142753
a23	0.051828	0.0273794	0.0137014	0.0157867	0.0182533	0.0248352	0.0199227	0.0445249	0.0898248	0.10352	0.11046	0.139818	0.117566	0.0888756	0.07001	0.0636942
a87	0.0143713	0.00623974	0.0028966	0.00379772	0.0051025	0.00967701	0.0088391	0.0233105	0.0512637	0.0637468	0.0836917	0.120223	0.123537	0.136187	0.1461	0.201017
</S>	0.00284721	0.00153078	0.00110283	0.00237886	0.00396585	0.00911627	0.00914764	0.0219677	0.0356593	0.0385579	0.0479318	0.0742444	0.10859	0.158964	0.215811	0.268185
