 	il	a	allumé	son	briquet	pour	mettre	feu	à	la	brousse	</S>
a90	0.00030359	0.000540052	0.0018241	0.00652668	0.0155451	0.0274564	0.0348005	0.0351262	0.052089	0.0864836	0.241961	0.497344
a35	0.000363242	0.000696277	0.00244643	0.0116449	0.0267112	0.0400605	0.0445022	0.0386286	0.0528679	0.0806408	0.218417	0.483021
a54	0.000328785	0.000651091	0.00236699	0.0109655	0.0279551	0.0443198	0.0518464	0.0457497	0.0595217	0.0831664	0.210993	0.462136
a14	0.000447088	0.000949841	0.00337866	0.0157123	0.0392384	0.0459856	0.0526834	0.0480916	0.0655177	0.089566	0.209224	0.429206
a54	0.00178146	0.00341349	0.00924126	0.030403	0.0622925	0.0698672	0.0746453	0.061791	0.0723302	0.0894258	0.175034	0.349775
a14	0.00054046	0.0010899	0.00335759	0.0154875	0.0345524	0.0423543	0.0496531	0.0454572	0.0653742	0.0895403	0.209928	0.442665
a44	0.00273987	0.00459923	0.0108758	0.0339643	0.0685359	0.0684684	0.0708318	0.0598276	0.0736147	0.0904195	0.173163	0.34296
a57	0.000374932	0.000783247	0.0025583	0.0115605	0.0360744	0.0382286	0.0391461	0.0370733	0.055044	0.0781502	0.215202	0.485804
a53	0.000178152	0.00031262	0.00119486	0.00649213	0.0185794	0.0251613	0.0291044	0.0271953	0.0470344	0.0758054	0.247608	0.521334
a69	0.000211157	0.000401177	0.00148648	0.00897594	0.0307476	0.0370043	0.0394382	0.0363481	0.0536095	0.0787454	0.221886	0.491146
a58	0.000285269	0.000581702	0.00217494	0.0107937	0.0334245	0.0359919	0.039151	0.0372433	0.0532755	0.0752097	0.225674	0.486194
a84	0.000727613	0.00135672	0.00394237	0.0134875	0.0365152	0.0414077	0.0441531	0.041105	0.058445	0.0814787	0.223989	0.453393
a87	0.00207369	0.00241287	0.00415481	0.00847112	0.0222368	0.0241039	0.0199152	0.0199037	0.0410602	0.0778123	0.268348	0.509508
</S>	0.0117425	0.0088973	0.0107029	0.014779	0.0346823	0.0337154	0.0312766	0.0338237	0.0782621	0.123024	0.250307	0.368787
