 	j'	avais	traversé	le	fleuve	en	pirogue	aujourd'	hui	je	vais	traverser	à	la	nage	</S>
a85	0.0035999	0.00491904	0.00902657	0.0194561	0.0434063	0.0799389	0.104207	0.0936244	0.0970072	0.0820776	0.0638403	0.0447235	0.050288	0.0442902	0.0973811	0.162214
a6	0.00270616	0.00369277	0.00644606	0.0120561	0.0224548	0.0486709	0.0917205	0.106129	0.116073	0.0898133	0.0649113	0.0437862	0.0475681	0.039908	0.112357	0.191707
a36	0.00316271	0.00415037	0.00670577	0.0137944	0.029019	0.0560082	0.0860385	0.0956722	0.107144	0.0827348	0.0617372	0.0457455	0.0544613	0.0502439	0.132134	0.171249
a27	0.0122015	0.0114165	0.0158582	0.0283481	0.0466601	0.079893	0.0971468	0.0998273	0.110564	0.0777167	0.0518977	0.031105	0.0304191	0.0282046	0.134842	0.1439
a57	0.0310919	0.0248145	0.0330667	0.0527286	0.0706661	0.108298	0.114552	0.105285	0.105866	0.0657127	0.0402113	0.0246243	0.0211453	0.0158387	0.0849536	0.101146
a87	0.0476994	0.0246324	0.0312286	0.0352685	0.0402078	0.0583393	0.0696833	0.0764078	0.0731277	0.0639413	0.0425717	0.0339015	0.0351188	0.0370586	0.149246	0.181567
a23	0.0570386	0.0296581	0.0425574	0.0291217	0.023555	0.0296649	0.0418859	0.0535116	0.0560404	0.0621752	0.0479858	0.043732	0.0533509	0.0811792	0.167875	0.180668
a9	0.00981611	0.00604498	0.0110535	0.00984574	0.0117262	0.021617	0.039311	0.0477563	0.0576251	0.0799697	0.0640264	0.0617836	0.0675331	0.102168	0.200114	0.209609
a75	0.00297725	0.00275515	0.00739501	0.0103697	0.0157665	0.0326184	0.0519896	0.078694	0.0794447	0.0816958	0.0620861	0.0437738	0.0536503	0.0973991	0.192924	0.186461
a47	0.002267	0.00217551	0.00566715	0.00905594	0.0150562	0.0309477	0.0467214	0.0703928	0.066414	0.0608056	0.0493939	0.0396057	0.0532469	0.108223	0.202412	0.237615
a36	0.000567542	0.000813481	0.00244603	0.00466394	0.00839503	0.0202562	0.0303449	0.0443497	0.0424421	0.0350617	0.0268613	0.0205296	0.0297902	0.0792266	0.308992	0.34526
a15	0.00149289	0.00106705	0.00185175	0.00302314	0.00628302	0.0149452	0.0253219	0.0373954	0.0372603	0.0374775	0.0313254	0.0250222	0.0336705	0.0841303	0.29258	0.367154
a25	0.00135204	0.00139445	0.00247136	0.00442719	0.00885968	0.0202479	0.0317268	0.0445716	0.0464506	0.0380883	0.0297026	0.0246958	0.0326118	0.0684088	0.347713	0.297278
a79	0.00066484	0.000668728	0.00106754	0.00218573	0.00545472	0.0152743	0.02771	0.0407643	0.0440906	0.0333241	0.0250867	0.0189754	0.0269302	0.0594542	0.330136	0.368213
a85	0.000860289	0.00104086	0.00181654	0.00358652	0.00754306	0.0182439	0.0289907	0.0396162	0.0404831	0.0314882	0.0257412	0.0216192	0.0289649	0.0594302	0.311039	0.379536
a5	0.000491635	0.000665633	0.00167126	0.00337857	0.00646595	0.016174	0.0270969	0.0355815	0.037635	0.0298738	0.0251209	0.0200319	0.0258953	0.0468988	0.300056	0.422963
a18	0.00069185	0.000856162	0.00153784	0.00314226	0.00743297	0.0212494	0.0435703	0.0645265	0.0734117	0.0629015	0.0544351	0.0462164	0.0607324	0.0965309	0.190022	0.272743
a47	0.00155638	0.00160785	0.00222975	0.00487001	0.0103113	0.0267198	0.050314	0.0684385	0.0794469	0.0658823	0.0449805	0.0311168	0.0341546	0.053825	0.183867	0.340679
a21	0.00187899	0.00213404	0.00336625	0.00759904	0.0149378	0.0357698	0.0607313	0.0741	0.0785637	0.0685867	0.0450103	0.0309146	0.0336428	0.0522957	0.167609	0.32286
a5	0.00101304	0.00115406	0.00195881	0.00374812	0.00702776	0.0180946	0.0352877	0.0495982	0.0532808	0.0516272	0.0396461	0.0327233	0.0408887	0.0658127	0.205539	0.3926
a61	0.00158734	0.00177957	0.0029439	0.00600395	0.0107183	0.0251683	0.0407742	0.0517827	0.0522449	0.0388804	0.026507	0.018345	0.023151	0.039349	0.18291	0.477854
a88	0.00230719	0.00251888	0.00382036	0.00710105	0.0112924	0.0237999	0.0365223	0.0443395	0.0450846	0.033731	0.0238786	0.0173625	0.020906	0.0332185	0.183865	0.510252
a0	0.00190832	0.00191352	0.00289244	0.00555304	0.00852653	0.0175543	0.0267798	0.0323637	0.0321643	0.0237483	0.0158941	0.0103892	0.0122123	0.0209605	0.148038	0.639101
a75	0.00455822	0.00387838	0.00543359	0.0101662	0.0149418	0.0267119	0.0341804	0.0389462	0.0380927	0.0273324	0.018136	0.0107394	0.0111971	0.0234237	0.184804	0.547458
a85	0.001678	0.00182583	0.00308593	0.00592301	0.0094803	0.0195338	0.0288673	0.0364118	0.0386486	0.0296478	0.0223456	0.0149099	0.0188216	0.0311565	0.186133	0.551531
a47	0.000989463	0.00101715	0.00179477	0.00433917	0.00825755	0.0193737	0.0293485	0.0393666	0.0475184	0.0329298	0.0244848	0.0161718	0.022111	0.0338973	0.169061	0.549339
a36	0.00548273	0.00485624	0.00678011	0.0144651	0.0223825	0.0370646	0.040981	0.0485814	0.0509999	0.0363201	0.0233393	0.0124996	0.016298	0.0339786	0.148766	0.497205
a2	0.0218258	0.0171393	0.0239441	0.0349126	0.0391503	0.0554439	0.0566588	0.0615743	0.0592535	0.0436974	0.0277771	0.0157761	0.0198922	0.0424045	0.160493	0.320057
a57	0.0481142	0.0348859	0.040622	0.0467497	0.0566594	0.0724751	0.0774946	0.0838653	0.0746399	0.0578204	0.0400997	0.0279018	0.0358616	0.0553006	0.104078	0.143431
a87	0.129823	0.0518607	0.0458823	0.0388592	0.0434272	0.052337	0.0537424	0.0601839	0.0594932	0.0527661	0.0400764	0.0331096	0.0450692	0.0564658	0.102782	0.134122
a23	0.113764	0.0487135	0.0504579	0.0426265	0.0432009	0.0486301	0.0526698	0.0566532	0.0636208	0.0670614	0.0545241	0.0555691	0.0684629	0.0675287	0.0689826	0.0975342
a87	0.0362571	0.0159947	0.0162136	0.0184507	0.024567	0.032506	0.0357219	0.0532879	0.0745129	0.0712029	0.0591096	0.0643551	0.0769113	0.075788	0.109668	0.235453
</S>	0.0103099	0.00452685	0.00532529	0.00686341	0.00938583	0.0170344	0.0202351	0.0272593	0.0308993	0.0243921	0.0198789	0.0171379	0.020375	0.0360245	0.188878	0.561475
