 	il	avait	si	peur	d'	être	en	retard	qu'	il	arriva	en	avance	</S>
a44	0.00261516	0.00162004	0.00231935	0.00396132	0.00802608	0.0106851	0.0153179	0.0164614	0.0205824	0.0297991	0.0449943	0.0943769	0.178212	0.571029
a57	0.00232387	0.00134194	0.00167928	0.00225146	0.00370909	0.00492841	0.00707012	0.00718732	0.0122625	0.0198678	0.0341908	0.0914435	0.189697	0.622047
a54	0.000605588	0.000275553	0.000323844	0.000487999	0.0010294	0.00172926	0.00321008	0.00285667	0.00795267	0.0148746	0.0271099	0.113239	0.220517	0.605788
a73	0.00362596	0.00294156	0.00374641	0.00522634	0.00886059	0.0114315	0.0162282	0.0195149	0.036876	0.0604669	0.0885995	0.161305	0.200689	0.380489
a69	0.00164644	0.00128267	0.00217901	0.00387308	0.00757154	0.0101182	0.0144904	0.0146041	0.0301463	0.0526867	0.0865178	0.151368	0.204463	0.419053
a53	0.00138554	0.00135548	0.00237165	0.00392224	0.0080325	0.0110987	0.0153909	0.0153906	0.0384647	0.063097	0.0937956	0.165554	0.215144	0.364997
a90	0.00104011	0.000858435	0.0014893	0.00238136	0.00505223	0.00697333	0.00974474	0.00929721	0.0220532	0.0413083	0.0696631	0.143719	0.219063	0.467357
a93	0.00218382	0.00186588	0.00311903	0.00433957	0.00729127	0.00927405	0.0122056	0.0121044	0.0273016	0.0441875	0.0674248	0.137778	0.217823	0.453102
a96	0.00138833	0.0011079	0.00154555	0.00191474	0.00316825	0.00442396	0.00614499	0.00498873	0.0137349	0.0261715	0.0467485	0.120844	0.205526	0.562292
a75	0.000835511	0.000647974	0.0010208	0.00130957	0.00229187	0.00331402	0.00480523	0.00417043	0.0117214	0.024013	0.0446651	0.117807	0.202716	0.580682
a73	0.00190054	0.00180196	0.00275	0.00366723	0.00641549	0.00837373	0.010898	0.0120376	0.0226197	0.0413948	0.0665107	0.142734	0.217611	0.461285
a69	0.000925385	0.000808746	0.00147388	0.00233902	0.00449631	0.00601391	0.00849347	0.00778167	0.0154602	0.0287155	0.0521002	0.135344	0.212222	0.523826
a58	0.00102256	0.000938845	0.00151972	0.00219356	0.00429444	0.00585422	0.00810006	0.00778115	0.019156	0.0365924	0.0600872	0.179828	0.240549	0.432082
a57	0.000593116	0.000433944	0.000539711	0.000713178	0.00152355	0.00236022	0.00368399	0.00282139	0.00793859	0.0162958	0.0288584	0.147046	0.227655	0.559536
a53	0.00106292	0.000644299	0.000559855	0.000644598	0.00115761	0.00159171	0.00220208	0.00171316	0.00432233	0.00945263	0.0198828	0.149607	0.253069	0.554091
a90	0.00080343	0.000529392	0.000647276	0.000800881	0.00157573	0.00221559	0.00305043	0.00321285	0.00782631	0.0175459	0.0333815	0.12968	0.227739	0.570992
a32	0.00112483	0.00100775	0.00148242	0.00174031	0.00290382	0.00376569	0.00464762	0.00440541	0.00866422	0.0165285	0.0299846	0.101412	0.191308	0.631024
a90	0.000871011	0.000581481	0.000670419	0.000760143	0.00124311	0.00159819	0.00213252	0.00193315	0.00357042	0.00818786	0.0197817	0.113972	0.238795	0.605903
a13	0.000877586	0.000707388	0.000858697	0.00103383	0.00197055	0.00259826	0.00342649	0.00318597	0.00656432	0.014044	0.0286473	0.118965	0.214832	0.602288
a11	0.00117529	0.00075254	0.000810205	0.000940177	0.00163772	0.00202111	0.00275054	0.00277088	0.00487653	0.0107931	0.0240145	0.117759	0.234101	0.595598
a88	0.00138126	0.000754003	0.000743398	0.000801706	0.00136153	0.0017198	0.00230836	0.00225713	0.00357846	0.00793022	0.019407	0.12405	0.258708	0.574999
a9	0.00175997	0.000975737	0.000946018	0.000997397	0.0016423	0.00211417	0.00269662	0.0028098	0.00409267	0.00811936	0.0184394	0.123347	0.259921	0.572139
a10	0.00272547	0.00164822	0.00157932	0.00185382	0.00329012	0.00380532	0.00436598	0.00359049	0.00518885	0.0101542	0.0228178	0.162219	0.275108	0.501653
a40	0.00569769	0.00354128	0.00288863	0.0035106	0.00642626	0.00711881	0.00768957	0.00685927	0.0125091	0.0257457	0.0536957	0.244661	0.290365	0.329291
a75	0.00728736	0.00286485	0.00142557	0.00129095	0.00229819	0.00290439	0.00349042	0.00415066	0.00605253	0.0149046	0.0365266	0.200775	0.328958	0.387071
a73	0.00375864	0.00301475	0.0036227	0.00487457	0.00877461	0.0105784	0.0119143	0.0157109	0.026061	0.0465102	0.0779275	0.13483	0.209624	0.442798
a90	0.00112865	0.000964469	0.00134875	0.00183204	0.0033656	0.00419535	0.00522228	0.00451468	0.00953997	0.0189002	0.038446	0.111599	0.211829	0.587115
a13	0.00121076	0.00120021	0.00154428	0.00197984	0.00367357	0.00474172	0.00595816	0.00528666	0.0122986	0.0229116	0.0436665	0.125124	0.216607	0.553796
a40	0.000887954	0.000621985	0.000670144	0.000821212	0.00150829	0.00206314	0.00280758	0.00264458	0.00573846	0.0124723	0.0267397	0.105502	0.208129	0.629394
a84	0.00138427	0.000808968	0.000600568	0.000687884	0.00134207	0.0018624	0.00257713	0.00268021	0.00577036	0.0129702	0.0272703	0.12841	0.222058	0.591578
a57	0.00202666	0.00125312	0.00102719	0.00105312	0.00178678	0.00214741	0.00254316	0.00204441	0.0038407	0.00880533	0.0199281	0.16264	0.2652	0.525704
a87	0.00339007	0.00188849	0.00125145	0.00126794	0.00195365	0.00207608	0.00228317	0.00186448	0.00264086	0.00555779	0.0138896	0.133194	0.261208	0.567535
</S>	0.0105065	0.00583178	0.00385619	0.00382209	0.00596871	0.00632442	0.0067255	0.00555942	0.00716395	0.0138012	0.0338903	0.140572	0.232736	0.523242
