 	il	construit	un	abri	en	brousse	pour	la	récolte	du	vin	</S>
a35	0.0879215	0.0758305	0.083981	0.103417	0.106071	0.109874	0.0981154	0.0907585	0.0760782	0.0695483	0.0536068	0.0447986
a66	0.0602269	0.055895	0.0646232	0.0880956	0.0974495	0.105859	0.0998457	0.100738	0.0892628	0.0931082	0.078373	0.0665234
a75	0.0242303	0.0284791	0.0425543	0.0822814	0.111664	0.140963	0.147567	0.143317	0.1062	0.0673381	0.0531454	0.0522615
a41	0.0359714	0.0375773	0.0479777	0.0758112	0.0918208	0.111889	0.10896	0.105696	0.0962804	0.102803	0.0919204	0.0932928
a43	0.0247186	0.0283811	0.0390283	0.0608782	0.0759825	0.0979406	0.106595	0.11422	0.101723	0.115459	0.115027	0.120047
a75	0.0173891	0.0195591	0.0252812	0.0397244	0.0510964	0.0721348	0.098912	0.13112	0.126677	0.127258	0.13326	0.157587
a14	0.0309376	0.0320189	0.0409594	0.0581493	0.0646847	0.0789412	0.0888619	0.101762	0.102494	0.122523	0.132251	0.146418
a44	0.0220587	0.0268543	0.0354019	0.051761	0.0604198	0.0781231	0.100593	0.138409	0.145503	0.123786	0.103617	0.113474
a57	0.0183459	0.0224998	0.0315103	0.0531497	0.0635671	0.0804107	0.101945	0.134859	0.147704	0.123777	0.104335	0.117897
a38	0.0130249	0.0144372	0.0207956	0.0367254	0.0448579	0.0637472	0.0829848	0.10537	0.134757	0.152784	0.15679	0.173727
a76	0.00834124	0.00965768	0.0142063	0.0290218	0.0412982	0.0641909	0.0952011	0.12238	0.138916	0.165026	0.153537	0.158224
a35	0.0108551	0.0162387	0.0221572	0.0349845	0.0414656	0.0525502	0.0697583	0.0901799	0.103844	0.160952	0.193829	0.203185
a34	0.0061947	0.0101843	0.0161568	0.0265027	0.0325253	0.041061	0.0597454	0.0862793	0.106785	0.155568	0.207425	0.251573
a24	0.00518204	0.00866489	0.0141023	0.0217319	0.0279154	0.0288023	0.0383031	0.0529669	0.0775895	0.165922	0.263894	0.294925
a43	0.00227037	0.0039735	0.00694437	0.0104836	0.0132229	0.0154341	0.0218073	0.0317999	0.0485939	0.139776	0.289747	0.415948
a75	0.00283903	0.00376651	0.00637388	0.0133422	0.0177541	0.0225151	0.0338776	0.0463226	0.0663985	0.152574	0.273267	0.360969
a98	0.0052933	0.00915691	0.0159776	0.0265395	0.0301384	0.0299129	0.0318502	0.0345911	0.0474324	0.123286	0.251685	0.394137
a41	0.00269146	0.00495216	0.00932514	0.0157667	0.0187277	0.0196844	0.0238315	0.0292384	0.0417889	0.123415	0.284484	0.426094
a98	0.00277589	0.00528277	0.00984483	0.0174476	0.0196256	0.0207159	0.0247457	0.0307501	0.0456037	0.128483	0.296129	0.398596
a14	0.00205224	0.00347044	0.00626153	0.0109699	0.0138497	0.0157291	0.0199135	0.0271366	0.0433176	0.154001	0.321218	0.38208
a35	0.00474408	0.00837229	0.014028	0.0214928	0.0244606	0.0254118	0.0291059	0.0351777	0.0492047	0.146479	0.294107	0.347415
a34	0.00258616	0.00489904	0.00946323	0.0175661	0.0211663	0.0216927	0.0246522	0.0287734	0.0407452	0.137597	0.307455	0.383403
a25	0.00201764	0.00402356	0.00762993	0.0134859	0.015925	0.0169505	0.0211985	0.0255561	0.0343452	0.123877	0.293052	0.441939
a56	0.00104543	0.00195706	0.00369267	0.00784073	0.0110885	0.0132674	0.0209087	0.0311447	0.0451451	0.15461	0.291801	0.417498
a24	0.00189504	0.00315103	0.00547837	0.00900025	0.0114809	0.0123979	0.0171872	0.0227037	0.0334848	0.126313	0.282013	0.474895
a9	0.0026726	0.00370767	0.00595551	0.00991456	0.0133404	0.0163664	0.0242645	0.0339407	0.0479282	0.133562	0.259892	0.448456
a87	0.00208268	0.00311533	0.00557373	0.010331	0.0137816	0.0170192	0.0255448	0.0332005	0.0480926	0.117204	0.248149	0.475906
a23	0.00564496	0.00574738	0.00705626	0.0107158	0.0143648	0.0179503	0.0310071	0.0485363	0.0807392	0.154362	0.25581	0.368066
a87	0.0299502	0.0279626	0.0301315	0.0381258	0.0466388	0.0506549	0.0689188	0.0825994	0.0928403	0.124528	0.168067	0.239583
</S>	0.0332577	0.0272848	0.0302399	0.0466812	0.0612442	0.0654116	0.0805262	0.0833039	0.0832453	0.110399	0.159565	0.218841
