 	les	feuilles	de	manioc	qu'	elle	est	en	train	de	piler	ne	sont	pas	encore	assez	écrasées	</S>
a54	0.0408803	0.0407559	0.0704613	0.110804	0.13936	0.104057	0.0861796	0.0719989	0.0749075	0.0485964	0.0561843	0.0377407	0.0361025	0.0283704	0.0148164	0.0105404	0.012153	0.016092
a47	0.0142393	0.0149014	0.0211561	0.0371036	0.0582503	0.0912751	0.10613	0.109949	0.117199	0.0833269	0.0768346	0.0571453	0.0481594	0.0306061	0.0251882	0.0266956	0.0320023	0.0498378
a6	0.0166083	0.020343	0.0311364	0.0486874	0.0710872	0.109335	0.112119	0.101724	0.111819	0.0752052	0.0788136	0.0484136	0.042356	0.027518	0.0205594	0.0199588	0.0265157	0.037801
a26	0.0153652	0.0166474	0.024391	0.0404094	0.0625753	0.0998811	0.109876	0.104424	0.114713	0.0832384	0.0863774	0.0539097	0.0481076	0.0316189	0.024149	0.021637	0.0262766	0.0364025
a27	0.0118398	0.0126168	0.0189726	0.030504	0.0438829	0.087274	0.111641	0.119015	0.125357	0.0915818	0.109512	0.0605696	0.0527404	0.0344281	0.0210215	0.014315	0.0216751	0.0330544
a61	0.0083505	0.00877185	0.0152867	0.0314316	0.0549323	0.105037	0.115819	0.130122	0.124084	0.0783764	0.0844996	0.056838	0.0449865	0.0248518	0.0173934	0.0134949	0.0324187	0.0533062
a88	0.011982	0.011728	0.0170117	0.0304842	0.0481721	0.0905618	0.108668	0.129811	0.127687	0.101139	0.0954667	0.0634096	0.0492259	0.0298113	0.0191162	0.0139048	0.0187022	0.0331185
a25	0.0104631	0.0104213	0.0147929	0.0264538	0.0433117	0.0851619	0.107449	0.133583	0.129935	0.0922444	0.103225	0.0692129	0.0552392	0.0359751	0.0216251	0.013511	0.017057	0.0303388
a75	0.00652643	0.00673875	0.00917025	0.0147125	0.0223009	0.0572317	0.0926976	0.148297	0.148542	0.113059	0.104268	0.0731062	0.0557427	0.0280379	0.0197081	0.0164377	0.028306	0.0551172
a73	0.00793214	0.0104021	0.0158798	0.0243961	0.0305355	0.0568301	0.0855266	0.127686	0.138609	0.104379	0.0761536	0.0506356	0.0376568	0.018241	0.0183568	0.0332137	0.0596522	0.103915
a15	0.00942757	0.0115909	0.0156439	0.0213602	0.0244259	0.045814	0.0741819	0.122398	0.136491	0.105074	0.0820643	0.0558253	0.0432322	0.0212658	0.0214841	0.0371277	0.0659121	0.106681
a47	0.00988499	0.0117312	0.0150331	0.018331	0.0204022	0.0380748	0.0669568	0.118367	0.14175	0.121116	0.0959725	0.0629259	0.0536483	0.0271444	0.0247947	0.0341268	0.0527039	0.0870358
a0	0.0149969	0.0172997	0.0216835	0.0248268	0.0243837	0.0431409	0.0642508	0.107544	0.130134	0.111161	0.0925739	0.0638211	0.0545435	0.0270099	0.0236553	0.0303681	0.0522757	0.0963309
a11	0.0142431	0.0128758	0.0166765	0.0229303	0.025685	0.0403792	0.0539799	0.0937804	0.107208	0.107275	0.0782867	0.0638579	0.0576358	0.0269809	0.0239043	0.0250922	0.0815942	0.147615
a75	0.010125	0.00880972	0.0112402	0.0185447	0.0252914	0.0403048	0.0538011	0.0976921	0.105962	0.103831	0.0747797	0.0663945	0.0582257	0.0283391	0.0258384	0.0256825	0.0859239	0.159214
a25	0.0105839	0.0140549	0.0188491	0.0247987	0.0246104	0.0387275	0.0533397	0.0870024	0.0954201	0.0816513	0.0528243	0.037502	0.0294574	0.0138802	0.0169576	0.0387481	0.12087	0.240723
a90	0.0128333	0.0160495	0.0185088	0.0198916	0.0193349	0.0314559	0.0512114	0.0921824	0.108669	0.102476	0.0703321	0.0575364	0.051531	0.0268934	0.0312548	0.0521648	0.105527	0.132148
a53	0.0105327	0.0130695	0.0167759	0.0206415	0.0213659	0.0402851	0.0696753	0.129004	0.138209	0.136033	0.0816784	0.057091	0.0423672	0.0183295	0.0203813	0.0294427	0.059285	0.0958325
a90	0.0100863	0.0108178	0.0129811	0.0190764	0.0206175	0.0397061	0.0652794	0.12293	0.125858	0.135198	0.0748996	0.0584495	0.0419581	0.0192398	0.0214725	0.03072	0.0716766	0.119033
a25	0.0089121	0.0109063	0.0152822	0.0225088	0.0239716	0.0437198	0.0688684	0.123307	0.123094	0.128739	0.0737993	0.0589565	0.0445611	0.020862	0.0227099	0.0311837	0.0637246	0.114893
a92	0.0105332	0.0116049	0.015146	0.0193443	0.0190214	0.0304916	0.0474674	0.0851043	0.0892193	0.0974247	0.0625923	0.0633181	0.0537239	0.0264296	0.0326423	0.0581846	0.123499	0.154253
a44	0.0157136	0.018492	0.0223511	0.0286397	0.0265475	0.0401612	0.0578342	0.0967683	0.101858	0.111686	0.0660645	0.0588051	0.0504688	0.0272838	0.0313003	0.0409508	0.0839159	0.121159
a57	0.00665762	0.00687174	0.00935299	0.0165589	0.019559	0.0390592	0.0599231	0.0899849	0.082454	0.0954756	0.0470638	0.0424994	0.0310815	0.0159474	0.0209603	0.0405352	0.140141	0.235875
a26	0.00140824	0.00135143	0.00163352	0.00276165	0.00359788	0.00820676	0.0147955	0.0250622	0.0226375	0.0296687	0.0131644	0.013864	0.0107078	0.00513679	0.00750098	0.0258943	0.210669	0.60194
a54	0.00343781	0.00280497	0.00225228	0.00242457	0.00257218	0.00419748	0.00681208	0.0124495	0.0119505	0.0185664	0.00841466	0.0110515	0.00900484	0.00405338	0.00685651	0.0312237	0.215769	0.646159
a47	0.00357773	0.00367093	0.00580644	0.0104222	0.0102795	0.0157852	0.0204482	0.0297052	0.0276619	0.0317023	0.0155008	0.0207463	0.0165195	0.00880853	0.0139921	0.0424465	0.227648	0.495279
a36	0.00119719	0.00143767	0.00276796	0.00623087	0.00737219	0.0143853	0.0235235	0.0466119	0.0439149	0.0476292	0.0218341	0.0256425	0.0175822	0.00648195	0.0112721	0.0428738	0.225316	0.453926
a26	0.000615373	0.000644607	0.000952804	0.00203586	0.0026423	0.00593095	0.00991111	0.0173585	0.0151916	0.0170983	0.00693487	0.00858756	0.00622037	0.00249439	0.00490085	0.028498	0.216253	0.653729
a57	0.00897481	0.00748232	0.00560158	0.00540903	0.00454524	0.00668249	0.00741342	0.011136	0.00966542	0.0129184	0.00628022	0.0100855	0.00853775	0.00486285	0.0122527	0.0567985	0.204595	0.616759
a10	0.033065	0.0223119	0.0159858	0.011898	0.0078847	0.00951014	0.0101597	0.0138167	0.0136177	0.0203509	0.0151886	0.0277009	0.0265442	0.0193376	0.0396983	0.111056	0.2509	0.350974
a3	0.0738796	0.0505604	0.0321855	0.0213352	0.0121572	0.0129791	0.015134	0.0203397	0.0223378	0.0314025	0.0186391	0.0275899	0.0276208	0.0214998	0.0337483	0.0761578	0.209904	0.292529
a9	0.070297	0.0523731	0.03757	0.0264912	0.0172611	0.0231937	0.0272906	0.0296819	0.0324892	0.0366414	0.0237128	0.0322975	0.0338548	0.0284862	0.0372863	0.0697879	0.18278	0.238505
a10	0.0668404	0.0524334	0.0393833	0.0336803	0.02501	0.0330818	0.0425815	0.041767	0.0461621	0.0449796	0.0269666	0.0338557	0.0341518	0.0246514	0.0275912	0.0538662	0.141387	0.231611
</S>	0.07266	0.0548768	0.0352584	0.0273915	0.0215533	0.0275333	0.0348793	0.0340352	0.03931	0.0409856	0.0318177	0.0453848	0.0490854	0.0384612	0.0402058	0.0654149	0.128536	0.212611
