 	avec	la	manière	dont	il	se	bat	pour	creuser	le	trou	il	n'	ira	pas	loin	</S>
a41	0.0501789	0.0665177	0.119207	0.17661	0.171995	0.0917577	0.0540159	0.0407818	0.0321866	0.0447407	0.0445852	0.0386482	0.0249797	0.013885	0.00969806	0.00847511	0.0117371
a56	0.015484	0.0247887	0.0583952	0.111444	0.141997	0.122107	0.0841204	0.0767817	0.0493025	0.058316	0.0520724	0.0463261	0.0413999	0.0284851	0.0255033	0.0258812	0.0375957
a96	0.0152052	0.0188778	0.0358773	0.0933289	0.155019	0.114061	0.0755809	0.0691478	0.0483485	0.066256	0.0674037	0.0614851	0.0522825	0.0346398	0.029095	0.0266764	0.0367155
a25	0.0132955	0.0153664	0.0261528	0.0600003	0.129211	0.12546	0.0843172	0.0799885	0.0552978	0.0848656	0.084734	0.0774544	0.0576177	0.0317966	0.0235163	0.0214233	0.0295035
a92	0.0088688	0.00877352	0.0141107	0.0426388	0.117058	0.149635	0.101878	0.0963822	0.0708927	0.0999126	0.0904088	0.0710474	0.0461042	0.0197647	0.0150491	0.0161377	0.0313374
a56	0.00509208	0.00568493	0.00959982	0.0205813	0.0690809	0.118666	0.0958746	0.0973519	0.055725	0.0514017	0.0608681	0.0705925	0.07695	0.0662934	0.0625303	0.0587154	0.074992
a43	0.00556215	0.00507113	0.00688953	0.017635	0.0697552	0.11962	0.0972893	0.0968739	0.0650302	0.0743945	0.0859911	0.0965159	0.0894394	0.051183	0.039341	0.0360794	0.0433293
a31	0.00581914	0.00475606	0.00509551	0.0106651	0.0341351	0.0848327	0.0864683	0.10018	0.0706877	0.0785848	0.0989553	0.108809	0.106065	0.0591598	0.0429134	0.0433442	0.0595281
a96	0.00946783	0.00684764	0.00602643	0.0112732	0.0274778	0.0722798	0.0810656	0.101029	0.0727063	0.0804251	0.101301	0.110998	0.110376	0.0644132	0.042316	0.0421586	0.0598388
a62	0.00916332	0.00696443	0.00613047	0.011437	0.0242053	0.0626401	0.0715834	0.0924247	0.065726	0.0720148	0.0884481	0.095213	0.112832	0.0763921	0.0551858	0.0579041	0.0917357
a88	0.00765932	0.00616227	0.00571793	0.0110401	0.0223839	0.0578774	0.0709001	0.0909952	0.0747825	0.076972	0.0894998	0.0925066	0.111959	0.0799777	0.0545309	0.0580105	0.0890245
a62	0.0090664	0.00750637	0.00680304	0.0131558	0.0240443	0.0586258	0.0735718	0.0903542	0.0766707	0.0789935	0.0863522	0.0786073	0.0943385	0.0727033	0.0525248	0.0632433	0.113438
a21	0.00890705	0.00822545	0.00778532	0.0140056	0.022467	0.0532795	0.0689651	0.0845661	0.0780619	0.0760037	0.0789551	0.0691482	0.082855	0.0723811	0.056142	0.0798448	0.138407
a12	0.00556016	0.00504185	0.00475734	0.00875876	0.0160407	0.0389966	0.0486959	0.0600486	0.0514185	0.0473655	0.0552412	0.0611231	0.0902585	0.107028	0.0836405	0.122591	0.193433
a62	0.00452511	0.00346779	0.0027911	0.00566642	0.0136315	0.0361733	0.043242	0.0499415	0.0350674	0.0311241	0.0361782	0.0422328	0.0622129	0.0912682	0.0937574	0.161888	0.286832
a88	0.0048714	0.00448946	0.00409739	0.00838742	0.0176018	0.046331	0.0578986	0.0668895	0.0518878	0.0456407	0.0465521	0.0471055	0.0607036	0.074265	0.0764085	0.138327	0.248543
a71	0.00312356	0.00261747	0.00237906	0.00458301	0.0101953	0.0322133	0.0462764	0.0565601	0.0448676	0.0337409	0.0352791	0.0313128	0.0440715	0.0597366	0.0790741	0.169169	0.3448
a3	0.0126805	0.011931	0.0113366	0.0161727	0.0266529	0.0583012	0.0805374	0.0768429	0.0530629	0.0323974	0.0270473	0.029078	0.0410256	0.0756896	0.0859686	0.15154	0.209736
a97	0.0165112	0.0139877	0.0133371	0.0178684	0.0323553	0.0555322	0.0696854	0.0584203	0.0524732	0.0296068	0.0304798	0.0481902	0.069697	0.102907	0.106552	0.144415	0.137981
a40	0.0219451	0.0145544	0.0111607	0.0133027	0.0324838	0.0590333	0.0731372	0.0621997	0.0635258	0.0381528	0.0412669	0.054806	0.0673373	0.0866988	0.111565	0.143054	0.105776
a7	0.00631143	0.00495122	0.00500699	0.00863333	0.0198608	0.0443964	0.0518638	0.0562723	0.0539817	0.0293972	0.0310855	0.0413027	0.051976	0.0547967	0.0920685	0.181525	0.266571
a56	0.00128859	0.00112804	0.00115717	0.00186608	0.00464762	0.0150349	0.0214279	0.0241724	0.0173146	0.00822414	0.010722	0.0168452	0.0271838	0.045399	0.105917	0.246804	0.450867
a44	0.000940861	0.000693015	0.000626636	0.00116827	0.00338473	0.0111218	0.0147122	0.0160016	0.0112364	0.0057918	0.0079921	0.0124439	0.0225082	0.044761	0.0997894	0.239743	0.507085
a93	0.000719435	0.000649887	0.000659121	0.00107765	0.00222211	0.00691028	0.0106445	0.0129498	0.0111988	0.00540918	0.00686808	0.0102405	0.0196006	0.0384415	0.0927576	0.246696	0.532955
a44	0.000872457	0.000683183	0.000637119	0.00108269	0.0022752	0.0066312	0.00990274	0.0119131	0.00918922	0.00486927	0.00688818	0.0104783	0.0188652	0.0369094	0.08253	0.226374	0.569899
a0	0.000395107	0.000287988	0.000258919	0.000488355	0.00123595	0.00409487	0.00616855	0.00738664	0.00613877	0.0029602	0.00424053	0.00672815	0.0138405	0.0321957	0.0758641	0.220308	0.617407
a75	0.0013482	0.000897392	0.000685636	0.00108565	0.00241815	0.00807362	0.0147264	0.0167206	0.0218909	0.00920206	0.0095234	0.0117867	0.0227234	0.0471701	0.107336	0.234035	0.490376
a79	0.000137263	0.000118022	0.000125479	0.000237503	0.000569286	0.00156426	0.00217532	0.00292217	0.00232978	0.00115745	0.00210738	0.0043056	0.0116297	0.0331002	0.0819828	0.224077	0.631461
a36	0.00012958	0.000112855	0.000119791	0.000219917	0.000540219	0.00153949	0.00222511	0.00292299	0.00235891	0.00107813	0.00187389	0.00395969	0.0104319	0.0299945	0.0798166	0.23257	0.630107
a7	0.000477899	0.000343389	0.000271952	0.000408864	0.000796909	0.00205107	0.00337894	0.00448439	0.00449815	0.00189687	0.00265997	0.00398388	0.00874119	0.0221792	0.0718966	0.226194	0.645736
a36	0.000544852	0.000477469	0.00042452	0.000624789	0.00121864	0.00301568	0.00464917	0.00607375	0.00577969	0.00258639	0.00333238	0.00482411	0.0102691	0.0267927	0.0863663	0.248528	0.594493
a26	0.0115193	0.0086165	0.00605011	0.00881856	0.0165879	0.0273594	0.0309124	0.0266622	0.0266418	0.0128325	0.0120138	0.0159246	0.0263129	0.0600291	0.133606	0.228126	0.347987
a30	0.0613861	0.0359535	0.0213589	0.0265834	0.0377661	0.0473256	0.0544713	0.0390895	0.0489814	0.0279727	0.0262521	0.03553	0.0491976	0.089095	0.123412	0.141682	0.133942
a10	0.124948	0.0676324	0.0321023	0.0249149	0.0240935	0.026737	0.0342952	0.0324374	0.0573631	0.033349	0.0317735	0.046416	0.0579917	0.0885657	0.095026	0.115974	0.106381
a9	0.083407	0.048593	0.0244974	0.0201911	0.0231656	0.0284705	0.0414823	0.0391306	0.0552032	0.0294201	0.0347513	0.0595915	0.0764242	0.0956989	0.102666	0.125697	0.11161
a99	0.0622476	0.0440027	0.0270504	0.0201634	0.022133	0.0300639	0.0459898	0.0513006	0.063683	0.0354155	0.0476675	0.077958	0.0895966	0.0916352	0.0870128	0.104489	0.0995906
a97	0.04381	0.0274236	0.0165673	0.0110206	0.0130724	0.0213251	0.0366913	0.0474567	0.0750986	0.0360962	0.0557488	0.0910259	0.0910069	0.0805616	0.0816689	0.116728	0.154698
a99	0.0522512	0.0317053	0.0210382	0.0160662	0.0250523	0.0368834	0.054186	0.0660448	0.109538	0.0560309	0.0654753	0.0910776	0.0764337	0.0612694	0.056258	0.0788755	0.101814
a97	0.0294839	0.0188266	0.0138452	0.00935254	0.0116222	0.0166699	0.0252436	0.0331196	0.0709875	0.0378401	0.0533007	0.0839607	0.0844432	0.0778472	0.0837488	0.134967	0.214741
</S>	0.0485038	0.030045	0.0236409	0.0195004	0.0258546	0.0329799	0.0447962	0.0557654	0.0978758	0.058831	0.064085	0.0801883	0.0643303	0.0524181	0.0548531	0.09236	0.153972
