 	on	ne	se	courbe	pas	avec	la	tête	dans	les	genoux	en	montrant	ses	fesses	nues	devant	son	frère	ou	sa	soeur	</S>
a13	0.00425449	0.00495302	0.00658168	0.00713898	0.0106369	0.0178716	0.0197861	0.014081	0.0149821	0.0114097	0.0083291	0.0136082	0.0281665	0.0504377	0.0649651	0.0428889	0.0789103	0.0899313	0.0822094	0.0937731	0.0773627	0.10439	0.153332
a93	0.0026797	0.00334853	0.00488138	0.00640549	0.00996645	0.0192068	0.0215986	0.0150828	0.0146651	0.00761711	0.00455225	0.00855953	0.0198384	0.0370579	0.0562045	0.0366147	0.0631732	0.0769826	0.0719946	0.0831146	0.0818921	0.134278	0.220285
a0	0.0030389	0.00393034	0.00511345	0.00686324	0.0105406	0.0197914	0.0220158	0.0158143	0.0164297	0.0118775	0.00974315	0.0170286	0.0354604	0.0538174	0.0667355	0.043499	0.0623806	0.0698107	0.0660289	0.0852946	0.0847218	0.115944	0.17412
a75	0.00142454	0.00172887	0.00265699	0.00467585	0.00810256	0.0155036	0.0170902	0.0128009	0.0135298	0.00833948	0.00498579	0.0080684	0.0189167	0.0337156	0.0558769	0.0375626	0.0566704	0.0670162	0.0653215	0.0879303	0.108098	0.149117	0.220868
a73	0.00301168	0.00323216	0.00387674	0.00422318	0.00663532	0.0115074	0.0140274	0.0103121	0.0119054	0.0108727	0.0086638	0.0125131	0.0190365	0.0309466	0.0390238	0.0376148	0.0645723	0.0794626	0.0756443	0.089288	0.0911144	0.149201	0.223314
a44	0.00107165	0.00113358	0.00157612	0.00189037	0.00259529	0.00401436	0.00460327	0.00345751	0.00365793	0.00312246	0.00207459	0.00286188	0.00618433	0.012286	0.0193941	0.0170133	0.0332237	0.0516159	0.0564591	0.0941576	0.11207	0.211025	0.354512
a93	0.000468192	0.000553356	0.000777982	0.000832685	0.00111987	0.0019952	0.00229853	0.00156621	0.00154458	0.000985128	0.000760605	0.00128243	0.00386	0.0073892	0.0123182	0.00778287	0.0152557	0.0252426	0.0304841	0.0632786	0.119513	0.257685	0.443006
a56	0.000547073	0.000674726	0.00103421	0.00115334	0.00172944	0.00348954	0.00412023	0.00286113	0.00308026	0.00205675	0.00196382	0.00306611	0.00850473	0.0170921	0.0275585	0.0164068	0.0271976	0.0345806	0.0380871	0.0648624	0.126829	0.237178	0.375926
a98	0.000429087	0.000465143	0.000680332	0.000810634	0.00146138	0.00293914	0.00350001	0.00243783	0.00246301	0.00174721	0.00141408	0.00199178	0.00513913	0.0106661	0.0205627	0.0134781	0.0217478	0.0292658	0.0335202	0.0606373	0.131233	0.254397	0.399013
a44	0.000319	0.000359088	0.000531162	0.000571401	0.00103895	0.00203975	0.00235088	0.00155137	0.0016385	0.00116996	0.000689019	0.00124119	0.00305456	0.00749531	0.0145521	0.0132926	0.0307943	0.0471328	0.0558718	0.0810522	0.121819	0.230914	0.380521
a26	0.000163634	0.000188776	0.000264693	0.000231846	0.000355856	0.000720286	0.00084398	0.00053385	0.000501052	0.000276979	0.000185705	0.000307881	0.000825977	0.00211702	0.00421753	0.00300617	0.00683243	0.0117263	0.0168032	0.0437075	0.113462	0.288511	0.504217
a54	0.000996622	0.000710851	0.000660932	0.000574343	0.000940518	0.00189807	0.00229817	0.00195447	0.00204507	0.00159662	0.00106608	0.00176717	0.00359078	0.00833732	0.00873794	0.00761789	0.0187053	0.0422998	0.056486	0.104815	0.139758	0.250528	0.342614
a36	8.2606e-05	9.08784e-05	0.000108816	0.000100373	0.000169183	0.000355219	0.000388182	0.000226894	0.000237112	0.000201599	0.000141181	0.000228771	0.000615318	0.00125069	0.00190639	0.00132305	0.00293824	0.00542754	0.00940319	0.0326007	0.0920145	0.304083	0.546106
a57	0.000412211	0.00038305	0.000363763	0.000282413	0.000437506	0.000862795	0.000914017	0.000656431	0.000667223	0.000458472	0.000327338	0.000564667	0.00137762	0.00303476	0.00301605	0.00195196	0.00531395	0.0139587	0.0241037	0.0677129	0.122741	0.294421	0.456038
a87	0.00812009	0.00499096	0.0034831	0.00351286	0.00502362	0.00712549	0.00788856	0.00783456	0.0102254	0.0147374	0.0126157	0.0120897	0.0105822	0.0234706	0.0214895	0.0294318	0.0477671	0.0738173	0.0833631	0.099606	0.116273	0.173711	0.222841
a23	0.0234419	0.0134959	0.0078138	0.00752493	0.0089039	0.0114721	0.0143957	0.0164792	0.0225167	0.029342	0.0208812	0.0199793	0.0139985	0.0435728	0.0448284	0.040083	0.0626608	0.0885027	0.0876637	0.0806146	0.100344	0.11167	0.129815
a99	0.0262938	0.0184799	0.00860737	0.00720565	0.00708453	0.0102489	0.012417	0.0125619	0.0169786	0.022008	0.0124282	0.0114307	0.0086953	0.020561	0.0241186	0.0264549	0.0306254	0.0360391	0.0451322	0.051818	0.10604	0.189137	0.295634
a97	0.0175378	0.0117792	0.00567023	0.0050007	0.00646841	0.0100909	0.0113761	0.0105375	0.0149209	0.0240332	0.01623	0.0153258	0.0152597	0.0257165	0.0291769	0.0426235	0.0408937	0.0433835	0.0479381	0.0493514	0.0873837	0.161559	0.307743
</S>	0.00564885	0.0038791	0.00295233	0.00309146	0.00476471	0.00703941	0.00817892	0.0085343	0.012025	0.0190656	0.0159794	0.015556	0.0130497	0.0244095	0.0279813	0.0426384	0.0415535	0.0414136	0.0402606	0.0457598	0.089811	0.197593	0.328814
