 	il	y	a	de	vieilles	pirogues	sur	le	débarcadère	d'	akoo-	akoo	</S>
a53	0.0464245	0.0393121	0.0463874	0.0760758	0.121503	0.146459	0.124508	0.0984535	0.0658121	0.0269748	0.0241472	0.0594837	0.12446
a90	0.0527255	0.0460977	0.0511524	0.0524818	0.100827	0.113229	0.0646935	0.0460773	0.0561496	0.0316692	0.0495773	0.106065	0.229255
a4	0.0303842	0.0243977	0.0352913	0.0522301	0.11915	0.12204	0.0811602	0.0606037	0.0736753	0.0458646	0.0647882	0.119804	0.170611
a57	0.0163369	0.0171221	0.031692	0.0592414	0.149927	0.15009	0.10467	0.0740559	0.0780871	0.0468325	0.05438	0.085075	0.13249
a58	0.0133998	0.0128983	0.0231836	0.0464316	0.112828	0.124015	0.0910315	0.0658056	0.0712932	0.0475486	0.0583696	0.116336	0.216859
a61	0.013039	0.0102693	0.0146727	0.0289173	0.0753568	0.113212	0.0769791	0.0586875	0.068716	0.0582875	0.058011	0.129395	0.294457
a47	0.0270125	0.0265499	0.0364813	0.0591392	0.125573	0.120605	0.0760667	0.0605498	0.0776049	0.0569678	0.0686921	0.112145	0.152613
a88	0.0101327	0.0122805	0.0226525	0.0436435	0.101631	0.115509	0.0878083	0.0635139	0.0674571	0.0521992	0.0835761	0.154045	0.18555
a62	0.00833715	0.0106524	0.01994	0.0409252	0.0897988	0.0968367	0.0723682	0.0598034	0.0758991	0.0692257	0.114771	0.171015	0.170428
a31	0.00673442	0.00869616	0.0139834	0.0288973	0.0670631	0.0738101	0.061447	0.0589585	0.0764353	0.0719965	0.136433	0.218447	0.177098
a88	0.00423459	0.00594054	0.010386	0.021704	0.0522194	0.0596809	0.0451165	0.0422424	0.0527127	0.050712	0.127555	0.280655	0.246842
a9	0.00155564	0.00209031	0.00415041	0.00975743	0.0242416	0.0290151	0.0231544	0.0205676	0.0286199	0.0315941	0.114316	0.324095	0.386843
a75	0.00256524	0.00168808	0.00178905	0.00368524	0.00844077	0.0120863	0.00993937	0.0102367	0.0184486	0.0247424	0.0728621	0.239869	0.593647
a47	0.00199329	0.00286975	0.00402683	0.00716622	0.0130337	0.0113563	0.00851927	0.00769527	0.0107512	0.0167123	0.0669213	0.243435	0.605519
a6	0.00104277	0.00143622	0.00275056	0.00735623	0.016982	0.0138709	0.00856316	0.00660832	0.00882336	0.0124697	0.0675786	0.284699	0.56782
a36	0.000708957	0.00101833	0.00188658	0.00515541	0.0136094	0.0116445	0.00652348	0.00559807	0.00836956	0.014513	0.0698187	0.270325	0.590829
a26	0.000702634	0.000729933	0.00123024	0.00251268	0.00673208	0.00789586	0.00431103	0.00279819	0.00306046	0.00462698	0.0196398	0.157114	0.788646
a57	0.0164724	0.00938876	0.00834561	0.0125884	0.0222693	0.0237759	0.0171491	0.0161759	0.0291542	0.0301696	0.0425523	0.169582	0.602376
a97	0.102586	0.0628962	0.0386859	0.0418832	0.0511698	0.0467884	0.0416427	0.0446779	0.0624105	0.0630167	0.0551221	0.113558	0.275563
a87	0.101304	0.0722987	0.0508019	0.0505312	0.0532016	0.0586855	0.0578865	0.0613283	0.0750844	0.0729101	0.0696542	0.107533	0.168781
a23	0.113096	0.0811925	0.0586906	0.055242	0.0558608	0.0654991	0.0685688	0.0830307	0.0854097	0.0785988	0.0649454	0.0821978	0.107668
a87	0.0484461	0.0377283	0.0248978	0.0287666	0.0430541	0.0520328	0.0548852	0.0529925	0.0409433	0.0404888	0.0877058	0.197018	0.29104
</S>	0.0126983	0.0128497	0.012141	0.0211568	0.0398058	0.0470623	0.0335041	0.0247784	0.014961	0.0171401	0.0529365	0.245857	0.465109
