 	beaucoup	de	voleurs	sont	prudents	mais	certain	d'	entre	eux	ne	sont	pas	intelligents	</S>
a5	0.0105384	0.0142779	0.0239837	0.0129301	0.0167196	0.0594731	0.155581	0.173328	0.160817	0.118499	0.0760406	0.0494867	0.0364903	0.04063	0.0512055
a12	0.00471101	0.00586468	0.00852662	0.00525152	0.00923684	0.0497525	0.125253	0.166814	0.165441	0.145442	0.102457	0.0713953	0.0442862	0.042428	0.053141
a56	0.00654859	0.00855688	0.0108892	0.00653851	0.0109364	0.0369682	0.101809	0.184928	0.189053	0.162863	0.101947	0.0650479	0.0350195	0.0331839	0.0457102
a25	0.00502089	0.0067682	0.00998334	0.00582537	0.00985599	0.0339808	0.101122	0.193531	0.198759	0.155707	0.101723	0.0632479	0.0333696	0.0319174	0.0491877
a79	0.00309477	0.00376336	0.00591706	0.00269084	0.00297608	0.0111857	0.0552548	0.18094	0.195162	0.184458	0.109494	0.0609522	0.0377592	0.0503467	0.0960056
a37	0.00597096	0.00717123	0.0112314	0.00578472	0.00590056	0.0176008	0.0628887	0.178111	0.186922	0.178042	0.105105	0.0583317	0.0381454	0.0477422	0.0910524
a21	0.00663201	0.00716964	0.00990703	0.00661823	0.00721178	0.0168056	0.0551535	0.149725	0.156384	0.168493	0.0959896	0.0559516	0.0434034	0.0751806	0.145376
a5	0.00431642	0.00421214	0.00442788	0.00287629	0.00458099	0.0125079	0.0401346	0.116428	0.126279	0.170197	0.132659	0.110125	0.0821238	0.0775932	0.111538
a18	0.00294177	0.00279458	0.00316629	0.00225783	0.00377222	0.0113392	0.0397711	0.113118	0.121331	0.148222	0.113514	0.0910117	0.0930673	0.103168	0.150523
a88	0.0112948	0.0104957	0.0148168	0.0118681	0.00947263	0.0212873	0.0469716	0.11239	0.133537	0.166043	0.102367	0.0575369	0.0538674	0.0938483	0.154204
a71	0.0232516	0.0205014	0.0268891	0.021133	0.0164993	0.0267489	0.0489471	0.109964	0.125464	0.159226	0.094335	0.0547822	0.0503934	0.0861316	0.135733
a9	0.0306202	0.0285024	0.0353436	0.0355802	0.0294399	0.0383916	0.0550843	0.106575	0.114815	0.134087	0.0770348	0.0438486	0.0437246	0.0919688	0.134984
a87	0.0532944	0.0526089	0.0645586	0.063511	0.0587036	0.0581699	0.0608144	0.101476	0.101272	0.103621	0.0648571	0.0422049	0.0429665	0.0600691	0.0718728
a23	0.136996	0.128879	0.156371	0.0965828	0.0628968	0.0264366	0.0205678	0.0308765	0.0310933	0.0379881	0.0440505	0.0502427	0.0567487	0.0571982	0.0630728
a87	0.0591914	0.0503957	0.0530021	0.0397959	0.0144663	0.0196562	0.0244044	0.052425	0.0587499	0.0798263	0.091213	0.103687	0.0927849	0.109667	0.150735
a23	0.0521865	0.0462556	0.0648312	0.0350715	0.0195233	0.0322097	0.0387816	0.0548598	0.0528538	0.0708507	0.0815669	0.0979139	0.09258	0.114639	0.145876
a99	0.0214437	0.0173007	0.0244144	0.0118366	0.00587303	0.0163365	0.024206	0.0462446	0.0461515	0.0607371	0.0748568	0.0904193	0.11473	0.202141	0.243309
a38	0.00363593	0.00364863	0.00738337	0.0044	0.00325183	0.0113052	0.0154941	0.0390476	0.0397386	0.0520281	0.0625438	0.0788964	0.13601	0.256668	0.285948
a54	0.000585784	0.000849534	0.00182925	0.00137575	0.00191283	0.00820356	0.0104748	0.0356303	0.0334738	0.0421274	0.0611785	0.0768222	0.17214	0.267422	0.285975
a47	0.000751819	0.00103292	0.00188115	0.00297563	0.00644646	0.0284385	0.0336821	0.0691314	0.0512602	0.0531644	0.0513719	0.0582869	0.117701	0.235917	0.287959
a36	0.000460038	0.000577637	0.000996431	0.00133841	0.00283837	0.0133898	0.0208108	0.0507489	0.0392828	0.0416088	0.0457706	0.0476927	0.102521	0.260411	0.371552
a40	0.000783053	0.00105602	0.00158549	0.00187138	0.00383089	0.00565612	0.00848023	0.022275	0.0224211	0.0304248	0.037176	0.0444163	0.116043	0.284337	0.419644
a6	0.00116872	0.00138264	0.00196034	0.00222522	0.00416313	0.00613624	0.0101305	0.0242237	0.024085	0.0301266	0.0390056	0.0449728	0.117868	0.276104	0.416447
a0	0.000762949	0.000790368	0.000987812	0.00102158	0.00168502	0.00379409	0.00800724	0.0240982	0.023654	0.0319335	0.0367243	0.0404666	0.10113	0.274546	0.450399
a11	0.000306585	0.000311992	0.000456088	0.000448796	0.000734477	0.00108794	0.00235875	0.0108714	0.0119044	0.0181369	0.0202515	0.0222072	0.0734022	0.303804	0.533718
a0	0.00171046	0.00197391	0.00286822	0.00444826	0.00496652	0.00459319	0.00466589	0.0113773	0.0123538	0.0210425	0.0202053	0.0193847	0.0626474	0.358886	0.468877
a11	0.0034579	0.00412452	0.00533854	0.00727877	0.00631318	0.00858459	0.0102153	0.0209708	0.0194602	0.0283518	0.0255072	0.0239587	0.0774864	0.358079	0.400873
a70	0.0109611	0.0112161	0.0147271	0.0160869	0.0119817	0.0169536	0.0201481	0.0352738	0.0321104	0.0424877	0.0377409	0.0338775	0.0881654	0.294109	0.334161
a13	0.000999851	0.00109194	0.00159964	0.00258614	0.00299984	0.00404334	0.00617676	0.0158099	0.0163158	0.0267933	0.0242731	0.0227923	0.0631916	0.339076	0.47225
a9	0.00123844	0.00147781	0.00233188	0.00302004	0.00232154	0.00381036	0.00541005	0.0136726	0.0133634	0.0205484	0.0194051	0.0176507	0.0539415	0.316876	0.524932
a99	0.0260367	0.024964	0.0377633	0.0354677	0.0350662	0.0344527	0.0297666	0.0338306	0.0304932	0.0374053	0.0387623	0.0396724	0.0882733	0.231815	0.27623
a87	0.00744529	0.00557644	0.00818541	0.00705447	0.00592729	0.00531218	0.00476391	0.00851938	0.00867655	0.0141051	0.0175971	0.0223671	0.0641352	0.302213	0.518122
a40	0.0189136	0.0122914	0.0175947	0.0123727	0.0143636	0.0133015	0.012302	0.0220444	0.0189453	0.0244962	0.0290327	0.0372072	0.0780049	0.240596	0.448533
a6	0.00167829	0.00115773	0.00143197	0.00143472	0.00190633	0.00398107	0.00485658	0.0142871	0.0151521	0.0321182	0.0467289	0.0748846	0.155942	0.302956	0.341484
a37	0.00021855	0.000231007	0.000281144	0.000462455	0.00051905	0.00246925	0.005069	0.0162589	0.0138978	0.0204314	0.0218474	0.0280682	0.0798856	0.332318	0.478042
a85	8.95137e-05	0.000104404	0.000133642	0.000227861	0.000278766	0.000646734	0.00131036	0.00538003	0.00589015	0.0113413	0.0150205	0.0196299	0.0723061	0.350954	0.516687
a5	7.6672e-05	8.0993e-05	9.25457e-05	0.000107456	0.000118599	0.000319941	0.00088678	0.00445856	0.00466913	0.00877012	0.0112339	0.0137737	0.0484525	0.308966	0.597993
a12	9.58961e-05	9.44867e-05	0.000115777	0.000158834	0.000174897	0.000374863	0.00082952	0.00438563	0.00547317	0.0118443	0.014126	0.016038	0.0529136	0.30031	0.593065
a21	0.00012668	0.000120233	0.00016109	0.000169728	0.000212517	0.000469096	0.00111809	0.00488992	0.00629166	0.0136564	0.0151228	0.017421	0.0475308	0.310034	0.582676
a12	0.000177798	0.000166726	0.000210524	0.000220487	0.00029342	0.000659024	0.00153328	0.00616384	0.00786938	0.018177	0.0205224	0.0245317	0.063617	0.335147	0.52071
a88	0.000345287	0.000295584	0.000398689	0.000363371	0.000381184	0.000739243	0.00138158	0.00507223	0.00598911	0.0123993	0.0131497	0.0148013	0.0399984	0.308405	0.59628
a71	0.00178321	0.00179909	0.00248624	0.00277284	0.00219676	0.00251176	0.00306316	0.00851523	0.00811631	0.0116327	0.0110866	0.0107587	0.0406813	0.299858	0.592739
a38	0.0216273	0.0198551	0.0186637	0.027645	0.0288898	0.0222856	0.0160704	0.0205221	0.0164778	0.0214703	0.0227127	0.0287977	0.0757061	0.272769	0.386507
a36	0.00818036	0.00649521	0.00674271	0.00897876	0.00844679	0.00787279	0.00599652	0.0100363	0.00875731	0.0116551	0.0130009	0.0176582	0.0559962	0.31466	0.515523
a2	0.00491828	0.0038996	0.00476134	0.00556334	0.00533559	0.00733555	0.00635538	0.0112888	0.00941329	0.0114623	0.0127171	0.0163467	0.0514449	0.31622	0.532938
a57	0.0745864	0.0502986	0.0434673	0.0419465	0.0505936	0.0299501	0.0191142	0.0260473	0.0206942	0.0242065	0.0306592	0.0432622	0.0948395	0.208851	0.241484
a87	0.170306	0.0940752	0.0819288	0.0486955	0.0300485	0.0257479	0.0206108	0.0297947	0.026422	0.0345313	0.0389554	0.0446587	0.0683593	0.132004	0.153862
a23	0.106058	0.068623	0.0803105	0.0391866	0.0246293	0.0253764	0.0269197	0.0549509	0.0514507	0.0635771	0.0625854	0.065406	0.0721917	0.117983	0.140752
a87	0.0268734	0.0186944	0.0287208	0.0136044	0.00654113	0.00710292	0.00445401	0.0136654	0.0154711	0.0230214	0.0449746	0.053325	0.112292	0.284438	0.346821
</S>	0.0154058	0.00923958	0.0134466	0.00664349	0.00620935	0.00630662	0.00499944	0.00991867	0.00915128	0.0108894	0.015493	0.0189762	0.0435741	0.24411	0.585637
