 	le	chemin	qui	mène	à	la	forêt	oyoa	est	passant	</S>
a92	0.00110977	0.00159313	0.00296042	0.00450992	0.00855925	0.0159796	0.0489452	0.057375	0.131856	0.245275	0.481837
a12	0.000794206	0.00117181	0.00192686	0.00271027	0.00482819	0.00982424	0.0389575	0.0488199	0.128132	0.265319	0.497516
a18	0.000724979	0.000864713	0.00109576	0.00145279	0.00229417	0.00475005	0.0179756	0.0276263	0.0894825	0.257413	0.59632
a43	0.00178529	0.00185652	0.00189946	0.00288664	0.00417516	0.00747855	0.0291334	0.0485754	0.12283	0.296959	0.48242
a62	0.00241687	0.00260624	0.00269483	0.00423119	0.00610101	0.00938349	0.0339089	0.0430836	0.12907	0.277528	0.488975
a31	0.00115701	0.00123136	0.00128599	0.00223923	0.00347879	0.00663371	0.0291658	0.0432098	0.120306	0.27759	0.513702
a62	0.00125248	0.00144444	0.00157153	0.00277029	0.00453728	0.00802727	0.0305862	0.0358686	0.11043	0.247538	0.555973
a88	0.000617803	0.000786349	0.000943935	0.00180757	0.00288231	0.00593687	0.0275238	0.0420341	0.119434	0.256003	0.54203
a71	0.000881851	0.0010936	0.00113694	0.00214446	0.00373069	0.00714875	0.0293538	0.0382083	0.125886	0.25247	0.537946
a9	0.0142454	0.0176524	0.0178392	0.0211575	0.0255325	0.0298852	0.0567964	0.0510046	0.114381	0.211747	0.439759
a82	0.0474847	0.0440266	0.0419229	0.0430266	0.0410203	0.0419606	0.0613791	0.0601313	0.111493	0.192072	0.315483
a10	0.0648153	0.0533653	0.0546405	0.0575855	0.0453548	0.0441918	0.0636121	0.085365	0.122178	0.17876	0.230131
a87	0.0544995	0.046486	0.0497232	0.0579698	0.0447791	0.0441186	0.0730814	0.107625	0.130791	0.180592	0.210334
a57	0.0521169	0.046869	0.0512655	0.0634859	0.0522623	0.0526073	0.0854038	0.119786	0.129618	0.171131	0.175454
a97	0.0269473	0.022716	0.0220279	0.02659	0.0254843	0.0335007	0.0661028	0.0838879	0.104619	0.228494	0.35963
a87	0.0273224	0.0256087	0.0267645	0.0351092	0.034544	0.0450113	0.0774962	0.0910144	0.0992286	0.204506	0.333395
a23	0.0367899	0.0350718	0.0358095	0.0450611	0.0399103	0.0441671	0.0734303	0.0851946	0.0930733	0.196665	0.314827
a87	0.00911858	0.00869973	0.00944147	0.0127448	0.010931	0.0109673	0.0267831	0.032332	0.0962344	0.269616	0.513132
a23	0.0123799	0.012299	0.0119378	0.0143296	0.0125021	0.0149354	0.0299884	0.0331462	0.0808424	0.232206	0.545433
a99	0.0264904	0.0286477	0.027438	0.0349532	0.0295181	0.0301581	0.0481089	0.0512196	0.117041	0.235233	0.371192
a97	0.0266897	0.0284902	0.0264308	0.0319308	0.0302802	0.029405	0.041575	0.0402045	0.097871	0.221787	0.425335
</S>	0.0329994	0.0322494	0.0264882	0.0266776	0.0222526	0.0235538	0.0355393	0.036623	0.0719294	0.191923	0.499764
