 	je	ne	comprends	pas	la	manière	dont	ma	femme	boude	contre	moi	</S>
a2	0.00139947	0.001357	0.00242893	0.00354909	0.00408948	0.00615747	0.0122018	0.0239253	0.0491564	0.072236	0.165712	0.253481	0.404307
a57	0.00790311	0.00691203	0.00638876	0.00678988	0.00735309	0.00961856	0.0194092	0.0322434	0.0601952	0.0855719	0.1564	0.241796	0.359419
a87	0.0358754	0.0309515	0.026674	0.0262364	0.0263587	0.0267886	0.0344299	0.0491939	0.0798895	0.0955166	0.13089	0.176059	0.261136
a23	0.0311318	0.018345	0.0118255	0.013555	0.0128446	0.0139365	0.0290107	0.0521479	0.0897912	0.138469	0.164342	0.181768	0.242833
a82	0.00485262	0.00329192	0.00314282	0.00399423	0.00387026	0.00518238	0.0137307	0.0367208	0.0890153	0.165736	0.221531	0.211235	0.237697
a13	0.00290681	0.00332381	0.00464909	0.00478179	0.00413317	0.0077922	0.0204879	0.0462963	0.0779369	0.118991	0.189579	0.220548	0.298574
a83	0.00170196	0.00245052	0.0038858	0.00435547	0.00376627	0.00719847	0.0183946	0.0389581	0.0621453	0.0988712	0.180565	0.238509	0.339198
a70	0.000614299	0.000894003	0.00145186	0.00236567	0.00245356	0.00402663	0.00926696	0.0205074	0.0426888	0.079709	0.171167	0.259863	0.404991
a13	0.000643004	0.000997458	0.00210671	0.00408268	0.0051669	0.00767362	0.016221	0.0298438	0.0509662	0.0811895	0.159124	0.246329	0.395656
a53	0.000254212	0.000336495	0.000694649	0.00127651	0.00168394	0.00240908	0.00762381	0.0180171	0.0431713	0.0748411	0.167349	0.262482	0.419861
a90	0.000124963	0.000154577	0.00042461	0.000849656	0.00119504	0.00157691	0.00461377	0.0106562	0.0298331	0.0648537	0.175551	0.283484	0.426682
a44	0.000120838	0.000166158	0.000549823	0.00123603	0.0020225	0.00324307	0.00958455	0.017127	0.0324441	0.0648038	0.175073	0.284422	0.409208
a93	9.36975e-05	0.000110892	0.000318546	0.000730799	0.00123068	0.00186286	0.00579359	0.011864	0.0267203	0.0528155	0.149922	0.280661	0.467876
a70	0.000140618	0.000179075	0.000496173	0.00109213	0.00176672	0.00272047	0.00759788	0.0147779	0.0301016	0.0591567	0.158688	0.28376	0.439523
a93	0.000169069	0.000199685	0.000451743	0.000790475	0.00118401	0.00169549	0.00500422	0.0101891	0.0242324	0.0464554	0.133493	0.268417	0.507718
a94	0.00010388	0.000128189	0.000328122	0.000694853	0.00115905	0.00179464	0.00592011	0.0124532	0.0299608	0.0594033	0.15632	0.276045	0.455689
a57	0.000126603	0.000153394	0.000332183	0.000506697	0.00063852	0.000829576	0.00290053	0.00675715	0.0216135	0.0402212	0.124841	0.2681	0.532979
a3	0.0141583	0.0124112	0.00947457	0.00793055	0.00662965	0.00648007	0.0094426	0.0181235	0.0381544	0.0650747	0.148521	0.25516	0.408439
a97	0.0602282	0.0382803	0.0198772	0.0164137	0.0124853	0.0147074	0.0226979	0.0417339	0.0628983	0.0830896	0.14304	0.199826	0.284722
a99	0.0771489	0.035413	0.0218524	0.0240672	0.0222179	0.0241968	0.046201	0.0626899	0.0732552	0.0992192	0.132321	0.162797	0.218621
a97	0.0405624	0.0177572	0.0109718	0.0123278	0.011053	0.0111629	0.0247352	0.0310878	0.0431234	0.0771887	0.142532	0.218493	0.359005
a87	0.0563604	0.0260151	0.022752	0.0263264	0.0236284	0.0244902	0.0392772	0.0390478	0.0432969	0.0651786	0.109863	0.179817	0.343947
a23	0.0804223	0.0419514	0.0378403	0.0385941	0.0344387	0.0360291	0.0489836	0.0437788	0.0467221	0.069459	0.100203	0.148881	0.272697
a94	0.0151398	0.00922155	0.00600283	0.00478654	0.0033317	0.0040544	0.00619354	0.0106705	0.0211258	0.0622634	0.14748	0.26339	0.44634
</S>	0.0321359	0.0253493	0.0195251	0.0147568	0.00920337	0.0126482	0.0152015	0.0245926	0.0348766	0.0731658	0.13959	0.230691	0.368264
