 	je	ne	veux	pas	cohabiter	avec	toi	parce	que	tu	es	ennuyeux	</S>
a36	0.00165254	0.00234947	0.00327301	0.0121092	0.0654842	0.105701	0.131399	0.145562	0.108841	0.105807	0.0785963	0.0705245	0.168701
a26	0.00269777	0.00352022	0.00424209	0.0122419	0.0571759	0.0918294	0.126563	0.144025	0.106705	0.109849	0.0832353	0.0715339	0.186381
a57	0.00958352	0.0109465	0.0116578	0.021461	0.0616853	0.0741659	0.0964039	0.14834	0.107535	0.115884	0.0936041	0.0822565	0.166476
a87	0.0100229	0.0101877	0.0101476	0.021898	0.0587124	0.0600331	0.072835	0.113341	0.0960483	0.106392	0.105292	0.125315	0.209776
a23	0.0264776	0.0224789	0.0188336	0.0353573	0.0535844	0.058863	0.0716684	0.0920682	0.0863203	0.101323	0.116059	0.130898	0.186069
a83	0.0107978	0.00971201	0.00893106	0.0164808	0.0190839	0.0295436	0.0451102	0.0633546	0.0698357	0.116023	0.172939	0.196162	0.242027
a96	0.00169221	0.00294204	0.00265427	0.00688458	0.0125804	0.0286371	0.0437338	0.0492088	0.0514653	0.0838655	0.141572	0.201541	0.373223
a70	0.000407586	0.00102858	0.00162992	0.00768559	0.0162975	0.0274183	0.0390798	0.0482344	0.0496261	0.0719514	0.112014	0.220387	0.404239
a13	0.000456732	0.00109469	0.00169672	0.0078864	0.0173777	0.0257151	0.0359965	0.0460564	0.0481753	0.0716814	0.113003	0.21524	0.41562
a62	0.000916086	0.00183594	0.00242694	0.00893014	0.0192574	0.0297908	0.0436599	0.0606063	0.059787	0.082423	0.125783	0.205997	0.358587
a88	0.000592811	0.00121234	0.00154867	0.00589607	0.0175312	0.0273177	0.0407789	0.0580415	0.0575625	0.0789968	0.116396	0.199709	0.394416
a62	0.000392533	0.000803033	0.00112852	0.0041742	0.0136282	0.0216478	0.0327548	0.0483619	0.0495989	0.0719392	0.113124	0.211744	0.430703
a12	0.000479412	0.000994834	0.00144988	0.00529281	0.016975	0.0261078	0.0394022	0.057227	0.0602198	0.0819951	0.11878	0.204769	0.386307
a18	0.000407901	0.000796838	0.00117858	0.00409328	0.0141743	0.0227044	0.0361604	0.0571458	0.0627054	0.0867289	0.12205	0.211349	0.380506
a90	0.000463114	0.000896083	0.00112644	0.00370732	0.0124175	0.0186218	0.0280033	0.0461256	0.0439941	0.0646465	0.104746	0.202517	0.472735
a37	5.8731e-05	0.000126416	0.000187925	0.000982675	0.00456936	0.0107159	0.0179555	0.0295878	0.0319898	0.0507698	0.0890363	0.196317	0.567703
a26	6.83331e-05	0.000151441	0.00023591	0.00102741	0.00438802	0.00859674	0.0149696	0.024273	0.0249543	0.0402455	0.0667649	0.154841	0.659484
a90	0.000976481	0.00166679	0.00173635	0.00442855	0.0133473	0.0192302	0.0279214	0.047417	0.0436087	0.0664915	0.0923033	0.159268	0.521604
a69	4.09348e-05	8.88626e-05	0.000128554	0.000630343	0.00328558	0.00832064	0.0148969	0.0286635	0.0295559	0.0450281	0.075996	0.16646	0.626904
a32	3.66507e-05	9.12386e-05	0.000129069	0.000607451	0.00298992	0.00697512	0.0115085	0.0199166	0.0196451	0.0285292	0.0490753	0.130341	0.730155
a94	0.000194344	0.000396293	0.000403032	0.00108695	0.00331557	0.0066628	0.011613	0.0223459	0.0209567	0.0358115	0.0621111	0.145757	0.689346
a58	0.000474364	0.000873554	0.000876549	0.00207603	0.00561002	0.00870581	0.0137818	0.0250794	0.0238572	0.0386416	0.0647393	0.151139	0.664145
a82	0.00344567	0.00459556	0.00424815	0.00646842	0.0137011	0.0184047	0.026592	0.0441714	0.0402835	0.0579154	0.0840862	0.169762	0.526326
a10	0.0211498	0.0188723	0.0153552	0.0162655	0.0247185	0.0340415	0.0462853	0.0713537	0.0679223	0.0895058	0.111909	0.168039	0.314582
a87	0.058228	0.033094	0.0246359	0.021682	0.0252314	0.0348301	0.0452687	0.0687593	0.0676022	0.0897264	0.120526	0.161605	0.248811
a23	0.0491941	0.0360232	0.0338063	0.0402625	0.0583465	0.0560238	0.0608286	0.0841663	0.0810575	0.100849	0.119993	0.132282	0.147168
a87	0.0171741	0.0135087	0.00712758	0.0115088	0.0184673	0.0446258	0.0739848	0.105676	0.102631	0.134165	0.161771	0.131683	0.177677
</S>	0.0110893	0.00945338	0.00669133	0.0129817	0.0168754	0.036306	0.0616828	0.0929607	0.0914619	0.115388	0.150832	0.153914	0.240364
