 	manger	avec	la	fourchette	est	une	culture	d'	emprunt	chez	les	mbochis	</S>
a88	0.00237723	0.00238735	0.00283828	0.00405398	0.00709893	0.010371	0.0208528	0.0458126	0.0653259	0.102967	0.1555	0.260104	0.32031
a24	0.00221429	0.00214663	0.00250408	0.00343301	0.00599628	0.00899429	0.0185427	0.038459	0.051226	0.0875779	0.147444	0.305759	0.325702
a88	0.0019634	0.00203649	0.0024576	0.0036003	0.00610478	0.00853606	0.0158138	0.0300796	0.0395507	0.0806673	0.141269	0.324483	0.343437
a71	0.00215448	0.00233022	0.00291237	0.00435117	0.00718303	0.00949214	0.0157375	0.0265752	0.0299967	0.0646299	0.118727	0.33197	0.38394
a88	0.00534537	0.00591426	0.00674513	0.010327	0.0175591	0.0205044	0.0251852	0.031779	0.0309692	0.0582484	0.113612	0.312331	0.361479
a9	0.00299452	0.0032207	0.00399145	0.00631858	0.0095586	0.0110241	0.0140006	0.0179446	0.0171198	0.0400425	0.0927982	0.319735	0.461251
a13	0.0266599	0.0244824	0.0234045	0.0387209	0.0500347	0.0477555	0.0480216	0.0518326	0.0621458	0.088522	0.102857	0.201745	0.233818
a4	0.0430262	0.0323985	0.0268369	0.0380609	0.0457339	0.0376626	0.0328369	0.0366934	0.0439292	0.0727357	0.106061	0.219604	0.264421
a70	0.000784799	0.000870678	0.0011748	0.00197767	0.00249431	0.0027975	0.00417913	0.00664299	0.00898916	0.0366993	0.0893495	0.331758	0.512282
a4	0.00137717	0.00162129	0.00213572	0.00306145	0.00364113	0.00414255	0.0057151	0.00802127	0.0103001	0.0367675	0.0873194	0.311375	0.524522
a13	0.00122144	0.00152251	0.0020509	0.00296054	0.00300623	0.00329531	0.00469455	0.00735851	0.00980923	0.0364982	0.0880688	0.317115	0.522399
a54	0.00294254	0.00377214	0.00482442	0.00626943	0.00559567	0.00590918	0.00703378	0.00913058	0.0115738	0.0352515	0.0869487	0.29524	0.525508
a15	0.000279469	0.000400907	0.000646171	0.00104839	0.000766255	0.000791829	0.00149197	0.00353697	0.00554729	0.0250677	0.0730588	0.340607	0.546757
a36	0.000164809	0.000199178	0.000320744	0.000543126	0.000458004	0.000541356	0.000787466	0.0015214	0.00298074	0.0137962	0.0432579	0.284695	0.650734
a2	0.00458029	0.00413724	0.00497528	0.00766479	0.00695577	0.0082669	0.0106101	0.0135946	0.0276434	0.0554699	0.0926845	0.272691	0.490726
a57	0.0457886	0.029292	0.025685	0.0328615	0.0373518	0.0449461	0.0543713	0.050755	0.0899924	0.0925824	0.103892	0.156814	0.235667
a87	0.135485	0.0750889	0.0529581	0.0695508	0.0788972	0.0751063	0.0716449	0.0696111	0.0803366	0.061624	0.0587342	0.0761442	0.0948185
a23	0.146379	0.105306	0.0812116	0.0958618	0.110485	0.109211	0.0729211	0.0568094	0.0593486	0.044109	0.0330295	0.0406642	0.0446649
a87	0.1275	0.0676127	0.0410176	0.0316146	0.0362462	0.0331623	0.0289231	0.0287782	0.0396068	0.0563014	0.0850337	0.172357	0.251846
</S>	0.0235033	0.0174662	0.0158727	0.0221048	0.0251276	0.0270336	0.0267515	0.0291049	0.0385703	0.0502975	0.0944678	0.233197	0.396503
