 	il	n'	a	pas	encore	de	femme	il	ne	connaît	pas	son	bonheur	</S>
a47	0.019823	0.020438	0.0250413	0.0335437	0.0412885	0.0525804	0.0790722	0.100886	0.108401	0.107904	0.103507	0.0952216	0.0905987	0.121694
a36	0.0385906	0.0351719	0.0371505	0.0443785	0.0498815	0.0558157	0.076194	0.100842	0.109594	0.106973	0.0892104	0.0742923	0.0733373	0.108569
a2	0.0203784	0.0169284	0.0208946	0.0353789	0.0533525	0.0636715	0.0946883	0.120461	0.124091	0.102472	0.0742638	0.0613179	0.0732875	0.138815
a57	0.0250422	0.0227864	0.0248449	0.0343934	0.0482177	0.0650826	0.100034	0.106263	0.0876881	0.0554522	0.0420418	0.0484805	0.0929601	0.246713
a87	0.0340128	0.0258531	0.0232456	0.0294505	0.0431035	0.0688869	0.113	0.120256	0.101845	0.0720641	0.0508253	0.0484908	0.0831838	0.185782
a97	0.118113	0.07066	0.0597939	0.0573065	0.0596633	0.0632804	0.0635211	0.0610613	0.0471674	0.0498322	0.0570484	0.0621286	0.0956061	0.134818
a87	0.0789469	0.0573826	0.067538	0.0755879	0.0633877	0.0584731	0.0497203	0.0435499	0.0343682	0.0413613	0.0676271	0.0832418	0.124655	0.15416
a40	0.0904869	0.0670357	0.070538	0.066711	0.0446351	0.0335265	0.0248429	0.0239776	0.0184892	0.0306397	0.0802884	0.113678	0.163396	0.171755
a2	0.0341308	0.0299001	0.0306821	0.0365831	0.0360097	0.0344817	0.03059	0.0322693	0.0298401	0.0386671	0.0648335	0.11862	0.191744	0.291648
a11	0.00317989	0.00356463	0.00556875	0.00996573	0.0168757	0.0217048	0.0298079	0.0364416	0.0395833	0.0524821	0.082344	0.14865	0.239721	0.310111
a90	0.00286052	0.003073	0.00485722	0.00881347	0.0175397	0.0286881	0.0459557	0.0550275	0.0582112	0.0676768	0.0876378	0.135673	0.214493	0.269493
a69	0.00946283	0.0105121	0.0171401	0.0267606	0.0376499	0.0482817	0.0779728	0.0885035	0.0884808	0.0834941	0.086746	0.0998034	0.122425	0.202767
a4	0.0080093	0.00798351	0.0134581	0.0225966	0.0313931	0.0384073	0.0613472	0.074139	0.0801885	0.0803235	0.0883927	0.111677	0.142133	0.239951
a57	0.00561674	0.00548356	0.00884298	0.0168414	0.0262355	0.0347155	0.0559526	0.0718119	0.0825362	0.0858184	0.0921275	0.116857	0.149675	0.247486
a53	0.00206125	0.00204483	0.00348447	0.0082041	0.016503	0.0244964	0.0398112	0.0509262	0.0566472	0.0621592	0.077348	0.118522	0.187174	0.350618
a90	0.00403908	0.0044484	0.00745216	0.014809	0.0234131	0.0319995	0.0504933	0.0646437	0.0773581	0.0850093	0.0941831	0.123106	0.155505	0.263541
a79	0.00299041	0.00343401	0.00639433	0.0144258	0.023997	0.0320995	0.0496716	0.0608645	0.0687685	0.0776243	0.0908241	0.12254	0.15843	0.287936
a44	0.00370258	0.00462883	0.00919199	0.0205533	0.0322713	0.0399471	0.0562888	0.0608599	0.0635838	0.0640117	0.0744927	0.108368	0.148307	0.313792
a84	0.00220129	0.00241724	0.00431223	0.0106502	0.0199083	0.0271621	0.0416413	0.0489699	0.052103	0.0582335	0.0745705	0.123703	0.180965	0.353163
a38	0.00105256	0.00114176	0.00184125	0.00365445	0.00753938	0.0120008	0.0184214	0.0212036	0.0211223	0.0279093	0.0536397	0.132319	0.25689	0.441265
a47	0.00103954	0.00112345	0.00182198	0.00338075	0.00671778	0.010015	0.0155709	0.0196197	0.0208073	0.0272909	0.0546217	0.142725	0.266254	0.429013
a2	0.0011152	0.00121135	0.00189563	0.00362376	0.0071752	0.0109004	0.0169803	0.0201753	0.0201747	0.0237404	0.0464353	0.123595	0.249178	0.4738
a26	0.00861975	0.00816828	0.0104791	0.012763	0.0139977	0.0151461	0.0172062	0.0229964	0.024356	0.039877	0.0922093	0.166779	0.240821	0.326581
a36	0.0492265	0.0322906	0.0290293	0.0311036	0.0328063	0.0329309	0.0330593	0.0436154	0.0426935	0.0666959	0.0986119	0.135883	0.155131	0.216923
a2	0.0526445	0.0336621	0.0277689	0.0273035	0.0279294	0.0273909	0.0260461	0.0337062	0.0334999	0.0533104	0.0885983	0.144054	0.178159	0.245927
a57	0.0714098	0.0442043	0.034599	0.0340028	0.0343917	0.0343988	0.0345752	0.0481747	0.0491947	0.0736788	0.101646	0.129091	0.132265	0.178368
a87	0.0964986	0.0584871	0.0397038	0.0354355	0.0351912	0.0352793	0.0405044	0.0613792	0.0642318	0.0765596	0.0964652	0.118985	0.118682	0.122598
a23	0.0833524	0.0526917	0.0408167	0.04132	0.0454548	0.049508	0.0579068	0.0766729	0.068621	0.0776878	0.0918744	0.102094	0.109077	0.102923
a87	0.0709754	0.0533777	0.0497823	0.0542811	0.0534604	0.0546318	0.052197	0.0616504	0.056625	0.0664608	0.0766456	0.0904153	0.113727	0.14577
</S>	0.0200566	0.018308	0.0232684	0.0307346	0.0396998	0.0425729	0.0416506	0.0431468	0.0370424	0.0540189	0.0885205	0.13741	0.193994	0.229577
