 	quel	événement	insolite	le	chef	coutumier	atsaa	est	mort	</S>
a90	0.0916517	0.14632	0.141134	0.185249	0.200676	0.113082	0.0493411	0.0217943	0.0196589	0.0310932
a98	0.0650525	0.101022	0.121104	0.170214	0.199194	0.142575	0.0627388	0.0376527	0.0385642	0.0618824
a85	0.0539889	0.0985659	0.0960785	0.124411	0.1448	0.123083	0.0812158	0.0611309	0.0796484	0.137076
a61	0.0570068	0.0976891	0.0923358	0.107728	0.124695	0.109582	0.0842037	0.0697612	0.0949644	0.162035
a66	0.0545702	0.0974564	0.103971	0.132768	0.167608	0.157421	0.0856666	0.0454129	0.055294	0.0998326
a9	0.0303457	0.0706144	0.122615	0.14655	0.179418	0.150602	0.0973507	0.0593148	0.0570189	0.0861707
a13	0.0241138	0.0652363	0.0847427	0.0914274	0.131542	0.104166	0.116256	0.0998356	0.10642	0.176261
a9	0.0379585	0.0922129	0.0879242	0.0827678	0.106437	0.0841606	0.124953	0.101527	0.102757	0.179302
a87	0.0521222	0.0879719	0.0783387	0.0660016	0.0850226	0.081091	0.16417	0.109124	0.0966438	0.179514
a23	0.10235	0.0955715	0.112444	0.079021	0.0769545	0.0949467	0.194596	0.0893935	0.0594193	0.0953034
a99	0.0511328	0.056508	0.0645983	0.0464177	0.0431118	0.0576569	0.162859	0.169396	0.148716	0.199604
a83	0.0123473	0.00966471	0.0162752	0.0124979	0.0136225	0.0154571	0.0709146	0.135406	0.209728	0.504087
a37	0.010619	0.00758005	0.0105846	0.00985979	0.0132781	0.0138416	0.0393418	0.0887728	0.175352	0.63077
a61	0.0233541	0.0237195	0.0264673	0.0257183	0.0318229	0.0326233	0.0694695	0.104854	0.16153	0.500441
a75	0.0371983	0.0423582	0.0332896	0.0319053	0.0438193	0.0435375	0.0920919	0.119381	0.156148	0.400271
a47	0.0351548	0.037838	0.0227114	0.0198173	0.0267378	0.0281701	0.0491066	0.0948503	0.186905	0.498709
a6	0.0289434	0.0415015	0.02716	0.0267583	0.0322988	0.032502	0.0558593	0.107161	0.188772	0.459044
a43	0.050776	0.0570299	0.032807	0.0256042	0.0324313	0.0443882	0.0815056	0.121133	0.185652	0.368673
a11	0.0241947	0.0391399	0.0268578	0.0266772	0.0367484	0.0323044	0.0488751	0.129017	0.206355	0.42983
a75	0.0189877	0.0310381	0.0218014	0.020545	0.0273489	0.0229709	0.0355313	0.105331	0.199403	0.517043
a47	0.0175715	0.02525	0.015374	0.013332	0.0166592	0.01481	0.0212297	0.0853896	0.205642	0.584742
a37	0.0145009	0.0247457	0.0172077	0.0155621	0.0175438	0.0157712	0.0259635	0.109475	0.231513	0.527717
a61	0.011117	0.0207473	0.0149103	0.013703	0.0147488	0.00955255	0.0145304	0.0793359	0.215623	0.605732
a0	0.00597599	0.0105169	0.00759231	0.00640295	0.0087761	0.00725453	0.014907	0.0760179	0.209064	0.653493
a54	0.00375359	0.00593845	0.00650055	0.00663951	0.00924921	0.00699867	0.0135905	0.0708351	0.209879	0.666615
a20	0.0108019	0.0128698	0.0103432	0.00613567	0.00541117	0.00436279	0.0149869	0.0875188	0.225641	0.621928
a69	0.00513253	0.006804	0.0060318	0.00352427	0.0030732	0.0023723	0.0076475	0.0535665	0.195469	0.716378
a15	0.00364389	0.00465751	0.00522514	0.0025567	0.00224628	0.00172809	0.00638171	0.0416232	0.177992	0.753946
a47	0.0131048	0.0132749	0.0125214	0.00675591	0.00422898	0.00247375	0.00645778	0.0447534	0.177557	0.718872
a36	0.0106043	0.0105284	0.00949642	0.00660344	0.00513802	0.0031145	0.0133221	0.0829208	0.242025	0.616247
a2	0.0124397	0.0121085	0.0117137	0.00903956	0.00594091	0.00298104	0.00853215	0.067198	0.222599	0.647447
a57	0.0727351	0.0378857	0.0272286	0.0198042	0.0143153	0.0107557	0.0256249	0.0995734	0.224542	0.467535
a87	0.127872	0.0868479	0.0702996	0.0492552	0.0344139	0.0283225	0.0672508	0.122339	0.175186	0.238212
a23	0.112356	0.0963249	0.121929	0.0530873	0.0332626	0.0287092	0.0850075	0.116742	0.145062	0.20752
a87	0.0517318	0.0290845	0.0406873	0.0277068	0.0232877	0.0207294	0.0729594	0.159156	0.226952	0.347705
a23	0.0226929	0.0224665	0.0496228	0.0249882	0.0146006	0.0119155	0.0476264	0.112665	0.227779	0.465643
a87	0.034909	0.0241697	0.0509399	0.0245123	0.0168436	0.0139388	0.058678	0.130169	0.229373	0.416467
a10	0.016798	0.0117051	0.019264	0.0126804	0.00825546	0.00765332	0.0372967	0.100231	0.232786	0.553331
</S>	0.0380547	0.0223079	0.0716194	0.0318646	0.0225675	0.0167809	0.0680485	0.110003	0.208583	0.41017
