 	on	ne	l'	aime	pas	à	cause	de	son	avarice	</S>
a57	0.0223583	0.0203372	0.0243474	0.025284	0.0374865	0.0538361	0.0896211	0.12173	0.117607	0.106543	0.380848
a90	0.0153081	0.0120416	0.0133383	0.0146541	0.0232009	0.0391845	0.0773812	0.108156	0.127073	0.124433	0.445229
a94	0.0302436	0.0219144	0.0232847	0.0208183	0.0277399	0.0343947	0.0552374	0.082429	0.105032	0.126653	0.472253
a32	0.028779	0.0251115	0.0285495	0.0286593	0.0372532	0.0458937	0.0638358	0.0880663	0.105858	0.125914	0.42208
a54	0.0302193	0.0259969	0.0278705	0.0295184	0.0382342	0.0481013	0.069164	0.094915	0.118242	0.131462	0.386277
a73	0.0329923	0.0335629	0.0414321	0.0461804	0.0626961	0.0688825	0.0782687	0.0884784	0.100401	0.111949	0.335156
a44	0.0184982	0.0198906	0.0274763	0.0370325	0.0556964	0.0669647	0.0833866	0.0964824	0.108047	0.115441	0.371084
a58	0.0133594	0.0142368	0.0198672	0.0267996	0.0391277	0.0476354	0.0672571	0.0857383	0.114527	0.13848	0.432972
a75	0.0119997	0.010409	0.0125911	0.0154956	0.0232663	0.0316331	0.0504555	0.0679313	0.0984198	0.150886	0.526913
a41	0.0296365	0.0284071	0.0374701	0.0433643	0.0635098	0.0776821	0.0889024	0.0952882	0.104425	0.133679	0.297636
a75	0.0149306	0.0162824	0.0230286	0.0327166	0.0501067	0.0631598	0.0747648	0.0811863	0.0994027	0.124465	0.419957
a66	0.0245118	0.0261081	0.0365041	0.0444601	0.0631438	0.0720783	0.0830615	0.093601	0.117125	0.152869	0.286537
a38	0.0071171	0.00709788	0.00912079	0.0119992	0.0175029	0.0214623	0.0318581	0.0438782	0.0651573	0.122249	0.662557
a56	0.0100811	0.00872013	0.0103105	0.0123129	0.018111	0.0233938	0.0341915	0.0452884	0.0630934	0.12376	0.650738
a34	0.0306223	0.0271288	0.0326396	0.0387805	0.0526922	0.0636214	0.0697291	0.0733182	0.0798462	0.112586	0.419036
a98	0.0145311	0.0126901	0.013864	0.0158753	0.0206084	0.0241761	0.0326926	0.0442239	0.0617287	0.119257	0.640353
a73	0.00829927	0.0079915	0.00944542	0.0123238	0.0192126	0.0250557	0.0341114	0.0405856	0.0552643	0.0963151	0.691395
a69	0.00973553	0.00942882	0.0113102	0.014052	0.0223184	0.0270488	0.0359197	0.0394735	0.0494037	0.0803138	0.700996
a84	0.0120418	0.0101829	0.0124937	0.0139637	0.0212972	0.0268248	0.0381616	0.0455918	0.0559825	0.105715	0.657745
a87	0.0120877	0.00970116	0.0104022	0.0106688	0.0140369	0.0140898	0.0158475	0.0181939	0.0240016	0.0693782	0.801592
a23	0.0260515	0.0145688	0.0121858	0.00988354	0.0137034	0.011303	0.0110319	0.0136827	0.0186681	0.0815707	0.787351
a87	0.0605218	0.0304833	0.0232712	0.0156036	0.0199308	0.0138194	0.0139859	0.0201518	0.0300125	0.12358	0.648639
</S>	0.0711151	0.0454589	0.0405401	0.0315914	0.0425761	0.0322555	0.0310778	0.0389881	0.0452729	0.105053	0.516071
