 	le	marchand	est	arrivé	au	village	avec	un	ballot	d'	etoffe	</S>
a90	0.00566653	0.00834183	0.0104606	0.0110033	0.0161567	0.0269328	0.0271663	0.0309361	0.0623312	0.136903	0.278468	0.385633
a12	0.00503557	0.00885817	0.0115741	0.0124341	0.0183458	0.029256	0.0319122	0.0379096	0.0642947	0.123679	0.260262	0.396438
a24	0.00237517	0.00368539	0.00584276	0.00712667	0.0115212	0.0189493	0.0214514	0.0275593	0.0552973	0.115885	0.269208	0.461098
a62	0.00535794	0.00765386	0.0101967	0.00977001	0.017906	0.0257651	0.0251707	0.029587	0.0561958	0.116352	0.273402	0.422643
a98	0.00315049	0.00483862	0.00727509	0.00825786	0.0144594	0.0226116	0.0241679	0.0303163	0.0593051	0.124703	0.280504	0.420411
a71	0.00624734	0.00898221	0.0112041	0.0104481	0.0182408	0.0260895	0.0270974	0.0350587	0.0654792	0.133646	0.278099	0.379408
a38	0.00363295	0.00456948	0.00787957	0.0103228	0.0184617	0.0281549	0.0298453	0.033384	0.0587014	0.116463	0.288008	0.400576
a75	0.00173907	0.00215065	0.00357798	0.00406066	0.00812459	0.0150106	0.0163316	0.0216937	0.0528163	0.11916	0.302601	0.452734
a41	0.00185661	0.00251076	0.00372698	0.00417954	0.00848309	0.0142006	0.0163882	0.0230155	0.0594242	0.133874	0.294452	0.437889
a35	0.00530769	0.00752066	0.00781784	0.00671493	0.0108953	0.0165668	0.0185352	0.0256553	0.0623365	0.140709	0.289131	0.408809
a75	0.00537791	0.00634882	0.00646189	0.00574946	0.00927281	0.014405	0.0167649	0.0224496	0.0492233	0.121724	0.29228	0.449942
a41	0.00314456	0.00403823	0.00511245	0.00564635	0.00928357	0.0161913	0.0202832	0.0282955	0.0632103	0.141878	0.289239	0.413678
a73	0.00387398	0.00538972	0.00596202	0.00521604	0.00886411	0.0145721	0.0168203	0.0225385	0.0508656	0.126426	0.296342	0.44313
a84	0.002859	0.00354691	0.00459617	0.00471553	0.00927676	0.0164728	0.0192653	0.0246965	0.0445585	0.117351	0.298655	0.454007
a82	0.00269794	0.00256429	0.00306775	0.0028577	0.00535978	0.0119858	0.0144873	0.0187666	0.0406456	0.109076	0.27215	0.516341
a87	0.0029173	0.0029401	0.00386423	0.00320719	0.00460688	0.0103	0.0130152	0.0222254	0.0585796	0.134276	0.288159	0.455909
a97	0.00437303	0.0043632	0.00598081	0.00733419	0.0124102	0.0319167	0.0368957	0.0489643	0.0901701	0.138166	0.252775	0.366651
a87	0.0291333	0.0322168	0.0328142	0.0387434	0.0471395	0.0666193	0.0712305	0.0741291	0.100058	0.119103	0.186187	0.202625
a97	0.0664156	0.0660654	0.0602002	0.0533759	0.0506409	0.0554264	0.051592	0.0470223	0.0671494	0.0805912	0.166641	0.234879
a87	0.0966709	0.101397	0.0766764	0.0600155	0.0524825	0.0535203	0.0540636	0.0496178	0.0665031	0.0798228	0.134007	0.175223
a97	0.1025	0.10853	0.0824635	0.0625092	0.0556822	0.0550618	0.0519828	0.0449658	0.0608552	0.0707754	0.127285	0.177389
a87	0.0858902	0.0894021	0.0707651	0.0512083	0.0448502	0.0456967	0.0416196	0.0366954	0.0636225	0.0794352	0.162506	0.228309
</S>	0.0373548	0.0442058	0.0430539	0.0377785	0.0371131	0.0416039	0.0360612	0.0369083	0.0688369	0.0937197	0.214873	0.30849
