 	le	singe	n'	adopte	pas	le	fils	de	son	frère	</S>
a56	0.0145733	0.0208091	0.0291692	0.0483537	0.0676006	0.0836242	0.0972587	0.0983873	0.111875	0.168045	0.260304
a66	0.00608203	0.00947429	0.016772	0.0360836	0.0532729	0.0726888	0.0972488	0.110066	0.129162	0.192202	0.276947
a38	0.00482966	0.00619228	0.012566	0.0306673	0.0544967	0.0762414	0.104276	0.123241	0.140035	0.196726	0.250728
a26	0.00699718	0.00775527	0.014816	0.0347811	0.0643817	0.085417	0.105798	0.11479	0.123574	0.178348	0.263342
a62	0.00577626	0.00590245	0.0122278	0.0312752	0.066928	0.0839242	0.0994867	0.110091	0.126441	0.184917	0.273031
a96	0.00906593	0.00810434	0.0129364	0.025354	0.0443471	0.0604856	0.0812701	0.0990348	0.128076	0.206319	0.325006
a24	0.00732909	0.00668927	0.0119226	0.0223114	0.0361887	0.0502582	0.0727201	0.0959016	0.133487	0.223072	0.34012
a25	0.00589298	0.00543921	0.00876569	0.0162193	0.0251959	0.0358544	0.0567576	0.0859252	0.128867	0.239028	0.392055
a90	0.00401322	0.00343587	0.00697521	0.0157094	0.0312859	0.0502677	0.0797852	0.116377	0.151441	0.228171	0.312539
a94	0.0107279	0.0107279	0.0212013	0.0481173	0.0653814	0.0778762	0.0961011	0.114051	0.129047	0.176734	0.250035
a57	0.00582752	0.00542626	0.0102939	0.0215179	0.0326494	0.0423268	0.060988	0.0906259	0.127748	0.227392	0.375205
a38	0.00327821	0.00220676	0.00451887	0.0111628	0.0235424	0.0386752	0.0636539	0.0970888	0.136322	0.240633	0.378919
a90	0.00673925	0.00354181	0.00628738	0.0163359	0.0267471	0.0404228	0.0616345	0.0883667	0.12749	0.24026	0.382175
a25	0.0103238	0.00647005	0.00992557	0.021256	0.0308934	0.0429182	0.0572822	0.0745872	0.11053	0.221395	0.414419
a44	0.00550598	0.0038651	0.00685376	0.0152388	0.022843	0.0306837	0.0439005	0.0661862	0.10604	0.231498	0.467386
a40	0.00953262	0.00669219	0.0104356	0.0206246	0.0266303	0.0311234	0.0400792	0.0599467	0.0956129	0.217037	0.482286
a98	0.0201782	0.0130028	0.0166395	0.0372552	0.0382098	0.0443354	0.0485546	0.0593743	0.0874564	0.204817	0.430176
a73	0.00961002	0.00602634	0.00724727	0.0168634	0.0235613	0.0331611	0.0474679	0.0672024	0.107161	0.235269	0.44643
a84	0.00374397	0.00292119	0.00546352	0.0145473	0.0242851	0.0323206	0.0474665	0.0702607	0.110248	0.233411	0.455332
a57	0.00382102	0.00250708	0.00389683	0.00587431	0.0109977	0.0172713	0.0290527	0.0551975	0.105034	0.273216	0.493132
a87	0.0101921	0.00348984	0.00448364	0.00664605	0.0125849	0.0226939	0.0358372	0.0628064	0.110734	0.260999	0.469533
</S>	0.0141263	0.00558521	0.00965478	0.0182963	0.0520002	0.0770406	0.0742627	0.0816516	0.115822	0.208839	0.342721
