 	il	tend	des	pièges	en	bois	pour	prendre	les	hérissons	</S>
a66	0.00218525	0.00670948	0.00513218	0.00581636	0.0109631	0.0213624	0.0365821	0.0573367	0.121817	0.243378	0.488718
a54	0.00196304	0.00343279	0.00179416	0.00210855	0.00511651	0.0173246	0.0361357	0.0915852	0.197222	0.262859	0.380459
a36	0.00040308	0.000891941	0.0006177	0.000772835	0.00150323	0.00397186	0.00933072	0.0285529	0.11405	0.265726	0.57418
a57	0.000559698	0.00102248	0.000711889	0.000969489	0.00196117	0.00621219	0.0142812	0.0480935	0.158939	0.274825	0.492424
a97	0.00871192	0.0131611	0.0104165	0.012307	0.0173515	0.0349048	0.0565146	0.119822	0.182334	0.182653	0.361824
a87	0.0407969	0.027899	0.0251029	0.0295824	0.0462677	0.0816756	0.0998875	0.144055	0.173268	0.160249	0.171216
a23	0.0364705	0.0281783	0.0264437	0.0368564	0.062654	0.0901828	0.0912695	0.130959	0.165024	0.162387	0.169575
a87	0.0366454	0.027621	0.0203618	0.0241751	0.0441738	0.0679946	0.0753803	0.125273	0.157196	0.185822	0.235357
a23	0.0146937	0.0175642	0.0135984	0.0179302	0.0321549	0.0479327	0.0551001	0.10328	0.167655	0.231032	0.29906
a10	0.0118377	0.0114502	0.00729919	0.00925543	0.0220214	0.0412018	0.056703	0.0983301	0.171828	0.23642	0.333653
a87	0.0115816	0.0138989	0.00813606	0.00917116	0.0183984	0.0289739	0.037492	0.0780371	0.153637	0.254581	0.386092
</S>	0.013268	0.0172523	0.00897276	0.00975868	0.0176809	0.0273223	0.0340501	0.0679068	0.150333	0.261607	0.391849
