 	tout	ce	qu'	on	lui	disait	avivait	sa	colère	</S>
a41	0.0188611	0.0217265	0.0328606	0.0498962	0.075899	0.0935719	0.130105	0.166427	0.169736	0.240917
a90	0.0182525	0.022751	0.0313847	0.0417145	0.0619092	0.0909226	0.156532	0.171152	0.17152	0.233861
a98	0.0383695	0.044521	0.0612961	0.0833337	0.116788	0.122027	0.127227	0.13464	0.125669	0.146127
a73	0.0247957	0.0315322	0.04414	0.0565084	0.0825847	0.09957	0.131926	0.18093	0.172604	0.175409
a84	0.0157248	0.0194929	0.0264252	0.0353134	0.0544339	0.0703717	0.103203	0.16695	0.223311	0.284775
a57	0.00999362	0.0131484	0.0199467	0.0282901	0.052292	0.0531884	0.0648123	0.139142	0.235887	0.3833
a87	0.00677093	0.00676272	0.00939512	0.0138142	0.0242486	0.0332544	0.0506779	0.136463	0.272347	0.446266
a23	0.00465282	0.00349639	0.00397067	0.00539939	0.0103405	0.0191862	0.0382413	0.137449	0.305368	0.471896
a40	0.002881	0.00209712	0.00267456	0.00418598	0.00926242	0.0190722	0.0502676	0.170686	0.28045	0.458423
a73	0.0177753	0.0142584	0.0154004	0.0182082	0.0255395	0.0364289	0.0466861	0.0904483	0.188561	0.546694
a26	0.00625447	0.00904879	0.0144069	0.021867	0.0400721	0.0551417	0.0714224	0.131187	0.245689	0.40491
a75	0.00185293	0.00248679	0.00507586	0.00931754	0.019661	0.0280921	0.0467837	0.109037	0.252712	0.52498
a41	0.00671815	0.00881108	0.0146282	0.0224265	0.0388855	0.0428928	0.0692058	0.113867	0.226699	0.455867
a34	0.00176932	0.00249395	0.00501022	0.00875072	0.0162687	0.0191005	0.0375907	0.0857318	0.236691	0.586593
a79	0.00236519	0.00290569	0.00482155	0.00716377	0.0119575	0.0131731	0.0216949	0.0603699	0.20094	0.674608
a35	0.00684912	0.00781104	0.0121118	0.0180983	0.0311947	0.0304286	0.0404631	0.0752076	0.213434	0.564402
a76	0.00182979	0.00218145	0.00404124	0.00658679	0.0122413	0.0117729	0.0200069	0.0552283	0.216181	0.66993
a90	0.0062631	0.00809222	0.0139715	0.0209764	0.0341547	0.0312547	0.0409551	0.0788763	0.239759	0.525697
a57	0.00254948	0.00305069	0.00586354	0.0100996	0.0197468	0.0196759	0.0221293	0.054464	0.188071	0.67435
a38	0.000482772	0.000537871	0.000949842	0.00153044	0.00301393	0.00329632	0.0066934	0.0299176	0.175693	0.777885
a75	0.000774702	0.00065777	0.000861431	0.001234	0.00263178	0.0036682	0.00854827	0.0370966	0.192713	0.751814
a25	0.00362198	0.00317443	0.00419466	0.00558839	0.00988935	0.0121419	0.020516	0.0544419	0.204108	0.682323
a98	0.00112199	0.0012415	0.00187542	0.00256358	0.00475021	0.00559348	0.0131548	0.0492768	0.199278	0.721144
a41	0.000974625	0.0010054	0.00153045	0.00226906	0.0045616	0.006335	0.0124945	0.042015	0.189707	0.739108
a26	0.00141408	0.00142501	0.00187011	0.00238078	0.00432497	0.00562864	0.0117256	0.0384643	0.189589	0.743178
a38	0.000890733	0.000822153	0.000942225	0.0011941	0.00272656	0.00447435	0.0110376	0.0429689	0.211703	0.723241
a11	0.00114839	0.000963042	0.00104017	0.00121723	0.00279484	0.00471242	0.012515	0.0424769	0.198175	0.734957
a21	0.00171	0.00140137	0.00162212	0.00207124	0.00438042	0.0068243	0.0179351	0.0519974	0.203064	0.708994
a12	0.00283716	0.00260946	0.00321581	0.00419552	0.00678876	0.00924182	0.0187314	0.0445255	0.187178	0.720677
a18	0.00302067	0.00299372	0.00358718	0.00446695	0.00742797	0.0104745	0.0203894	0.0524728	0.212258	0.682909
a25	0.00336885	0.0033876	0.00407709	0.0049363	0.0104159	0.015735	0.0323348	0.0755938	0.230674	0.619477
a87	0.00117954	0.00104735	0.00122362	0.00148414	0.0036814	0.00708132	0.0188203	0.0675902	0.230043	0.667849
</S>	0.00286888	0.00184967	0.00153402	0.00158412	0.00303201	0.0057301	0.0166901	0.0798264	0.254488	0.632396
