 	les	singes	ikoli	ne	se	trouvent	plus	dans	les	forêts	de	boundji	</S>
a36	0.00155014	0.00483136	0.00135395	0.00243355	0.00419059	0.00654376	0.00866687	0.0190329	0.0388786	0.0911929	0.136741	0.239429	0.445156
a25	0.00152595	0.00332225	0.000779595	0.001312	0.00222073	0.00403431	0.00527353	0.0101761	0.0220422	0.0522736	0.107616	0.275477	0.513947
a79	0.0012712	0.00256653	0.000378451	0.000630779	0.000987019	0.00215899	0.00265537	0.00513915	0.0131367	0.0410155	0.100544	0.285493	0.544023
a94	0.000651663	0.00177819	0.000249104	0.000533264	0.00090431	0.00180555	0.00244925	0.00514563	0.0127131	0.0427018	0.112131	0.289797	0.52914
a93	0.00107535	0.00204495	0.000263185	0.000861866	0.00161777	0.00326391	0.00378889	0.0062152	0.0130129	0.0369714	0.0948267	0.271644	0.564414
a70	0.0012273	0.00330442	0.000453294	0.00126868	0.00231043	0.00469794	0.00471717	0.00727817	0.0129125	0.0329776	0.0809171	0.245622	0.602313
a88	0.000771573	0.00192672	0.000289364	0.00106371	0.00250929	0.00546527	0.00444564	0.00574841	0.0100805	0.0291382	0.0782055	0.262183	0.598172
a71	0.00104011	0.00185119	0.000432415	0.00120354	0.003628	0.00793	0.0064217	0.00841033	0.0188405	0.0641712	0.139208	0.293328	0.453535
a38	0.00513061	0.00513368	0.00123462	0.00270132	0.00685782	0.0152834	0.0125378	0.016184	0.0393327	0.101284	0.163288	0.269402	0.36163
a54	0.00354023	0.00427611	0.00128133	0.00310482	0.00658992	0.0129099	0.0103177	0.0137782	0.032277	0.0878243	0.15158	0.281372	0.391148
a36	0.000118337	0.000279144	8.96711e-05	0.000239323	0.000569235	0.00122338	0.00076924	0.00104769	0.00248291	0.0112124	0.0473398	0.258796	0.675832
a2	0.00183475	0.00185868	0.000382476	0.00104304	0.00259106	0.00570444	0.00423933	0.00547712	0.014882	0.056627	0.140454	0.312088	0.452818
a57	0.0167762	0.0138448	0.0034101	0.00911266	0.017744	0.0444593	0.0285728	0.0418392	0.0831781	0.128061	0.159194	0.207071	0.246736
a10	0.0759603	0.0369055	0.011699	0.0461085	0.0590132	0.0882966	0.0833872	0.074058	0.0799354	0.0876611	0.108985	0.113334	0.134656
a87	0.0572998	0.032565	0.0101716	0.0417803	0.0479633	0.059547	0.063751	0.051955	0.0493699	0.0572624	0.103237	0.166343	0.258755
a23	0.0398087	0.0259074	0.00652965	0.0282258	0.0354559	0.0446767	0.050221	0.0425071	0.0433288	0.0555684	0.111111	0.189144	0.327516
a99	0.0167267	0.00791179	0.00108348	0.00753031	0.00989256	0.0141871	0.019075	0.0219082	0.03239	0.0621439	0.140087	0.25116	0.415904
a97	0.00727264	0.00495012	0.0010695	0.0084638	0.0113576	0.0140791	0.0199597	0.0246388	0.0321925	0.0508273	0.111165	0.245764	0.46826
</S>	0.00489985	0.00726686	0.00218542	0.0152863	0.0175142	0.0202695	0.0268515	0.0285432	0.0316168	0.0461786	0.102748	0.236663	0.459977
