 	si	je	meurs	enterrez-moi	dans	la	forêt	oyoa	avec	une	guitare	sur	la	poitrine	</S>
a12	0.0212207	0.0400377	0.14212	0.158823	0.130352	0.109304	0.0882469	0.0554936	0.0480346	0.0450345	0.0587638	0.0244803	0.0216539	0.0251691	0.0312661
a96	0.0111404	0.0185068	0.0939641	0.152481	0.137309	0.116589	0.0871223	0.0598747	0.0608664	0.0597139	0.0827103	0.0295737	0.0249707	0.0287709	0.0364065
a88	0.00854567	0.0133082	0.0702817	0.157098	0.154085	0.12827	0.0959277	0.0700306	0.068652	0.0614149	0.0730194	0.0231774	0.0206232	0.0238198	0.0317463
a71	0.0060618	0.0103919	0.0568955	0.153359	0.169818	0.135666	0.101587	0.0784192	0.0690581	0.0561164	0.0618496	0.0205771	0.0196973	0.0247406	0.0357619
a3	0.00200623	0.00598926	0.0373121	0.125066	0.210058	0.165849	0.12309	0.101519	0.0689711	0.0452324	0.0364088	0.0148115	0.0154819	0.0204567	0.0277467
a97	0.00225865	0.00839939	0.057877	0.15378	0.235455	0.184835	0.133009	0.0853915	0.0474943	0.0279073	0.0200261	0.00996513	0.00939003	0.0110759	0.0131363
a83	0.00487304	0.0130913	0.0974849	0.172805	0.186238	0.158739	0.127656	0.0828425	0.0482771	0.0285465	0.0220722	0.0127105	0.0128557	0.0145979	0.0172103
a50	0.0085056	0.010198	0.0327589	0.0913271	0.131599	0.137011	0.12207	0.0981903	0.084184	0.055708	0.0492252	0.0294516	0.0341285	0.0424218	0.0732208
a62	0.00545696	0.00907122	0.0438231	0.113498	0.151771	0.14308	0.115686	0.105942	0.084994	0.0595629	0.0543833	0.0213697	0.021379	0.0255183	0.0444641
a47	0.00627963	0.00853635	0.0378115	0.0946338	0.141281	0.138825	0.117777	0.113506	0.0914034	0.0658362	0.0604139	0.0232868	0.0229485	0.0278328	0.0496279
a96	0.00638095	0.00876426	0.0349121	0.0993222	0.152817	0.146489	0.11985	0.103542	0.0889245	0.0707381	0.06862	0.0239748	0.0205722	0.0221321	0.0329608
a70	0.00929411	0.0112512	0.041135	0.105893	0.138275	0.132152	0.108142	0.0810786	0.0718554	0.062401	0.0829656	0.0323774	0.0283366	0.0356166	0.0592268
a83	0.00939415	0.0106878	0.0313145	0.0881708	0.138772	0.138621	0.113737	0.0851524	0.0824166	0.0735774	0.0942181	0.0304496	0.0250021	0.0307226	0.0477642
a75	0.00291396	0.00513878	0.0265879	0.0738648	0.140362	0.134482	0.0981387	0.0928662	0.0958939	0.080402	0.0949186	0.0359779	0.0294989	0.0342577	0.0546969
a92	0.00581825	0.00598858	0.016522	0.0546878	0.112982	0.111119	0.0878881	0.0656677	0.0653138	0.0631548	0.081757	0.056105	0.0611696	0.0902249	0.121601
a85	0.00550925	0.00707636	0.0202369	0.0715727	0.139993	0.129863	0.102428	0.0733555	0.0698868	0.072987	0.0903421	0.0476579	0.0443882	0.0553108	0.069393
a43	0.00876164	0.00960351	0.0202305	0.0622874	0.121984	0.116811	0.0960318	0.0769507	0.0700914	0.0706186	0.072405	0.0453706	0.048026	0.0712219	0.109606
a56	0.00312744	0.00409299	0.014969	0.0564446	0.134917	0.141764	0.10257	0.0808086	0.0900631	0.0796207	0.0854493	0.0408	0.0387527	0.0504403	0.07618
a93	0.00404118	0.00485307	0.0145611	0.0532063	0.123656	0.124169	0.088646	0.073231	0.083731	0.0748134	0.0962998	0.0506949	0.0492739	0.0642956	0.0945276
a62	0.00256347	0.00345066	0.0162462	0.0549501	0.126844	0.119496	0.0740579	0.0665831	0.0835862	0.0712475	0.0916184	0.0553747	0.0515676	0.0722832	0.110131
a93	0.00274859	0.00381567	0.0120326	0.0406444	0.0930963	0.105849	0.0721836	0.0685469	0.0941792	0.0790234	0.107009	0.0608565	0.0582649	0.0793707	0.122379
a90	0.00208216	0.00306402	0.0125228	0.0406889	0.0992806	0.10464	0.0675461	0.063	0.0833587	0.0732495	0.102959	0.0725421	0.0665943	0.0872267	0.121245
a79	0.00194947	0.00280675	0.00946405	0.0261881	0.0850833	0.104341	0.0787635	0.0824073	0.109749	0.0916694	0.104752	0.0695748	0.0624795	0.0727033	0.0980683
a7	0.00244952	0.00340098	0.0101285	0.0242437	0.0715674	0.0909082	0.0704095	0.0738093	0.100033	0.0775224	0.0875437	0.0650925	0.0678071	0.0967855	0.158298
a26	0.00100846	0.00180703	0.00793853	0.0192377	0.0545273	0.068389	0.0525969	0.069678	0.102801	0.0725051	0.077593	0.0722082	0.0766486	0.120932	0.202129
a3	0.00117302	0.00130682	0.00599313	0.0168645	0.0512302	0.0679428	0.0532155	0.0715259	0.105969	0.0606559	0.0702366	0.0576967	0.0655417	0.140799	0.22985
a99	0.00360832	0.00381104	0.0223856	0.0519447	0.0983065	0.130323	0.0936959	0.101876	0.110996	0.0646375	0.0759553	0.0430373	0.0395944	0.0677075	0.0921208
a83	0.00317408	0.00341135	0.027591	0.0667211	0.0979154	0.129441	0.0969151	0.0891001	0.0921398	0.0618104	0.0728935	0.0451095	0.0411445	0.0693448	0.103288
a62	0.000344712	0.000424359	0.00435956	0.0116212	0.0286464	0.0368278	0.0284405	0.0311488	0.0399143	0.0300756	0.0443574	0.0638858	0.0954011	0.214003	0.37055
a83	0.000287792	0.000551644	0.00304625	0.0104624	0.0221874	0.0241217	0.0176493	0.0186708	0.0250509	0.0268096	0.0508464	0.0778388	0.111413	0.223384	0.38768
a93	0.000268877	0.000615985	0.00447113	0.0119778	0.0288329	0.0285668	0.0184298	0.0198918	0.0270419	0.0288177	0.0516271	0.0812559	0.108624	0.217781	0.371798
a34	0.00027955	0.000630787	0.00286213	0.00842738	0.0195527	0.0196189	0.0137146	0.0150371	0.0209758	0.0251023	0.0474638	0.0826732	0.118513	0.22975	0.395399
a92	0.00041651	0.000855936	0.00259721	0.00698255	0.0153818	0.0153306	0.011178	0.0128103	0.0177846	0.0226237	0.0439928	0.0868109	0.119772	0.236232	0.407232
a56	0.00041768	0.000799376	0.00226527	0.00593903	0.0146762	0.0155781	0.0115668	0.0140143	0.0198332	0.0239082	0.0435463	0.0863767	0.121347	0.236611	0.403121
a43	0.000167813	0.000395948	0.00168974	0.00432604	0.0114083	0.0115096	0.00743305	0.00873206	0.0128815	0.0151952	0.0303488	0.0734584	0.116239	0.258562	0.447653
a75	8.67811e-05	0.00018973	0.00140565	0.00322454	0.00959135	0.00960799	0.00529853	0.00749698	0.0114764	0.0116227	0.0211962	0.0530179	0.09278	0.257922	0.515084
a47	0.000414065	0.000955273	0.00246305	0.00520645	0.0155765	0.0169291	0.0126897	0.0150937	0.0211415	0.0232342	0.039689	0.081583	0.11949	0.24315	0.402384
a37	0.000577662	0.00108103	0.0038119	0.0098118	0.0285051	0.0297052	0.0209907	0.0204402	0.0241905	0.0207251	0.0245276	0.0606361	0.100875	0.239656	0.414467
a93	0.000171669	0.000343626	0.00196614	0.00477872	0.0142159	0.0167536	0.0110486	0.0128419	0.0192316	0.0151378	0.0180182	0.0505344	0.0982343	0.252139	0.484585
a44	0.000118637	0.0002934	0.00170947	0.00557109	0.0162405	0.0175641	0.0106581	0.0115619	0.0161364	0.0148606	0.0243041	0.0568748	0.0980261	0.246337	0.479744
a57	9.75472e-05	0.000218308	0.00109952	0.00363468	0.0110015	0.012824	0.00787851	0.0104506	0.0156222	0.0145482	0.0229565	0.0518428	0.0886975	0.239343	0.519786
a62	0.000180131	0.000229874	0.00174566	0.00468693	0.0172221	0.0193509	0.0116335	0.0169368	0.0220985	0.0147893	0.0153935	0.0354797	0.0774816	0.2638	0.498971
a88	0.00015038	0.000256233	0.00154044	0.00527442	0.0139593	0.0158953	0.00888756	0.0129168	0.0206853	0.0170629	0.0264126	0.0459839	0.0812646	0.249035	0.500675
a71	0.00036641	0.000511529	0.0030922	0.00750186	0.0189394	0.0204358	0.0109026	0.0163673	0.024766	0.0183836	0.0210672	0.0397431	0.0725005	0.243397	0.502025
a9	0.00155545	0.00141853	0.00441814	0.0101355	0.0286359	0.0315229	0.0204465	0.0289291	0.0408047	0.0249126	0.0230264	0.0457788	0.0888292	0.227812	0.421775
a3	0.00959938	0.00522332	0.00835566	0.0149219	0.0243477	0.0327378	0.0298219	0.0450734	0.0571504	0.0325232	0.0272842	0.0813819	0.128377	0.210087	0.293115
a97	0.0262063	0.00998064	0.0176172	0.027581	0.0390973	0.0468896	0.0479118	0.0628653	0.066387	0.0489327	0.0426072	0.0839994	0.107651	0.150807	0.221466
</S>	0.022367	0.0130321	0.0371381	0.0663337	0.0803463	0.0728921	0.069424	0.0829587	0.0759475	0.0595392	0.0521961	0.0675121	0.0736451	0.0922041	0.134464
