 	le	fil	indigène	fabriqué	avec	l'	écorce	de	la	liane	lekosa	est	résistant	</S>
a47	0.000102223	8.25326e-05	0.000161787	0.000306785	0.000860811	0.00136341	0.00283993	0.0060464	0.00544938	0.00890845	0.0335287	0.023345	0.17294	0.744064
a79	0.000168564	0.000127188	0.000181433	0.000314587	0.000747772	0.000996052	0.00154263	0.00301443	0.00229	0.00460577	0.0225278	0.0199948	0.271723	0.671766
a44	0.000137678	9.17242e-05	0.00015792	0.000299189	0.000785858	0.00109389	0.00181505	0.00358145	0.00306784	0.00531913	0.0233198	0.0186674	0.193758	0.747905
a37	0.000380438	0.00024293	0.000332366	0.000491949	0.001122	0.00141819	0.001957	0.00358774	0.00304689	0.00530302	0.0253407	0.0236562	0.25721	0.675911
a75	0.00104073	0.000669328	0.000813129	0.00101927	0.00216242	0.00261782	0.00271492	0.00476551	0.0039075	0.00765988	0.0367133	0.0438296	0.288807	0.603279
a79	0.000200887	0.000140431	0.000156992	0.000233403	0.000595948	0.000766452	0.00102574	0.00232736	0.00187625	0.00396843	0.0202676	0.0191443	0.233153	0.716143
a37	0.000167896	0.000121976	0.000177398	0.000306609	0.000933466	0.00122554	0.00198905	0.00426877	0.00295746	0.00546081	0.0216914	0.0182269	0.199289	0.743184
a43	0.000322407	0.000247762	0.000336894	0.000441002	0.00102333	0.00119494	0.00160833	0.00323245	0.00230333	0.00466747	0.020583	0.0179727	0.216524	0.729543
a11	0.000524786	0.000408309	0.000629932	0.000844339	0.00216261	0.00267366	0.00305373	0.00618597	0.00456675	0.00892061	0.0405628	0.040328	0.26448	0.624658
a9	0.00489489	0.00364841	0.00368847	0.0042819	0.00942509	0.0117976	0.00991841	0.0158029	0.0140531	0.0251554	0.0921212	0.0821596	0.24577	0.477283
a3	0.0435675	0.0246662	0.020008	0.0197928	0.0175826	0.0164544	0.015062	0.0206001	0.0233798	0.0289402	0.0814023	0.101056	0.210915	0.376572
a97	0.060101	0.0340202	0.0249704	0.0191017	0.0145461	0.0154079	0.0150123	0.0211961	0.0320876	0.0467916	0.126757	0.112774	0.19322	0.284014
a99	0.0364648	0.0225396	0.0145893	0.0120279	0.0103534	0.0125813	0.0144504	0.0261227	0.0394501	0.0580801	0.144137	0.115498	0.215051	0.278655
a97	0.0221554	0.0131761	0.0101822	0.00566106	0.00451348	0.00582861	0.00774741	0.0171781	0.0246298	0.0375811	0.0866029	0.0699164	0.143289	0.551539
a87	0.016046	0.00930668	0.00845649	0.00698	0.00843308	0.0136726	0.0192533	0.0295348	0.0473993	0.0668937	0.144297	0.118076	0.158861	0.35279
</S>	0.0234303	0.0159818	0.0152673	0.012325	0.0118035	0.0168077	0.021824	0.0326334	0.0519749	0.0696229	0.137799	0.112222	0.144528	0.333781
