 	cette	maison	est	en	état	de	délabrement	car	elle	est	déjà	vieille	</S>
a47	0.0023453	0.00298922	0.00405944	0.00795625	0.0159344	0.0169171	0.0204323	0.0255162	0.0295993	0.0645924	0.210109	0.321226	0.278323
a62	0.00266881	0.00347018	0.00542737	0.0105928	0.0206762	0.0220695	0.0289348	0.035053	0.0434957	0.0764804	0.207466	0.29432	0.249344
a88	0.00282635	0.00361535	0.0059096	0.0111412	0.0214708	0.0218623	0.0275981	0.0274657	0.03085	0.0592751	0.177422	0.339552	0.271012
a47	0.00376543	0.00468336	0.0068279	0.0120113	0.0202563	0.0201173	0.0232379	0.0210469	0.0223742	0.0368559	0.112986	0.339191	0.376646
a34	0.00390044	0.00488834	0.0075334	0.0127635	0.0211512	0.0217365	0.0243894	0.0220202	0.0227635	0.0397697	0.117354	0.338709	0.363021
a93	0.0016127	0.0019588	0.00330244	0.00662907	0.0111671	0.0122272	0.0137851	0.0156337	0.0189009	0.0301136	0.0988929	0.337272	0.448505
a70	0.00108453	0.00130436	0.00229981	0.00404371	0.00663242	0.00693397	0.00715393	0.00795177	0.00933863	0.0152654	0.057994	0.309086	0.570911
a62	0.00234057	0.00266445	0.00433105	0.00791183	0.012831	0.0130592	0.0133684	0.0139884	0.0143247	0.0208266	0.0625429	0.255315	0.576496
a21	0.00131507	0.00151254	0.00249462	0.00496776	0.00871923	0.00913957	0.0100487	0.0131467	0.0145195	0.0213644	0.0764412	0.263626	0.572704
a5	0.000743729	0.000807251	0.0011286	0.0017646	0.00304188	0.00325741	0.0042186	0.00642886	0.00896387	0.0142769	0.0651415	0.233777	0.65645
a23	0.000842718	0.000879055	0.00126029	0.00182148	0.00299843	0.00324644	0.00407374	0.00534863	0.0071416	0.0101582	0.0464092	0.193701	0.722119
a27	0.000608554	0.000632884	0.000995072	0.00173923	0.00287577	0.00335844	0.00376263	0.00383648	0.00505601	0.00632972	0.0258987	0.135813	0.809094
a82	0.020596	0.0201009	0.0290478	0.0359472	0.0424184	0.0535723	0.0335648	0.0248456	0.0243475	0.0259992	0.0689767	0.147312	0.473272
a87	0.0706236	0.0540751	0.0564088	0.0576152	0.0563595	0.0744998	0.0425296	0.0385104	0.0405949	0.0448344	0.081385	0.121878	0.260685
a23	0.16109	0.106691	0.0866954	0.0858696	0.0836307	0.0862218	0.045395	0.0533841	0.0562538	0.0500246	0.0452989	0.0477919	0.0916536
a99	0.0353272	0.0239883	0.0225849	0.0284505	0.0253861	0.0348236	0.0222278	0.0340366	0.0444943	0.0521541	0.0945337	0.163782	0.418211
a30	0.0290293	0.020792	0.0178309	0.0244447	0.0267432	0.0344685	0.0269054	0.0509074	0.0711977	0.0696058	0.096659	0.146811	0.384605
</S>	0.0226785	0.0169643	0.0151594	0.0217456	0.0275453	0.0348613	0.03007	0.0426788	0.0526438	0.0487225	0.0742537	0.132845	0.479832
