 	la	mère	enfonçait	son	doigt	dans	la	bouche	de	l'	enfant	pour	le	faire	vomir	</S>
a36	0.0103226	0.0104997	0.0270451	0.0883828	0.131101	0.12224	0.0988051	0.0770705	0.0588838	0.048345	0.0449845	0.0473746	0.0398463	0.0338542	0.0522266	0.109019
a6	0.00882517	0.00944459	0.0270064	0.0933431	0.119393	0.106825	0.0885931	0.0734844	0.0625529	0.0543993	0.0478912	0.0449109	0.0388213	0.034942	0.0591815	0.130386
a92	0.00433195	0.00437363	0.0121852	0.0624254	0.0948582	0.0921677	0.0854713	0.0833779	0.0722953	0.0627635	0.0597524	0.0549483	0.046695	0.0397189	0.0733484	0.151287
a79	0.00183013	0.00189697	0.0051547	0.0336624	0.0659196	0.0796675	0.0830396	0.0963141	0.0835585	0.0712841	0.0768813	0.0765754	0.071478	0.0606718	0.0785086	0.113557
a37	0.00120118	0.00125111	0.00344789	0.0306317	0.0648165	0.0985199	0.110847	0.12173	0.0994396	0.0825936	0.0809182	0.0731997	0.0583803	0.0425981	0.0525198	0.0779053
a79	0.00196858	0.00191882	0.00361357	0.0262613	0.0528906	0.0936794	0.11736	0.144582	0.116375	0.0988559	0.0883741	0.0711266	0.048905	0.0292029	0.0386355	0.0662507
a56	0.00072445	0.000690925	0.00131191	0.0108226	0.0311597	0.063197	0.0931082	0.124089	0.110372	0.0933763	0.0961154	0.0833897	0.0713993	0.055238	0.0723321	0.0926734
a75	0.00153238	0.00155312	0.00258468	0.0109918	0.0234234	0.0475522	0.0769689	0.132658	0.116208	0.102708	0.103076	0.0826017	0.0669444	0.0462956	0.0707686	0.114132
a92	0.000483265	0.000497436	0.000706548	0.00269069	0.00720795	0.0181462	0.0340204	0.0707531	0.072508	0.064926	0.0828557	0.0735402	0.082556	0.0933102	0.17252	0.223278
a56	0.000554712	0.000576637	0.000829612	0.00298478	0.00756987	0.0203022	0.0405884	0.0889599	0.0879965	0.0787206	0.0944773	0.0789294	0.0831524	0.0830346	0.147075	0.184248
a43	0.00116456	0.00139244	0.00213361	0.00612438	0.0104971	0.0203694	0.0364187	0.0748343	0.0743013	0.0697961	0.0834312	0.0718148	0.0821021	0.0834975	0.158015	0.224108
a25	0.00194605	0.00235546	0.00418402	0.00929474	0.0131998	0.0203868	0.0311963	0.0550106	0.0545859	0.0530727	0.0636501	0.0577751	0.0734921	0.0791786	0.1744	0.306271
a56	0.0016642	0.00234784	0.00316206	0.00810206	0.00912172	0.0171361	0.0292181	0.0397893	0.0455505	0.045701	0.0525876	0.0436101	0.0534185	0.0607572	0.223346	0.364487
a44	0.000680792	0.000714613	0.000787592	0.00177395	0.0027332	0.00465739	0.00903571	0.0171951	0.0205616	0.0206596	0.0291119	0.0280938	0.045739	0.0634815	0.262599	0.492175
a58	0.000617739	0.000732695	0.00108822	0.00288157	0.0040822	0.00669476	0.0112872	0.0143935	0.0152676	0.0152629	0.0188921	0.019488	0.0311685	0.0499318	0.266064	0.542147
a57	0.00547337	0.00627135	0.00570961	0.00928534	0.00933704	0.014652	0.0212582	0.0247141	0.0283555	0.0280109	0.0321341	0.0271166	0.0361673	0.0546192	0.23794	0.458955
a54	0.0126286	0.0134845	0.0130868	0.015275	0.0164007	0.021572	0.0265216	0.033788	0.0405489	0.0413803	0.050004	0.0426721	0.0559453	0.0962968	0.237637	0.282759
a47	0.000529026	0.00055288	0.00056986	0.00148764	0.00235516	0.00432312	0.00773192	0.00854173	0.00980142	0.00901601	0.0112881	0.0124216	0.0200861	0.0412059	0.26327	0.60682
a79	0.000250979	0.000199318	0.000180105	0.000486303	0.000822957	0.00180917	0.00394422	0.00667285	0.00798962	0.00715966	0.00951719	0.0097984	0.0191828	0.0443306	0.269619	0.618037
a44	8.90315e-05	6.01617e-05	6.63871e-05	0.000248854	0.000519566	0.00129371	0.00315675	0.00674968	0.00726251	0.00652838	0.00907826	0.00940983	0.0164981	0.0356684	0.238058	0.665312
a93	0.000342401	0.000222627	0.000323388	0.00121714	0.00206982	0.00406728	0.0066969	0.00963255	0.0097727	0.00871751	0.0105359	0.0111014	0.019073	0.0444706	0.254931	0.616825
a69	0.000562454	0.000388999	0.000485282	0.00162624	0.00278832	0.00513974	0.00828742	0.0118976	0.0125336	0.0118138	0.0143809	0.0154454	0.0259684	0.0608856	0.278932	0.548864
a58	0.000252142	0.000166283	0.00023705	0.00108903	0.0020891	0.00465759	0.00822132	0.0125795	0.01343	0.0124123	0.0150669	0.0152456	0.0236752	0.0425678	0.210493	0.637817
a82	0.00102229	0.000868693	0.00105118	0.00257821	0.00466483	0.00711575	0.00957476	0.0104573	0.0122533	0.0113669	0.0130275	0.0145759	0.0236176	0.0634275	0.301	0.523398
a87	0.0144357	0.0118681	0.0109238	0.0177	0.0280285	0.0331084	0.0396309	0.0359406	0.0392704	0.034602	0.0352663	0.039856	0.0633169	0.10426	0.248374	0.243418
a23	0.105325	0.120302	0.0814066	0.0507775	0.0475422	0.0471352	0.0486861	0.0520326	0.0609596	0.067794	0.066233	0.0614769	0.0521046	0.0514651	0.0470037	0.039756
a87	0.0547112	0.0441531	0.0242938	0.0156903	0.0145685	0.0170377	0.0238837	0.0293029	0.0377056	0.043411	0.0480739	0.0545801	0.0592646	0.100033	0.187134	0.246156
</S>	0.0130652	0.0121998	0.00678452	0.00572708	0.00522818	0.00651968	0.00979159	0.0142426	0.0169885	0.0182768	0.021498	0.0261963	0.0329328	0.0738082	0.272504	0.464237
