 	lorsque	le	chef	est	arrivé	les	femmes	lançaient	des	cris	de	joie	</S>
a66	0.0313486	0.0286793	0.0351147	0.0520554	0.0485722	0.0703295	0.11804	0.139723	0.0906198	0.0776123	0.0854795	0.0895077	0.132918
a24	0.0481203	0.0492733	0.0661475	0.089149	0.0657407	0.0798996	0.10272	0.142375	0.0962735	0.0739294	0.0611744	0.057863	0.0673343
a43	0.0620548	0.0590174	0.0723878	0.0877613	0.0691792	0.0761102	0.0919082	0.123141	0.083539	0.0664326	0.0575043	0.0650534	0.0859113
a88	0.0639508	0.0567922	0.0661203	0.0803089	0.0638719	0.0709958	0.0869922	0.118926	0.083005	0.0647939	0.059332	0.0740574	0.110853
a71	0.0424831	0.0365656	0.0412385	0.052574	0.0484335	0.0598459	0.0800515	0.104281	0.0816403	0.0679204	0.0762499	0.104488	0.204229
a9	0.0570466	0.0504361	0.0531501	0.061753	0.0619362	0.0732322	0.0852802	0.106236	0.0815782	0.0638236	0.0567091	0.091438	0.157381
a87	0.0838598	0.070572	0.0743374	0.0683639	0.0640473	0.0615287	0.0597631	0.0762516	0.0764323	0.0637716	0.0605736	0.097201	0.143298
a40	0.0785579	0.0749694	0.0770274	0.0731379	0.0686415	0.0539799	0.0401397	0.0605677	0.0776919	0.0917352	0.071781	0.126757	0.105013
a36	0.0428598	0.0317085	0.0349914	0.0324655	0.0306846	0.0267121	0.0247883	0.0368458	0.0462035	0.0524759	0.0974097	0.224336	0.318519
a37	0.00767281	0.0062318	0.00706956	0.0114458	0.0160723	0.0228774	0.023247	0.0348765	0.0431755	0.0475919	0.0959085	0.253847	0.429984
a54	0.0110449	0.00803939	0.00794944	0.0111681	0.0142386	0.021302	0.0293491	0.033384	0.0343884	0.0345543	0.0870383	0.234055	0.473489
a6	0.00919311	0.00901475	0.0108986	0.0191568	0.0285931	0.0506276	0.0706825	0.0904353	0.0798421	0.0862036	0.123901	0.179756	0.241695
a36	0.00459716	0.00480689	0.00568794	0.00998169	0.0149505	0.0250623	0.0322652	0.0567522	0.0655141	0.0868803	0.15914	0.242269	0.292093
a56	0.00387351	0.00326774	0.00394497	0.00616309	0.00800587	0.0142431	0.0261708	0.0378234	0.0406411	0.0598297	0.152257	0.238349	0.405431
a96	0.00173435	0.00140539	0.00147681	0.00251354	0.00376387	0.00669843	0.0117219	0.0219402	0.0299794	0.0492174	0.154808	0.26605	0.44869
a54	0.00410957	0.00328905	0.00327695	0.00483897	0.00733696	0.0138343	0.0240641	0.0295745	0.0307587	0.0361818	0.117543	0.218343	0.506849
a47	0.00110513	0.0009436	0.00101412	0.00176319	0.00304031	0.00734315	0.0144164	0.0301022	0.0361766	0.0479517	0.137429	0.228002	0.490713
a36	0.000856332	0.000699452	0.000767441	0.00131606	0.00209202	0.00590397	0.0126912	0.026309	0.033886	0.0525552	0.172839	0.243939	0.446146
a5	0.00116924	0.000969927	0.00107519	0.00170325	0.00239823	0.00607592	0.0120776	0.0243508	0.0309249	0.0487498	0.150816	0.211694	0.507995
a12	0.0014186	0.00129318	0.00130951	0.00228582	0.00445662	0.00973118	0.0125437	0.0214196	0.033476	0.0530026	0.13989	0.217895	0.501278
a62	0.00134983	0.00109994	0.0010628	0.00189536	0.00359013	0.00929401	0.0158084	0.0211093	0.0231602	0.0339448	0.105726	0.194377	0.587581
a88	0.00288961	0.00245175	0.00235122	0.00359356	0.00596521	0.0145702	0.0240145	0.0242651	0.0245947	0.0306762	0.0939283	0.188683	0.582016
a83	0.0025641	0.00220416	0.00213646	0.00295749	0.00400978	0.010464	0.0175634	0.0191631	0.0222167	0.0344533	0.111105	0.198845	0.572318
a53	0.00429945	0.00390346	0.00389346	0.00567554	0.00697645	0.0151698	0.0256789	0.0331683	0.0338569	0.0527805	0.130473	0.193394	0.49073
a69	0.00130292	0.00122358	0.00127285	0.00207902	0.00333683	0.00840227	0.0137761	0.0186973	0.0233766	0.0331841	0.100766	0.207096	0.585486
a58	0.000636879	0.000650431	0.000712596	0.00130166	0.00203332	0.0048632	0.0082186	0.0113128	0.014762	0.0245732	0.0813368	0.188497	0.661101
a82	0.00235215	0.00232977	0.00254774	0.00410813	0.0053977	0.0131119	0.0214244	0.0370902	0.0470983	0.0838668	0.178709	0.19195	0.410014
a87	0.0488052	0.0392451	0.0342974	0.0291805	0.0350208	0.0466425	0.0572258	0.0698491	0.0811937	0.105147	0.112134	0.15295	0.188309
a23	0.0711381	0.0674868	0.0584057	0.0577195	0.0796395	0.0728333	0.0551656	0.0889275	0.116122	0.0939906	0.0597372	0.0966542	0.0821796
a87	0.033404	0.0297178	0.0261625	0.0280316	0.0449032	0.0431037	0.0243711	0.0558814	0.0858864	0.099607	0.128392	0.200007	0.200532
a23	0.00650622	0.00625185	0.00592193	0.00806073	0.0155325	0.0188677	0.0111004	0.0365451	0.0628951	0.100653	0.14394	0.264527	0.319199
a87	0.0133945	0.0120261	0.0109511	0.0143635	0.0223762	0.0300975	0.0219858	0.0659188	0.09831	0.130325	0.138635	0.235102	0.206513
</S>	0.0111906	0.0109799	0.0110969	0.0144259	0.0222347	0.0335361	0.0261423	0.0977836	0.134386	0.141445	0.130986	0.195686	0.170106
